DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1941-12-01,,,8,,
1941-12-02,,,69,,
1941-12-03,,,10,,
1941-12-04,,,0,,
1941-12-05,,,0,,
1941-12-06,,,0,,
1941-12-07,,,0,,
1941-12-08,,,0,,
1941-12-09,,,0,,
1941-12-10,,,0,,
1941-12-11,,,122,,
1941-12-12,,,165,,
1941-12-13,,,0,,
1941-12-14,,,0,,
1941-12-15,,,0,,
1941-12-16,,,0,,
1941-12-17,,,0,,
1941-12-18,,,0,,
1941-12-19,,,0,,
1941-12-20,,,0,,
1941-12-21,,,0,,
1941-12-22,,,419,,
1941-12-23,,,0,,
1941-12-24,,,0,,
1941-12-25,,,48,,
1941-12-26,,,0,,
1941-12-27,,,0,,
1941-12-28,,,0,,
1941-12-29,,,0,,
1941-12-30,,,0,,
1941-12-31,,,150,,
1942-01-01,,,69,,
1942-01-02,,,0,,
1942-01-03,,,117,,
1942-01-04,,,0,,
1942-01-05,,,0,,
1942-01-06,,,0,,
1942-01-07,,,0,,
1942-01-08,,,0,,
1942-01-09,,,0,,
1942-01-10,,,0,,
1942-01-11,,,0,,
1942-01-12,,,0,,
1942-01-13,,,0,,
1942-01-14,,,0,,
1942-01-15,,,0,,
1942-01-16,,,0,,
1942-01-17,,,0,,
1942-01-18,,,58,,
1942-01-19,,,0,,
1942-01-20,,,0,,
1942-01-21,,,0,,
1942-01-22,,,0,,
1942-01-23,,,0,,
1942-01-24,,,0,,
1942-01-25,,,0,,
1942-01-26,,,0,,
1942-01-27,,,48,,
1942-01-28,,,0,,
1942-01-29,,,0,,
1942-01-30,,,239,,
1942-01-31,,,0,,
1942-02-01,,,0,,0.0
1942-02-02,,,0,,0.0
1942-02-03,,,0,,0.0
1942-02-04,,,0,,0.0
1942-02-05,,,0,,0.0
1942-02-06,,,0,,0.0
1942-02-07,,,0,,0.0
1942-02-08,,,0,,0.0
1942-02-09,,,20,,0.0
1942-02-10,,,53,,0.0
1942-02-11,,,0,,0.0
1942-02-12,,,0,,0.0
1942-02-13,,,0,,0.0
1942-02-14,,,0,,0.0
1942-02-15,,,175,,0.0
1942-02-16,,,414,,0.0
1942-02-17,,,0,,0.0
1942-02-18,,,0,,0.0
1942-02-19,,,0,,0.0
1942-02-20,,,0,,0.0
1942-02-21,,,0,,0.0
1942-02-22,,,0,,0.0
1942-02-23,,,173,,0.0
1942-02-24,,,0,,0.0
1942-02-25,,,0,,0.0
1942-02-26,,,46,,46.0
1942-02-27,,,0,,0.0
1942-02-28,,,0,,0.0
1942-03-01,,,251,,0.0
1942-03-02,,,69,,0.0
1942-03-03,,,0,,0.0
1942-03-04,,,0,,0.0
1942-03-05,,,114,,0.0
1942-03-06,,,0,,0.0
1942-03-07,,,0,,0.0
1942-03-08,,,239,,0.0
1942-03-09,,,0,,0.0
1942-03-10,,,0,,0.0
1942-03-11,,,0,,0.0
1942-03-12,,,0,,0.0
1942-03-13,,,320,,0.0
1942-03-14,,,0,,0.0
1942-03-15,,,0,,0.0
1942-03-16,,,396,,0.0
1942-03-17,,,0,,0.0
1942-03-18,,,0,,0.0
1942-03-19,,,0,,0.0
1942-03-20,,,89,,0.0
1942-03-21,,,0,,0.0
1942-03-22,,,0,,0.0
1942-03-23,,,0,,0.0
1942-03-24,,,0,,0.0
1942-03-25,,,170,,0.0
1942-03-26,,,89,,0.0
1942-03-27,,,0,,0.0
1942-03-28,,,0,,0.0
1942-03-29,,,0,,0.0
1942-03-30,,,0,,0.0
1942-03-31,,,0,,0.0
1942-04-01,,,0,,0.0
1942-04-02,,,0,,0.0
1942-04-03,,,0,,0.0
1942-04-04,,,0,,0.0
1942-04-05,,,0,,0.0
1942-04-06,,,0,,0.0
1942-04-07,,,13,,0.0
1942-04-08,,,155,,0.0
1942-04-09,,,0,,0.0
1942-04-10,,,36,,0.0
1942-04-11,,,0,,0.0
1942-04-12,,,0,,0.0
1942-04-13,,,0,,0.0
1942-04-14,,,0,,0.0
1942-04-15,,,0,,0.0
1942-04-16,,,46,,0.0
1942-04-17,,,0,,0.0
1942-04-18,,,25,,0.0
1942-04-19,,,0,,0.0
1942-04-20,,,0,,0.0
1942-04-21,,,0,,0.0
1942-04-22,,,0,,0.0
1942-04-23,,,0,,0.0
1942-04-24,,,0,,0.0
1942-04-25,,,38,,0.0
1942-04-26,,,69,,0.0
1942-04-27,,,0,,0.0
1942-04-28,,,0,,0.0
1942-04-29,,,0,,0.0
1942-04-30,,,0,,0.0
1942-05-01,,,0,,
1942-05-02,,,0,,
1942-05-03,,,0,,
1942-05-04,,,8,,
1942-05-05,,,0,,
1942-05-06,,,0,,
1942-05-07,,,0,,
1942-05-08,,,0,,
1942-05-09,,,0,,
1942-05-10,,,0,,
1942-05-11,,,0,,
1942-05-12,,,0,,
1942-05-13,,,152,,
1942-05-14,,,452,,
1942-05-15,,,0,,
1942-05-16,,,0,,
1942-05-17,,,56,,
1942-05-18,,,0,,
1942-05-19,,,0,,
1942-05-20,,,0,,
1942-05-21,,,0,,
1942-05-22,,,0,,
1942-05-23,,,69,,
1942-05-24,,,0,,
1942-05-25,,,0,,
1942-05-26,,,0,,
1942-05-27,,,0,,
1942-05-28,,,0,,
1942-05-29,,,0,,
1942-05-30,,,0,,
1942-05-31,,,0,,
1942-06-01,,,0,,
1942-06-02,,,0,,
1942-06-03,,,0,,
1942-06-04,,,0,,
1942-06-05,,,0,,
1942-06-06,,,76,,
1942-06-07,,,0,,
1942-06-08,,,0,,
1942-06-09,,,38,,
1942-06-10,,,0,,
1942-06-11,,,13,,
1942-06-12,,,0,,
1942-06-13,,,135,,
1942-06-14,,,0,,
1942-06-15,,,0,,
1942-06-16,,,0,,
1942-06-17,,,0,,
1942-06-18,,,0,,
1942-06-19,,,0,,
1942-06-20,,,142,,
1942-06-21,,,254,,
1942-06-22,,,0,,
1942-06-23,,,0,,
1942-06-24,,,0,,
1942-06-25,,,0,,
1942-06-26,,,51,,
1942-06-27,,,0,,
1942-06-28,,,0,,
1942-06-29,,,0,,
1942-06-30,,,58,,
1942-07-01,,,51,,
1942-07-02,,,0,,
1942-07-03,,,0,,
1942-07-04,,,46,,
1942-07-05,,,0,,
1942-07-06,,,0,,
1942-07-07,,,38,,
1942-07-08,,,0,,
1942-07-09,,,0,,
1942-07-10,,,0,,
1942-07-11,,,0,,
1942-07-12,,,0,,
1942-07-13,,,64,,
1942-07-14,,,0,,
1942-07-15,,,0,,
1942-07-16,,,0,,
1942-07-17,,,0,,
1942-07-18,,,0,,
1942-07-19,,,0,,
1942-07-20,,,91,,
1942-07-21,,,64,,
1942-07-22,,,58,,
1942-07-23,,,0,,
1942-07-24,,,0,,
1942-07-25,,,0,,
1942-07-26,,,0,,
1942-07-27,,,0,,
1942-07-28,,,0,,
1942-07-29,,,64,,
1942-07-30,,,30,,
1942-07-31,,,0,,
1942-08-01,,,0,,
1942-08-02,,,0,,
1942-08-03,,,0,,
1942-08-04,,,229,,
1942-08-05,,,178,,
1942-08-06,,,0,,
1942-08-07,,,0,,
