DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1911-04-01,111.0,50.0,0.0,,
1911-04-02,128.0,17.0,0.0,,
1911-04-03,150.0,67.0,325.0,,
1911-04-04,106.0,100.0,0.0,,
1911-04-05,217.0,161.0,23.0,,
1911-04-06,222.0,144.0,3.0,,
1911-04-07,256.0,178.0,0.0,,
1911-04-08,217.0,100.0,36.0,,
1911-04-09,106.0,67.0,152.0,,
1911-04-10,122.0,33.0,0.0,,
1911-04-11,156.0,39.0,0.0,,
1911-04-12,161.0,106.0,23.0,,
1911-04-13,194.0,117.0,0.0,,
1911-04-14,211.0,133.0,0.0,,
1911-04-15,189.0,83.0,112.0,,
1911-04-16,139.0,67.0,25.0,,
1911-04-17,161.0,78.0,0.0,,
1911-04-18,172.0,61.0,0.0,,
1911-04-19,217.0,111.0,0.0,,
1911-04-20,211.0,111.0,30.0,,
1911-04-21,161.0,33.0,0.0,,
1911-04-22,194.0,122.0,91.0,,
1911-04-23,128.0,61.0,3.0,,
1911-04-24,144.0,17.0,0.0,,
1911-04-25,189.0,17.0,0.0,,
1911-04-26,194.0,28.0,0.0,,
1911-04-27,206.0,67.0,0.0,,
1911-04-28,217.0,111.0,0.0,,
1911-04-29,217.0,133.0,0.0,,
1911-04-30,222.0,161.0,3.0,,
1911-05-01,256.0,178.0,53.0,,
1911-05-02,261.0,156.0,0.0,,
1911-05-03,167.0,89.0,0.0,,
1911-05-04,172.0,100.0,0.0,,
1911-05-05,172.0,117.0,8.0,,
1911-05-06,167.0,117.0,0.0,,
1911-05-07,133.0,100.0,46.0,,
1911-05-08,161.0,83.0,193.0,,
1911-05-09,233.0,100.0,0.0,,
1911-05-10,272.0,106.0,0.0,,
1911-05-11,267.0,139.0,0.0,,
1911-05-12,261.0,189.0,0.0,,
1911-05-13,267.0,172.0,0.0,,
1911-05-14,256.0,161.0,0.0,,
1911-05-15,233.0,139.0,0.0,,
1911-05-16,261.0,150.0,0.0,,
1911-05-17,294.0,189.0,0.0,,
1911-05-18,300.0,194.0,0.0,,
1911-05-19,300.0,194.0,0.0,,
1911-05-20,300.0,189.0,0.0,,
1911-05-21,272.0,178.0,0.0,,
1911-05-22,283.0,178.0,0.0,,
1911-05-23,300.0,183.0,0.0,,
1911-05-24,289.0,194.0,0.0,,
1911-05-25,272.0,161.0,0.0,,
