DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2003-02-20,100,39,,,
2003-02-21,100,50,,,
2003-02-22,144,67,,,
2003-02-23,56,-44,,,
2003-02-24,128,-11,,,
2003-02-25,94,-17,,,
2003-02-26,78,0,,,
2003-02-27,100,50,,,
2003-02-28,139,39,,,
2003-03-01,122,39,,,
2003-03-02,106,-28,,,
2003-03-03,100,-50,,,
2003-03-04,94,-22,,,
2003-03-05,167,78,,,
2003-03-06,122,28,,,
2003-03-07,139,0,,,
2003-03-08,150,-11,,,
2003-03-09,167,17,,,
2003-03-10,128,-11,,,
2003-03-11,150,0,,,
2003-03-12,194,17,,,
2003-03-13,211,67,,,
2003-03-14,94,56,,,
2003-03-15,111,56,,,
2003-03-16,122,89,,,
2003-03-17,117,89,,,
2003-03-18,122,106,,,
2003-03-19,117,100,,,
2003-03-20,139,83,,,
2003-03-21,167,50,,,
2003-03-22,133,28,,,
2003-03-23,150,11,,,
2003-03-24,172,17,,,
2003-03-25,194,28,,,
2003-03-26,156,61,,,
2003-03-27,139,72,,,
2003-03-28,139,117,,,
2003-03-29,144,11,,,
2003-03-30,17,-61,,,
2003-03-31,28,-78,,,
2003-04-01,178,-22,,,
2003-04-02,217,61,,,
2003-04-03,239,67,,,
2003-04-04,156,100,,,
2003-04-05,194,44,,,
2003-04-06,156,28,,,
2003-04-07,178,106,,,
2003-04-08,139,83,,,
2003-04-09,111,61,,,
2003-04-10,61,17,,,
2003-04-11,67,28,,,
2003-04-12,183,44,,,
2003-04-13,217,33,,,
2003-04-14,217,67,,,
2003-04-15,211,106,,,
2003-04-16,200,67,,,
2003-04-17,167,100,,,
2003-04-18,139,89,,,
2003-04-19,172,100,,,
2003-04-20,167,100,,,
2003-04-21,200,94,,,
2003-04-22,122,39,,,
2003-04-23,183,6,,,
2003-04-24,133,33,,,
2003-04-25,133,78,,,
2003-04-26,156,72,,,
2003-04-27,200,44,,,
2003-04-28,217,83,,,
2003-04-29,244,89,,,
2003-04-30,239,111,,,
2003-05-01,217,122,,,
2003-05-02,156,106,,,
2003-05-03,194,89,,,
2003-05-04,217,61,,,
2003-05-05,156,111,,,
2003-05-06,200,133,,,
2003-05-07,217,133,,,
2003-05-08,272,139,,,
2003-05-09,267,156,,,
2003-05-10,261,161,,,
2003-05-11,206,117,,,
2003-05-12,178,78,,,
2003-05-13,194,72,,,
2003-05-14,183,94,,,
2003-05-15,194,111,,,
2003-05-16,233,122,,,
2003-05-17,178,139,,,
2003-05-18,161,133,,,
2003-05-19,178,117,,,
2003-05-20,183,100,,,
2003-05-21,161,128,,,
2003-05-22,156,128,,,
2003-05-23,206,122,,,
2003-05-24,211,89,,,
2003-05-25,217,89,,,
2003-05-26,228,111,,,
2003-05-27,194,78,,,
2003-05-28,200,72,,,
2003-05-29,172,94,,,
2003-05-30,200,78,,,
2003-05-31,239,100,,,
2003-06-01,206,56,,,
2003-06-02,189,56,,,
2003-06-03,178,156,,,
2003-06-04,239,94,,,
2003-06-05,228,78,,,
2003-06-06,222,111,,,
2003-06-07,206,167,,,
2003-06-08,267,144,,,
2003-06-09,239,100,,,
2003-06-10,261,89,,,
2003-06-11,250,144,,,
2003-06-12,244,156,,,
2003-06-13,228,156,,,
