DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-03-08,161,106,,,
2002-03-09,144,78,,,
2002-03-10,72,-22,,,
2002-03-11,139,-11,,,
2002-03-12,72,22,,,
2002-03-13,189,67,,,
2002-03-14,183,78,,,
2002-03-15,256,100,,,
2002-03-16,217,133,,,
2002-03-17,156,50,,,
2002-03-18,172,33,,,
2002-03-19,128,72,,,
2002-03-20,128,67,,,
2002-03-21,156,22,,,
2002-03-22,33,-72,,,
2002-03-23,133,-39,,,
2002-03-24,206,33,,,
2002-03-25,261,100,,,
2002-03-26,161,83,,,
2002-03-27,128,17,,,
2002-03-28,156,-22,,,
2002-03-29,211,56,,,
2002-03-30,161,111,,,
2002-03-31,128,89,,,
2002-04-01,178,61,,,
2002-04-02,256,89,,,
2002-04-03,244,28,,,
2002-04-04,144,-17,,,
2002-04-05,144,6,,,
2002-04-06,122,6,,,
2002-04-07,161,-28,,,
2002-04-08,183,78,,,
2002-04-09,144,122,,,
2002-04-10,250,100,,,
2002-04-11,222,106,,,
2002-04-12,122,111,,,
2002-04-13,206,111,,,
2002-04-14,217,133,,,
2002-04-15,283,133,,,
2002-04-16,317,156,,,
2002-04-17,283,172,,,
2002-04-18,317,167,,,
2002-04-19,300,178,,,
2002-04-20,294,194,,,
2002-04-21,306,194,,,
2002-04-22,233,100,,,
2002-04-23,217,61,,,
2002-04-24,178,67,,,
2002-04-25,172,83,,,
2002-04-26,144,56,,,
2002-04-27,200,83,,,
2002-04-28,283,133,,,
2002-04-29,206,122,,,
2002-04-30,239,94,,,
2002-05-01,239,122,,,
2002-05-02,311,172,,,
2002-05-03,211,111,,,
2002-05-04,100,61,,,
2002-05-05,239,72,,,
2002-05-06,250,111,,,
2002-05-07,300,139,,,
2002-05-08,300,161,,,
2002-05-09,306,183,,,
2002-05-10,267,161,,,
2002-05-11,178,128,,,
2002-05-12,272,144,,,
2002-05-13,239,78,,,
2002-05-14,161,56,,,
2002-05-15,244,72,,,
2002-05-16,272,111,,,
2002-05-17,278,133,,,
2002-05-18,178,28,,,
2002-05-19,178,11,,,
2002-05-20,150,28,,,
2002-05-21,128,44,,,
2002-05-22,194,39,,,
2002-05-23,256,56,,,
2002-05-24,300,117,,,
2002-05-25,300,139,,,
2002-05-26,289,161,,,
2002-05-27,261,150,,,
2002-05-28,283,139,,,
2002-05-29,278,150,,,
2002-05-30,272,161,,,
2002-05-31,311,150,,,
2002-06-01,300,211,,,
2002-06-02,300,206,,,
2002-06-03,306,211,,,
2002-06-04,333,189,,,
2002-06-05,306,167,,,
2002-06-06,250,156,,,
2002-06-07,272,150,,,
2002-06-08,256,122,,,
2002-06-09,294,122,,,
2002-06-10,317,161,,,
2002-06-11,317,161,,,
2002-06-12,294,183,,,
2002-06-13,289,178,,,
2002-06-14,222,172,,,
2002-06-15,233,139,,,
2002-06-16,250,144,,,
2002-06-17,272,156,,,
2002-06-18,289,172,,,
2002-06-19,289,150,,,
2002-06-20,278,167,,,
2002-06-21,283,156,,,
2002-06-22,283,161,,,
2002-06-23,256,178,,,
2002-06-24,322,172,,,
2002-06-25,322,183,,,
2002-06-26,250,194,,,
2002-06-27,261,189,,,
2002-06-28,278,178,,,
2002-06-29,300,194,,,
2002-06-30,306,194,,,
2002-07-01,328,183,,,
2002-07-02,322,172,,,
2002-07-03,317,183,,,
2002-07-04,333,189,,,
2002-07-05,350,200,,,
2002-07-06,317,200,,,
2002-07-07,322,183,,,
2002-07-08,322,178,,,
2002-07-09,283,200,,,
2002-07-10,294,206,,,
2002-07-11,239,161,,,
2002-07-12,206,150,,,
2002-07-13,194,161,,,
2002-07-14,239,189,,,
2002-07-15,294,189,,,
2002-07-16,300,189,,,
2002-07-17,317,189,,,
2002-07-18,289,211,,,
2002-07-19,294,211,,,
2002-07-20,300,206,,,
2002-07-21,333,189,,,
2002-07-22,317,189,,,
2002-07-23,300,183,,,
2002-07-24,311,183,,,
2002-07-25,256,183,,,
2002-07-26,306,194,,,
2002-07-27,300,200,,,
2002-07-28,322,217,,,
2002-07-29,311,233,,,
2002-07-30,333,222,,,
2002-07-31,311,211,,,
2002-08-01,328,194,,,
2002-08-02,317,200,,,
2002-08-03,322,189,,,
2002-08-04,333,200,,,
2002-08-05,344,194,,,
2002-08-06,328,189,,,
2002-08-07,311,161,,,
2002-08-08,311,144,,,
2002-08-09,311,161,,,
2002-08-10,322,156,,,
2002-08-11,333,178,,,
2002-08-12,317,206,,,
2002-08-13,344,200,,,
2002-08-14,350,178,,,
2002-08-15,311,194,,,
2002-08-16,278,189,,,
2002-08-17,283,183,,,
2002-08-18,322,200,,,
2002-08-19,300,183,,,
2002-08-20,322,194,,,
2002-08-21,328,200,,,
2002-08-22,333,194,,,
2002-08-23,339,222,,,
2002-08-24,300,206,,,
2002-08-25,272,167,,,
2002-08-26,239,178,,,
2002-08-27,228,161,,,
2002-08-28,194,161,,,
2002-08-29,222,156,,,
2002-08-30,222,167,,,
2002-08-31,172,156,,,
2002-09-01,250,156,,,
2002-09-02,272,172,,,
2002-09-03,294,178,,,
2002-09-04,328,189,,,
2002-09-05,311,172,,,
2002-09-06,306,161,,,
2002-09-07,294,161,,,
2002-09-08,294,150,,,
2002-09-09,333,139,,,
2002-09-10,350,172,,,
2002-09-11,289,183,,,
2002-09-12,283,144,,,
2002-09-13,233,144,,,
2002-09-14,206,167,,,
2002-09-15,194,167,,,
2002-09-16,306,178,,,
2002-09-17,278,178,,,
2002-09-18,222,189,,,
2002-09-19,256,183,,,
2002-09-20,217,194,,,
2002-09-21,200,183,,,
2002-09-22,194,172,,,
2002-09-23,250,150,,,
2002-09-24,228,144,,,
2002-09-25,156,111,,,
2002-09-26,178,133,,,
2002-09-27,222,178,,,
2002-09-28,272,161,,,
2002-09-29,211,156,,,
2002-09-30,206,150,,,
2002-10-01,289,156,,,
2002-10-02,283,167,,,
2002-10-03,294,183,,,
2002-10-04,267,178,,,
2002-10-05,283,172,,,
2002-10-06,256,139,,,
2002-10-07,228,139,,,
2002-10-08,144,100,,,
2002-10-09,128,94,,,
2002-10-10,156,122,,,
2002-10-11,194,150,,,
2002-10-12,244,150,,,
2002-10-13,222,122,,,
2002-10-14,156,72,,,
2002-10-15,94,61,,,
2002-10-16,150,67,,,
2002-10-17,139,44,,,
2002-10-18,183,33,,,
2002-10-19,178,67,,,
2002-10-20,222,111,,,
2002-10-21,167,78,,,
2002-10-22,106,72,,,
2002-10-23,200,67,,,
2002-10-24,100,89,,,
2002-10-25,100,94,,,
2002-10-26,183,100,,,
2002-10-27,139,117,,,
2002-10-28,139,100,,,
2002-10-29,100,61,,,
2002-10-30,178,56,,,
2002-10-31,106,33,,,
2002-11-01,83,28,,,
2002-11-02,111,-6,,,
2002-11-03,128,44,,,
2002-11-04,133,44,,,
2002-11-05,83,56,,,
2002-11-06,106,28,,,
2002-11-07,133,11,,,
2002-11-08,183,33,,,
2002-11-09,194,67,,,
2002-11-10,172,122,,,
2002-11-11,178,117,,,
2002-11-12,111,67,,,
2002-11-13,89,33,,,
2002-11-14,139,22,,,
2002-11-15,128,44,,,
2002-11-16,100,56,,,
2002-11-17,50,-11,,,
2002-11-18,122,-33,,,
2002-11-19,133,11,,,
2002-11-20,117,28,,,
2002-11-21,94,67,,,
2002-11-22,56,-11,,,
2002-11-23,106,-22,,,
2002-11-24,194,61,,,
2002-11-25,189,72,,,
2002-11-26,139,61,,,
2002-11-27,50,-33,,,
2002-11-28,33,-61,,,
2002-11-29,111,-44,,,
2002-11-30,106,-28,,,
2002-12-01,39,-67,,,
2002-12-02,83,-17,,,
2002-12-03,133,0,,,
2002-12-04,0,-56,,,
2002-12-05,33,-11,,,
2002-12-06,44,-44,,,
2002-12-07,100,-56,,,
2002-12-08,83,17,,,
2002-12-09,44,-28,,,
2002-12-10,89,-28,,,
2002-12-11,61,11,,,
2002-12-12,122,17,,,
2002-12-13,39,0,,,
2002-12-14,22,-11,,,
2002-12-15,100,-17,,,
2002-12-16,139,50,,,
2002-12-17,83,-6,,,
2002-12-18,33,-6,,,
2002-12-19,72,22,,,
2002-12-20,89,22,,,
2002-12-21,94,17,,,
2002-12-22,139,28,,,
2002-12-23,106,17,,,
2002-12-24,67,11,,,
2002-12-25,11,-50,,,
2002-12-26,28,-56,,,
2002-12-27,89,-28,,,
2002-12-28,89,-17,,,
2002-12-29,172,50,,,
2002-12-30,128,56,,,
2002-12-31,128,56,,,
2003-01-01,122,94,,,
2003-01-02,100,50,,,
2003-01-03,50,-44,,,
2003-01-04,44,-56,,,
2003-01-05,111,-17,,,
2003-01-06,33,-39,,,
2003-01-07,61,-67,,,
2003-01-08,150,22,,,
2003-01-09,194,94,,,
2003-01-10,100,-33,,,
2003-01-11,56,-72,,,
2003-01-12,50,-106,,,
2003-01-13,67,-50,,,
2003-01-14,94,-39,,,
