DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-12-13,178,89,,,
2002-12-14,122,44,,,
2002-12-15,122,6,,,
2002-12-16,167,17,,,
2002-12-17,78,-33,,,
2002-12-18,106,17,,,
2002-12-19,189,22,,,
2002-12-20,194,67,,,
2002-12-21,144,33,,,
2002-12-22,167,6,,,
2002-12-23,150,17,,,
2002-12-24,94,33,,,
2002-12-25,100,22,,,
2002-12-26,78,-61,,,
2002-12-27,100,-78,,,
2002-12-28,89,-61,,,
2002-12-29,156,-33,,,
2002-12-30,194,-33,,,
2002-12-31,206,61,,,
2003-01-01,206,128,,,
2003-01-02,128,78,,,
2003-01-03,144,67,,,
2003-01-04,78,-39,,,
2003-01-05,100,-61,,,
2003-01-06,139,-28,,,
2003-01-07,50,-17,,,
2003-01-08,144,44,,,
2003-01-09,211,89,,,
2003-01-10,144,-39,,,
2003-01-11,72,-72,,,
2003-01-12,33,-78,,,
2003-01-13,89,-61,,,
2003-01-14,78,-6,,,
2003-01-15,50,-106,,,
2003-01-16,56,-78,,,
2003-01-17,17,-61,,,
2003-01-18,11,-117,,,
2003-01-19,39,-117,,,
2003-01-20,156,17,,,
2003-01-21,44,-17,,,
2003-01-22,17,-50,,,
2003-01-23,-11,-106,,,
2003-01-24,11,-139,,,
2003-01-25,61,-161,,,
2003-01-26,78,-78,,,
2003-01-27,28,-139,,,
2003-01-28,72,-144,,,
2003-01-29,161,11,,,
2003-01-30,67,28,,,
2003-01-31,406,33,,,
2003-02-01,89,28,,,
2003-02-02,128,-11,,,
2003-02-03,183,-17,,,
2003-02-04,194,-17,,,
2003-02-05,106,-44,,,
2003-02-06,72,-28,,,
2003-02-07,56,-17,,,
2003-02-08,72,-44,,,
2003-02-09,106,-56,,,
2003-02-10,61,0,,,
2003-02-11,106,-6,,,
2003-02-12,144,-44,,,
2003-02-13,106,-61,,,
2003-02-14,122,-17,,,
2003-02-15,100,44,,,
2003-02-16,72,39,,,
2003-02-17,61,-11,,,
2003-02-18,67,-11,,,
2003-02-19,133,-39,,,
2003-02-20,117,22,,,
2003-02-21,144,33,,,
2003-02-22,256,83,,,
2003-02-23,194,22,,,
2003-02-24,183,-39,,,
2003-02-25,106,33,,,
2003-02-26,61,17,,,
2003-02-27,78,44,,,
2003-02-28,56,33,,,
2003-03-01,133,28,,,
2003-03-02,172,72,,,
2003-03-03,94,-6,,,
2003-03-04,161,6,,,
2003-03-05,200,139,,,
2003-03-06,189,56,,,
2003-03-07,44,28,,,
2003-03-08,161,6,,,
2003-03-09,233,28,,,
2003-03-10,100,-22,,,
2003-03-11,106,6,,,
2003-03-12,194,33,,,
2003-03-13,233,67,,,
2003-03-14,122,33,,,
2003-03-15,183,44,,,
2003-03-16,189,128,,,
2003-03-17,172,133,,,
2003-03-18,161,89,,,
2003-03-19,139,89,,,
2003-03-20,194,128,,,
2003-03-21,239,156,,,
2003-03-22,244,89,,,
2003-03-23,189,78,,,
2003-03-24,189,33,,,
2003-03-25,222,17,,,
2003-03-26,256,56,,,
2003-03-27,167,106,,,
2003-03-28,244,106,,,
2003-03-29,250,128,,,
2003-03-30,183,39,,,
2003-03-31,100,44,,,
2003-04-01,200,28,,,
2003-04-02,267,117,,,
2003-04-03,283,122,,,
2003-04-04,267,106,,,
2003-04-05,278,167,,,
2003-04-06,161,83,,,
2003-04-07,128,89,,,
2003-04-08,89,72,,,
2003-04-09,94,72,,,
2003-04-10,117,78,,,
2003-04-11,94,72,,,
2003-04-12,222,78,,,
2003-04-13,183,39,,,
2003-04-14,211,33,,,
2003-04-15,256,44,,,
2003-04-16,278,100,,,
2003-04-17,244,78,,,
2003-04-18,194,111,,,
2003-04-19,150,94,,,
2003-04-20,200,83,,,
2003-04-21,239,100,,,
2003-04-22,261,156,,,
2003-04-23,200,78,,,
2003-04-24,228,56,,,
2003-04-25,211,89,,,
2003-04-26,250,133,,,
2003-04-27,211,89,,,
2003-04-28,256,61,,,
2003-04-29,283,122,,,
2003-04-30,283,139,,,
2003-05-01,267,150,,,
2003-05-02,267,167,,,
2003-05-03,194,117,,,
2003-05-04,156,44,,,
2003-05-05,200,50,,,
2003-05-06,272,194,,,
2003-05-07,294,194,,,
2003-05-08,306,172,,,
2003-05-09,322,172,,,
2003-05-10,294,183,,,
2003-05-11,322,217,,,
2003-05-12,267,156,,,
2003-05-13,244,83,,,
2003-05-14,261,67,,,
2003-05-15,244,122,,,
2003-05-16,272,156,,,
2003-05-17,167,144,,,
2003-05-18,156,128,,,
2003-05-19,172,122,,,
2003-05-20,250,122,,,
2003-05-21,278,106,,,
2003-05-22,217,172,,,
2003-05-23,183,167,,,
2003-05-24,217,156,,,
2003-05-25,283,133,,,
2003-05-26,267,178,,,
2003-05-27,178,144,,,
2003-05-28,250,133,,,
2003-05-29,267,156,,,
2003-05-30,267,133,,,
2003-05-31,250,156,,,
2003-06-01,244,128,,,
2003-06-02,233,83,,,
2003-06-03,267,128,,,
2003-06-04,244,200,,,
2003-06-05,278,144,,,
2003-06-06,278,117,,,
2003-06-07,267,194,,,
2003-06-08,278,228,,,
2003-06-09,311,206,,,
