DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-05-06,161,144,,,
2002-05-07,322,106,,,
2002-05-08,322,144,,,
2002-05-09,333,161,,,
2002-05-10,294,144,,,
2002-05-11,200,150,,,
2002-05-12,283,150,,,
2002-05-13,289,83,,,
2002-05-14,228,39,,,
2002-05-15,267,39,,,
2002-05-16,289,72,,,
2002-05-17,300,117,,,
2002-05-18,200,72,,,
2002-05-19,222,50,,,
2002-05-20,217,28,,,
2002-05-21,189,67,,,
2002-05-22,228,50,,,
2002-05-23,272,11,,,
2002-05-24,322,50,,,
2002-05-25,328,89,,,
2002-05-26,328,106,,,
2002-05-27,306,144,,,
2002-05-28,322,128,,,
2002-05-29,306,150,,,
2002-05-30,283,156,,,
2002-05-31,339,167,,,
2002-06-01,367,156,,,
2002-06-02,367,167,,,
2002-06-03,350,211,,,
2002-06-04,367,206,,,
2002-06-05,333,183,,,
2002-06-06,311,178,,,
2002-06-07,306,178,,,
2002-06-08,289,117,,,
2002-06-09,328,100,,,
2002-06-10,356,117,,,
2002-06-11,356,117,,,
2002-06-12,361,128,,,
2002-06-13,356,178,,,
2002-06-14,300,150,,,
2002-06-15,306,128,,,
2002-06-16,317,106,,,
2002-06-17,333,150,,,
2002-06-18,328,156,,,
2002-06-19,333,139,,,
2002-06-20,322,167,,,
2002-06-21,317,156,,,
2002-06-22,306,161,,,
2002-06-23,317,189,,,
2002-06-24,361,178,,,
2002-06-25,344,189,,,
2002-06-26,339,206,,,
2002-06-27,322,194,,,
2002-06-28,300,189,,,
2002-06-29,344,183,,,
2002-06-30,361,200,,,
2002-07-01,372,183,,,
2002-07-02,372,194,,,
2002-07-03,367,172,,,
2002-07-04,372,178,,,
2002-07-05,389,178,,,
2002-07-06,361,217,,,
2002-07-07,350,189,,,
2002-07-08,356,172,,,
2002-07-09,367,167,,,
2002-07-10,361,183,,,
2002-07-11,300,194,,,
2002-07-12,261,167,,,
2002-07-13,261,189,,,
2002-07-14,322,200,,,
2002-07-15,350,206,,,
2002-07-16,356,189,,,
2002-07-17,350,189,,,
2002-07-18,361,194,,,
2002-07-19,361,183,,,
2002-07-20,344,194,,,
2002-07-21,361,194,,,
2002-07-22,361,189,,,
2002-07-23,367,183,,,
2002-07-24,367,200,,,
2002-07-25,322,206,,,
2002-07-26,361,200,,,
2002-07-27,389,194,,,
2002-07-28,389,200,,,
2002-07-29,394,200,,,
2002-07-30,400,211,,,
2002-07-31,361,194,,,
2002-08-01,356,200,,,
2002-08-02,356,189,,,
2002-08-03,361,178,,,
2002-08-04,361,183,,,
2002-08-05,389,178,,,
2002-08-06,372,211,,,
2002-08-07,344,156,,,
