DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-01-18,150,100,,,
2002-01-19,206,89,,,
2002-01-20,106,44,,,
2002-01-21,178,56,,,
2002-01-22,144,28,,,
2002-01-23,200,72,,,
2002-01-24,222,133,,,
2002-01-25,183,61,,,
2002-01-26,172,44,,,
2002-01-27,189,83,,,
2002-01-28,244,106,,,
2002-01-29,244,94,,,
2002-01-30,239,133,,,
2002-01-31,250,172,,,
2002-02-01,233,167,,,
2002-02-02,189,78,,,
2002-02-03,111,33,,,
2002-02-04,128,0,,,
2002-02-05,78,-28,,,
2002-02-06,133,0,,,
2002-02-07,172,72,,,
2002-02-08,156,33,,,
2002-02-09,172,28,,,
2002-02-10,178,100,,,
2002-02-11,167,50,,,
2002-02-12,178,0,,,
2002-02-13,156,56,,,
2002-02-14,133,50,,,
2002-02-15,144,44,,,
2002-02-16,178,78,,,
2002-02-17,144,44,,,
2002-02-18,133,0,,,
2002-02-19,150,-22,,,
2002-02-20,211,106,,,
2002-02-21,217,117,,,
2002-02-22,172,83,,,
2002-02-23,117,67,,,
2002-02-24,156,44,,,
2002-02-25,156,-6,,,
2002-02-26,200,67,,,
2002-02-27,161,-11,,,
2002-02-28,67,-44,,,
2002-03-01,106,-39,,,
2002-03-02,183,94,,,
2002-03-03,206,128,,,
2002-03-04,133,-6,,,
2002-03-05,72,-28,,,
2002-03-06,139,-17,,,
2002-03-07,178,28,,,
2002-03-08,200,106,,,
2002-03-09,228,139,,,
2002-03-10,206,56,,,
2002-03-11,144,50,,,
2002-03-12,200,89,,,
2002-03-13,217,144,,,
2002-03-14,178,122,,,
2002-03-15,250,117,,,
2002-03-16,244,156,,,
2002-03-17,178,128,,,
2002-03-18,200,117,,,
2002-03-19,150,100,,,
2002-03-20,250,139,,,
2002-03-21,194,94,,,
2002-03-22,111,11,,,
2002-03-23,133,-11,,,
2002-03-24,200,33,,,
2002-03-25,250,106,,,
2002-03-26,233,139,,,
2002-03-27,206,128,,,
2002-03-28,144,78,,,
2002-03-29,206,78,,,
2002-03-30,233,189,,,
2002-03-31,250,189,,,
2002-04-01,233,117,,,
2002-04-02,233,106,,,
2002-04-03,261,172,,,
2002-04-04,189,106,,,
2002-04-05,172,56,,,
2002-04-06,161,33,,,
2002-04-07,144,61,,,
2002-04-08,217,61,,,
2002-04-09,250,172,,,
2002-04-10,200,150,,,
2002-04-11,217,122,,,
2002-04-12,233,161,,,
2002-04-13,233,161,,,
2002-04-14,256,178,,,
2002-04-15,267,200,,,
2002-04-16,278,189,,,
2002-04-17,283,189,,,
2002-04-18,294,200,,,
2002-04-19,267,206,,,
2002-04-20,289,206,,,
2002-04-21,306,200,,,
2002-04-22,300,206,,,
2002-04-23,206,133,,,
2002-04-24,211,117,,,
2002-04-25,244,183,,,
2002-04-26,211,139,,,
2002-04-27,222,172,,,
2002-04-28,267,194,,,
2002-04-29,322,183,,,
2002-04-30,200,139,,,
2002-05-01,244,144,,,
2002-05-02,267,217,,,
2002-05-03,300,200,,,
2002-05-04,211,150,,,
2002-05-05,206,117,,,
2002-05-06,233,133,,,
2002-05-07,272,167,,,
2002-05-08,289,211,,,
2002-05-09,278,217,,,
2002-05-10,300,200,,,
2002-05-11,244,189,,,
2002-05-12,283,183,,,
2002-05-13,272,200,,,
2002-05-14,228,122,,,
2002-05-15,244,83,,,
2002-05-16,250,117,,,
2002-05-17,278,200,,,
2002-05-18,283,144,,,
2002-05-19,161,100,,,
2002-05-20,206,106,,,
2002-05-21,206,78,,,
2002-05-22,206,128,,,
2002-05-23,217,100,,,
2002-05-24,267,100,,,
2002-05-25,289,178,,,
2002-05-26,267,167,,,
2002-05-27,261,150,,,
2002-05-28,272,183,,,
2002-05-29,256,206,,,
2002-05-30,261,211,,,
2002-05-31,283,200,,,
2002-06-01,333,228,,,
2002-06-02,333,233,,,
2002-06-03,311,233,,,
2002-06-04,283,239,,,
2002-06-05,289,233,,,
2002-06-06,283,206,,,
2002-06-07,272,200,,,
2002-06-08,250,161,,,
2002-06-09,256,144,,,
2002-06-10,278,122,,,
2002-06-11,278,150,,,
