DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-05-22,78,72,,,
2002-05-23,267,33,,,
2002-05-24,317,67,,,
2002-05-25,339,128,,,
2002-05-26,322,133,,,
2002-05-27,328,117,,,
2002-05-28,328,117,,,
2002-05-29,283,156,,,
2002-05-30,300,194,,,
2002-05-31,333,172,,,
2002-06-01,361,211,,,
2002-06-02,378,194,,,
2002-06-03,344,194,,,
2002-06-04,356,172,,,
2002-06-05,361,189,,,
2002-06-06,361,194,,,
2002-06-07,261,167,,,
2002-06-08,256,128,,,
2002-06-09,322,89,,,
2002-06-10,350,78,,,
2002-06-11,356,111,,,
2002-06-12,372,167,,,
2002-06-13,383,222,,,
2002-06-14,361,200,,,
2002-06-15,322,183,,,
2002-06-16,344,139,,,
2002-06-17,317,167,,,
2002-06-18,283,178,,,
2002-06-19,289,200,,,
2002-06-20,306,189,,,
2002-06-21,289,189,,,
2002-06-22,283,194,,,
2002-06-23,311,200,,,
2002-06-24,344,194,,,
2002-06-25,344,189,,,
2002-06-26,322,206,,,
2002-06-27,322,228,,,
2002-06-28,328,211,,,
2002-06-29,339,211,,,
2002-06-30,339,189,,,
2002-07-01,356,172,,,
2002-07-02,361,206,,,
2002-07-03,361,206,,,
2002-07-04,372,194,,,
2002-07-05,394,206,,,
2002-07-06,333,200,,,
2002-07-07,339,167,,,
2002-07-08,356,139,,,
2002-07-09,372,189,,,
2002-07-10,367,222,,,
2002-07-11,267,200,,,
2002-07-12,272,178,,,
2002-07-13,311,194,,,
2002-07-14,317,222,,,
2002-07-15,344,239,,,
2002-07-16,383,217,,,
2002-07-17,372,200,,,
2002-07-18,372,222,,,
2002-07-19,383,244,,,
2002-07-20,372,222,,,
2002-07-21,344,206,,,
2002-07-22,339,217,,,
2002-07-23,328,217,,,
2002-07-24,322,211,,,
2002-07-25,322,217,,,
2002-07-26,344,211,,,
2002-07-27,350,228,,,
2002-07-28,372,239,,,
2002-07-29,389,250,,,
2002-07-30,383,250,,,
2002-07-31,372,228,,,
2002-08-01,367,211,,,
2002-08-02,350,189,,,
2002-08-03,344,189,,,
2002-08-04,328,206,,,
2002-08-05,344,206,,,
2002-08-06,350,183,,,
2002-08-07,311,144,,,
2002-08-08,311,117,,,
2002-08-09,322,111,,,
2002-08-10,333,122,,,
2002-08-11,361,128,,,
2002-08-12,383,167,,,
2002-08-13,372,200,,,
2002-08-14,317,206,,,
2002-08-15,317,222,,,
2002-08-16,350,228,,,
2002-08-17,344,211,,,
2002-08-18,361,217,,,
2002-08-19,372,217,,,
2002-08-20,367,217,,,
2002-08-21,350,217,,,
2002-08-22,361,206,,,
2002-08-23,406,228,,,
2002-08-24,400,233,,,
2002-08-25,361,217,,,
2002-08-26,322,206,,,
2002-08-27,283,211,,,
2002-08-28,289,200,,,
2002-08-29,283,211,,,
2002-08-30,250,217,,,
2002-08-31,272,217,,,
2002-09-01,256,217,,,
2002-09-02,261,189,,,
2002-09-03,350,172,,,
2002-09-04,356,189,,,
2002-09-05,328,178,,,
2002-09-06,311,161,,,
2002-09-07,311,161,,,
2002-09-08,311,183,,,
2002-09-09,322,189,,,
2002-09-10,322,200,,,
2002-09-11,361,183,,,
2002-09-12,300,161,,,
2002-09-13,300,189,,,
2002-09-14,261,200,,,
2002-09-15,322,206,,,
2002-09-16,317,222,,,
2002-09-17,339,206,,,
2002-09-18,244,211,,,
2002-09-19,311,183,,,
2002-09-20,328,167,,,
2002-09-21,333,156,,,
2002-09-22,344,172,,,
2002-09-23,322,189,,,
2002-09-24,278,194,,,
2002-09-25,267,194,,,
2002-09-26,328,200,,,
2002-09-27,311,228,,,
2002-09-28,317,228,,,
2002-09-29,294,167,,,
2002-09-30,278,167,,,
2002-10-01,333,178,,,
2002-10-02,344,172,,,
2002-10-03,339,189,,,
2002-10-04,339,189,,,
2002-10-05,361,200,,,
2002-10-06,311,200,,,
2002-10-07,306,189,,,
2002-10-08,217,178,,,
2002-10-09,272,167,,,
2002-10-10,261,172,,,
2002-10-11,239,206,,,
2002-10-12,300,161,,,
2002-10-13,267,150,,,
2002-10-14,194,122,,,
2002-10-15,172,117,,,
2002-10-16,189,89,,,
2002-10-17,239,61,,,
2002-10-18,217,39,,,
2002-10-19,250,17,,,
2002-10-20,283,100,,,
2002-10-21,233,122,,,
2002-10-22,183,117,,,
2002-10-23,239,100,,,
2002-10-24,167,117,,,
2002-10-25,194,144,,,
2002-10-26,256,139,,,
2002-10-27,256,139,,,
2002-10-28,250,161,,,
2002-10-29,161,122,,,
2002-10-30,144,94,,,
2002-10-31,183,28,,,
2002-11-01,178,17,,,
2002-11-02,178,0,,,
2002-11-03,178,17,,,
2002-11-04,128,78,,,
2002-11-05,183,78,,,
2002-11-06,228,67,,,
2002-11-07,178,6,,,
2002-11-08,222,-11,,,
2002-11-09,244,22,,,
2002-11-10,272,139,,,
2002-11-11,278,167,,,
2002-11-12,217,111,,,
2002-11-13,161,11,,,
2002-11-14,194,-6,,,
2002-11-15,222,0,,,
2002-11-16,194,106,,,
2002-11-17,161,67,,,
2002-11-18,144,-11,,,
2002-11-19,194,-17,,,
2002-11-20,206,6,,,
2002-11-21,178,61,,,
2002-11-22,161,39,,,
2002-11-23,150,0,,,
2002-11-24,222,-11,,,
2002-11-25,217,6,,,
2002-11-26,200,0,,,
2002-11-27,133,6,,,
2002-11-28,100,-50,,,
2002-11-29,139,-61,,,
2002-11-30,194,50,,,
2002-12-01,111,-50,,,
2002-12-02,150,-67,,,
2002-12-03,156,-11,,,
2002-12-04,39,-17,,,
2002-12-05,33,0,,,
2002-12-06,106,-44,,,
2002-12-07,122,-67,,,
2002-12-08,150,-56,,,
2002-12-09,83,17,,,
2002-12-10,67,17,,,
2002-12-11,83,39,,,
2002-12-12,128,17,,,
2002-12-13,128,39,,,
2002-12-14,128,50,,,
2002-12-15,144,-11,,,
2002-12-16,206,0,,,
2002-12-17,122,-11,,,
2002-12-18,150,-6,,,
2002-12-19,161,67,,,
2002-12-20,200,44,,,
2002-12-21,150,-6,,,
2002-12-22,189,6,,,
2002-12-23,194,6,,,
2002-12-24,83,17,,,
2002-12-25,106,17,,,
2002-12-26,100,-33,,,
2002-12-27,122,-56,,,
2002-12-28,128,-44,,,
2002-12-29,200,-6,,,
2002-12-30,211,-17,,,
2002-12-31,211,33,,,
2003-01-01,211,106,,,
2003-01-02,122,67,,,
2003-01-03,144,56,,,
2003-01-04,106,-33,,,
2003-01-05,144,-44,,,
2003-01-06,156,0,,,
2003-01-07,94,-17,,,
2003-01-08,167,33,,,
2003-01-09,228,94,,,
2003-01-10,189,0,,,
2003-01-11,106,-39,,,
2003-01-12,61,-50,,,
2003-01-13,94,-28,,,
2003-01-14,139,-39,,,
2003-01-15,94,-61,,,
2003-01-16,94,-78,,,
2003-01-17,61,-39,,,
2003-01-18,39,-100,,,
2003-01-19,72,-67,,,
2003-01-20,183,6,,,
2003-01-21,139,0,,,
2003-01-22,67,-33,,,
2003-01-23,-6,-83,,,
2003-01-24,44,-94,,,
2003-01-25,94,-117,,,
2003-01-26,106,-28,,,
2003-01-27,39,-83,,,
2003-01-28,117,-89,,,
2003-01-29,211,50,,,
2003-01-30,100,28,,,
2003-01-31,72,22,,,
2003-02-01,133,6,,,
2003-02-02,189,-11,,,
2003-02-03,244,22,,,
2003-02-04,206,33,,,
2003-02-05,156,-22,,,
2003-02-06,83,-11,,,
2003-02-07,72,17,,,
2003-02-08,106,-17,,,
2003-02-09,128,-11,,,
2003-02-10,94,6,,,
2003-02-11,133,-28,,,
2003-02-12,178,-17,,,
2003-02-13,150,-56,,,
2003-02-14,172,-28,,,
2003-02-15,239,61,,,
2003-02-16,61,11,,,
2003-02-17,11,-11,,,
2003-02-18,83,-11,,,
2003-02-19,161,-17,,,
2003-02-20,183,33,,,
2003-02-21,200,33,,,
2003-02-22,278,117,,,
2003-02-23,178,-6,,,
2003-02-24,222,-17,,,
2003-02-25,172,50,,,
2003-02-26,72,28,,,
2003-02-27,56,17,,,
2003-02-28,139,17,,,
2003-03-01,117,61,,,
2003-03-02,172,94,,,
2003-03-03,150,0,,,
2003-03-04,172,6,,,
2003-03-05,183,106,,,
2003-03-06,183,122,,,
2003-03-07,106,0,,,
2003-03-08,206,-17,,,
2003-03-09,261,39,,,
2003-03-10,194,44,,,
2003-03-11,178,11,,,
2003-03-12,256,56,,,
2003-03-13,233,89,,,
2003-03-14,156,56,,,
2003-03-15,167,33,,,
2003-03-16,278,156,,,
2003-03-17,228,144,,,
2003-03-18,211,122,,,
2003-03-19,161,100,,,
2003-03-20,222,122,,,
2003-03-21,256,111,,,
2003-03-22,261,89,,,
2003-03-23,244,61,,,
2003-03-24,250,83,,,
2003-03-25,278,33,,,
2003-03-26,272,83,,,
2003-03-27,200,117,,,
2003-03-28,244,100,,,
2003-03-29,272,161,,,
2003-03-30,194,39,,,
2003-03-31,122,-6,,,
2003-04-01,222,-6,,,
2003-04-02,278,94,,,
2003-04-03,289,106,,,
2003-04-04,272,111,,,
2003-04-05,278,122,,,
2003-04-06,233,83,,,
2003-04-07,111,78,,,
2003-04-08,100,67,,,
2003-04-09,100,61,,,
2003-04-10,172,33,,,
2003-04-11,100,17,,,
2003-04-12,261,50,,,
2003-04-13,283,50,,,
2003-04-14,272,67,,,
2003-04-15,289,67,,,
2003-04-16,300,89,,,
2003-04-17,306,89,,,
2003-04-18,200,106,,,
2003-04-19,183,106,,,
2003-04-20,244,83,,,
2003-04-21,267,78,,,
2003-04-22,272,139,,,
2003-04-23,244,56,,,
2003-04-24,256,22,,,
2003-04-25,189,133,,,
2003-04-26,228,139,,,
2003-04-27,239,100,,,
2003-04-28,289,100,,,
2003-04-29,300,106,,,
2003-04-30,322,128,,,
2003-05-01,267,144,,,
2003-05-02,322,144,,,
2003-05-03,272,144,,,
2003-05-04,189,89,,,
2003-05-05,217,83,,,
2003-05-06,278,178,,,
2003-05-07,306,178,,,
2003-05-08,333,206,,,
2003-05-09,333,206,,,
2003-05-10,344,206,,,
2003-05-11,311,217,,,
2003-05-12,283,133,,,
2003-05-13,272,111,,,
2003-05-14,283,72,,,
2003-05-15,233,156,,,
2003-05-16,283,156,,,
2003-05-17,244,161,,,
2003-05-18,222,144,,,
2003-05-19,200,128,,,
2003-05-20,294,100,,,
2003-05-21,300,122,,,
2003-05-22,256,172,,,
2003-05-23,239,150,,,
2003-05-24,256,150,,,
2003-05-25,283,139,,,
2003-05-26,283,183,,,
2003-05-27,250,139,,,
2003-05-28,283,128,,,
2003-05-29,278,133,,,
2003-05-30,211,128,,,
2003-06-06,317,206,,,
2003-06-07,300,206,,,
2003-06-08,300,217,,,
2003-06-09,344,206,,,
2003-06-10,339,172,,,
2003-06-11,339,211,,,
2003-06-12,339,228,,,
2003-06-13,333,228,,,
2003-06-14,328,222,,,
2003-06-15,344,222,,,
2003-06-16,294,206,,,
2003-06-17,294,206,,,
2003-06-18,306,206,,,
2003-06-19,317,211,,,
2003-06-20,306,189,,,
2003-06-21,283,139,,,
2003-06-22,283,122,,,
2003-06-23,328,139,,,
2003-06-24,356,133,,,
2003-06-25,361,161,,,
2003-06-26,356,194,,,
2003-06-27,344,206,,,
2003-06-28,339,194,,,
2003-06-29,344,183,,,
2003-06-30,356,206,,,
2003-07-01,278,206,,,
2003-07-02,294,194,,,
2003-07-03,317,206,,,
2003-07-04,356,194,,,
2003-07-05,333,222,,,
2003-07-06,333,239,,,
2003-07-07,344,222,,,
2003-07-08,356,233,,,
2003-07-09,356,222,,,
2003-07-10,350,217,,,
2003-07-11,344,206,,,
2003-07-12,339,206,,,
2003-07-13,311,200,,,
2003-07-14,317,206,,,
2003-07-15,333,211,,,
2003-07-16,339,211,,,
2003-07-17,322,206,,,
2003-07-18,333,206,,,
2003-07-19,322,194,,,
2003-07-20,328,189,,,
2003-07-21,333,206,,,
2003-07-22,339,211,,,
2003-07-23,294,206,,,
2003-07-24,306,211,,,
2003-07-25,322,206,,,
2003-07-26,328,211,,,
2003-07-27,333,211,,,
2003-07-28,339,222,,,
2003-07-29,361,217,,,
2003-07-30,328,211,,,
2003-07-31,328,222,,,
2003-08-01,311,222,,,
2003-08-02,339,222,,,
2003-08-03,328,217,,,
2003-08-04,322,228,,,
2003-08-05,328,200,,,
2003-08-06,322,222,,,
2003-08-07,322,222,,,
2003-08-08,333,217,,,
2003-08-09,311,217,,,
2003-08-10,311,222,,,
2003-08-11,322,222,,,
2003-08-12,339,222,,,
2003-08-13,328,222,,,
2003-08-14,344,206,,,
2003-08-15,356,206,,,
2003-08-16,333,217,,,
2003-08-17,328,211,,,
2003-08-18,333,206,,,
2003-08-19,328,194,,,
2003-08-20,350,206,,,
2003-08-21,350,200,,,
2003-08-22,344,211,,,
2003-08-23,339,217,,,
2003-08-24,306,189,,,
2003-08-25,344,183,,,
2003-08-26,350,222,,,
2003-08-27,356,222,,,
2003-08-28,372,228,,,
2003-08-29,367,217,,,
2003-08-30,361,217,,,
2003-08-31,372,206,,,
2003-09-01,356,194,,,
2003-09-02,339,200,,,
2003-09-03,344,206,,,
2003-09-04,344,211,,,
2003-09-05,306,194,,,
2003-09-06,239,167,,,
2003-09-07,261,183,,,
2003-09-08,244,200,,,
2003-09-09,294,183,,,
2003-09-10,256,156,,,
2003-09-11,283,150,,,
2003-09-12,239,189,,,
2003-09-13,267,161,,,
2003-09-14,333,150,,,
2003-09-15,333,144,,,
2003-09-16,306,172,,,
2003-09-17,300,133,,,
2003-09-18,217,178,,,
2003-09-19,322,172,,,
2003-09-20,339,139,,,
2003-09-21,328,139,,,
2003-09-22,311,189,,,
2003-09-23,311,144,,,
2003-09-24,311,117,,,
2003-09-25,311,111,,,
2003-09-26,317,128,,,
2003-09-27,283,144,,,
2003-09-28,283,139,,,
2003-09-29,244,83,,,
2003-09-30,244,56,,,
2003-10-01,272,50,,,
2003-10-02,228,67,,,
2003-10-03,239,28,,,
2003-10-04,267,78,,,
2003-10-05,272,94,,,
2003-10-06,289,106,,,
2003-10-07,250,156,,,
2003-10-08,200,167,,,
2003-10-09,256,172,,,
2003-10-10,217,172,,,
2003-10-11,206,178,,,
2003-10-12,283,150,,,
2003-10-13,317,122,,,
2003-10-14,244,167,,,
2003-10-15,244,61,,,
2003-10-16,267,22,,,
2003-10-17,261,39,,,
2003-10-18,211,61,,,
2003-10-19,250,28,,,
2003-10-20,283,56,,,
2003-10-21,283,100,,,
2003-10-22,244,89,,,
2003-10-23,211,11,,,
2003-10-24,183,61,,,
2003-10-25,250,89,,,
2003-10-26,278,161,,,
2003-10-27,256,183,,,
2003-10-28,189,122,,,
2003-10-29,222,67,,,
2003-10-30,267,50,,,
2003-10-31,283,56,,,
2003-11-01,306,50,,,
2003-11-02,294,67,,,
2003-11-03,294,94,,,
2003-11-04,322,194,,,
2003-11-05,306,178,,,
2003-11-06,300,200,,,
2003-11-07,233,183,,,
2003-11-08,172,111,,,
2003-11-09,133,28,,,
2003-11-10,194,22,,,
2003-11-11,250,28,,,
2003-11-12,278,100,,,
2003-11-13,206,50,,,
2003-11-14,167,-6,,,
2003-11-15,172,11,,,
2003-11-16,244,22,,,
2003-11-17,283,111,,,
2003-11-18,278,100,,,
2003-11-19,244,122,,,
2003-11-20,217,28,,,
2003-11-21,278,0,,,
2003-11-22,278,33,,,
2003-11-23,272,17,,,
2003-11-24,261,56,,,
2003-11-25,161,11,,,
2003-11-26,211,50,,,
2003-11-27,228,39,,,
2003-11-28,261,67,,,
2003-11-29,111,0,,,
2003-11-30,189,-33,,,
2003-12-01,217,17,,,
2003-12-02,139,-39,,,
2003-12-03,56,-39,,,
2003-12-04,83,22,,,
2003-12-05,72,33,,,
2003-12-06,106,0,,,
2003-12-07,111,-28,,,
2003-12-08,150,-50,,,
2003-12-09,189,-44,,,
2003-12-10,211,67,,,
