DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1893-01-01,167.0,33.0,135.0,,
1893-01-02,89.0,67.0,0.0,,
1893-01-03,67.0,22.0,41.0,,
1893-01-04,33.0,-17.0,18.0,,
1893-01-05,33.0,11.0,53.0,,
1893-01-06,-11.0,-50.0,3.0,,
1893-01-07,11.0,-39.0,0.0,,
1893-01-08,28.0,-11.0,0.0,,
1893-01-09,89.0,-22.0,0.0,,
1893-01-10,22.0,-44.0,0.0,,
1893-01-11,-22.0,-89.0,0.0,,
1893-01-12,100.0,-44.0,25.0,,
1893-01-13,-22.0,-56.0,0.0,,
1893-01-14,67.0,-100.0,0.0,,
1893-01-15,44.0,-33.0,81.0,,
1893-01-16,-33.0,-72.0,0.0,,
1893-01-17,-22.0,-78.0,0.0,,
1893-01-18,0.0,-67.0,0.0,,
1893-01-19,111.0,-17.0,368.0,,
1893-01-20,-22.0,-67.0,0.0,,
1893-01-21,0.0,-44.0,0.0,,
1893-01-22,17.0,-39.0,0.0,,
1893-01-23,78.0,-11.0,0.0,,
1893-01-24,89.0,6.0,0.0,,
1893-01-25,111.0,11.0,0.0,,
1893-01-26,156.0,11.0,0.0,,
1893-01-27,161.0,50.0,0.0,,
1893-01-28,200.0,67.0,0.0,,
1893-01-29,167.0,89.0,71.0,,
1893-01-30,89.0,44.0,76.0,,
1893-01-31,67.0,22.0,0.0,,
1893-02-01,150.0,33.0,0.0,,
1893-02-02,156.0,61.0,0.0,,
1893-02-03,178.0,44.0,0.0,,
1893-02-04,72.0,6.0,0.0,,
1893-02-05,56.0,0.0,0.0,,
1893-02-06,122.0,44.0,0.0,,
1893-02-07,144.0,89.0,10.0,,
1893-02-08,44.0,11.0,0.0,,
1893-02-09,117.0,11.0,0.0,,
1893-02-10,156.0,106.0,10.0,,
1893-02-11,133.0,56.0,0.0,,
1893-02-12,78.0,44.0,13.0,,
1893-02-13,156.0,56.0,188.0,,
1893-02-14,94.0,44.0,0.0,,
1893-02-15,183.0,44.0,38.0,,
1893-02-16,156.0,100.0,8.0,,
1893-02-17,156.0,83.0,20.0,,
1893-02-18,167.0,67.0,107.0,,
1893-02-19,89.0,33.0,0.0,,
1893-02-20,33.0,6.0,0.0,,
1893-02-21,133.0,-11.0,107.0,,
1893-02-22,150.0,67.0,36.0,,
1893-02-23,133.0,17.0,0.0,,
1893-02-24,133.0,100.0,0.0,,
1893-02-25,161.0,72.0,0.0,,
1893-02-26,67.0,28.0,0.0,,
1893-02-27,106.0,33.0,0.0,,
1893-02-28,178.0,100.0,97.0,,
1893-03-01,100.0,61.0,0.0,,
1893-03-02,122.0,61.0,0.0,,
1893-03-03,150.0,67.0,20.0,,
1893-03-04,61.0,0.0,163.0,,
1893-03-05,56.0,-22.0,0.0,,
1893-03-06,61.0,11.0,0.0,,
1893-03-07,139.0,44.0,0.0,,
1893-03-08,189.0,83.0,0.0,,
1893-03-09,172.0,144.0,97.0,,
1893-03-10,106.0,67.0,0.0,,
1893-03-11,100.0,50.0,8.0,,
1893-03-12,144.0,67.0,114.0,,
1893-03-13,111.0,67.0,0.0,,
1893-03-14,167.0,56.0,0.0,,
1893-03-15,111.0,72.0,0.0,,
1893-03-16,44.0,11.0,0.0,,
1893-03-17,144.0,6.0,404.0,,
1893-03-18,50.0,33.0,0.0,,
1893-03-19,72.0,17.0,0.0,,
1893-03-20,111.0,33.0,0.0,,
1893-03-21,156.0,50.0,0.0,,
1893-03-22,183.0,94.0,30.0,,
1893-03-23,200.0,122.0,0.0,,
1893-03-24,189.0,139.0,0.0,,
1893-03-25,178.0,128.0,234.0,,
1893-03-26,111.0,89.0,0.0,,
1893-03-27,94.0,67.0,71.0,,
1893-03-28,78.0,44.0,5.0,,
1893-03-29,67.0,44.0,0.0,,
1893-03-30,100.0,44.0,0.0,,
1893-03-31,128.0,72.0,0.0,,
1893-04-01,172.0,78.0,0.0,,
1893-04-02,156.0,106.0,10.0,,
1893-04-03,200.0,111.0,0.0,,
1893-04-04,183.0,128.0,130.0,,
1893-04-05,156.0,111.0,0.0,,
1893-04-06,183.0,106.0,20.0,,
1893-04-07,217.0,111.0,5.0,,
1893-04-08,200.0,156.0,0.0,,
1893-04-09,222.0,144.0,0.0,,
1893-04-10,211.0,133.0,0.0,,
1893-04-11,100.0,78.0,0.0,,
1893-04-12,194.0,139.0,0.0,,
1893-04-13,194.0,133.0,15.0,,
1893-04-14,211.0,150.0,0.0,,
1893-04-15,217.0,144.0,0.0,,
1893-04-16,111.0,67.0,0.0,,
1893-04-17,111.0,67.0,132.0,,
1893-04-18,161.0,61.0,0.0,,
1893-04-19,206.0,100.0,8.0,,
1893-04-20,194.0,150.0,318.0,,
1893-04-21,194.0,156.0,0.0,,
1893-04-22,172.0,133.0,0.0,,
1893-04-23,200.0,111.0,0.0,,
1893-04-24,139.0,94.0,0.0,,
1893-04-25,228.0,100.0,0.0,,
1893-04-26,161.0,122.0,130.0,,
1893-04-27,211.0,133.0,0.0,,
1893-04-28,178.0,144.0,20.0,,
1893-04-29,211.0,122.0,0.0,,
1893-04-30,222.0,172.0,10.0,,
1893-05-01,228.0,167.0,69.0,,
1893-05-02,233.0,172.0,0.0,,
1893-05-03,217.0,178.0,76.0,,
1893-05-04,189.0,139.0,81.0,,
1893-05-05,222.0,161.0,0.0,,
1893-05-06,222.0,178.0,0.0,,
1893-05-07,144.0,111.0,38.0,,
1893-05-08,161.0,106.0,0.0,,
1893-05-09,167.0,117.0,422.0,,
1893-05-10,183.0,122.0,23.0,,
1893-05-11,200.0,133.0,0.0,,
1893-05-12,222.0,144.0,0.0,,
1893-05-13,211.0,156.0,0.0,,
1893-05-14,233.0,156.0,0.0,,
1893-05-15,233.0,144.0,0.0,,
1893-05-16,217.0,172.0,229.0,,
1893-05-17,200.0,144.0,0.0,,
1893-05-18,211.0,144.0,0.0,,
1893-05-19,217.0,161.0,0.0,,
1893-05-20,233.0,161.0,0.0,,
1893-05-21,233.0,178.0,0.0,,
1893-05-22,233.0,183.0,0.0,,
1893-05-23,244.0,194.0,0.0,,
1893-05-24,211.0,167.0,8.0,,
1893-05-25,217.0,150.0,0.0,,
1893-05-26,256.0,172.0,0.0,,
1893-05-27,256.0,211.0,0.0,,
1893-05-28,261.0,211.0,20.0,,
1893-05-29,228.0,167.0,170.0,,
1893-05-30,194.0,150.0,10.0,,
1893-05-31,222.0,144.0,0.0,,
1893-06-01,261.0,194.0,3.0,,
1893-06-02,244.0,200.0,76.0,,
1893-06-03,267.0,206.0,0.0,,
1893-06-04,267.0,211.0,0.0,,
1893-06-05,267.0,217.0,0.0,,
1893-06-06,261.0,222.0,0.0,,
1893-06-07,272.0,189.0,325.0,,
1893-06-08,200.0,183.0,140.0,,
1893-06-09,222.0,178.0,0.0,,
1893-06-10,261.0,167.0,0.0,,
1893-06-11,267.0,200.0,0.0,,
1893-06-12,267.0,211.0,0.0,,
1893-06-13,244.0,194.0,0.0,,
1893-06-14,233.0,194.0,5.0,,
1893-06-15,244.0,200.0,0.0,,
1893-06-16,272.0,206.0,625.0,,
1893-06-17,250.0,206.0,25.0,,
1893-06-18,267.0,217.0,0.0,,
1893-06-19,294.0,228.0,0.0,,
1893-06-20,300.0,244.0,0.0,,
1893-06-21,272.0,239.0,0.0,,
1893-06-22,267.0,239.0,0.0,,
1893-06-23,267.0,206.0,0.0,,
1893-06-24,256.0,178.0,0.0,,
1893-06-25,272.0,194.0,0.0,,
1893-06-26,283.0,200.0,124.0,,
1893-06-27,250.0,200.0,0.0,,
1893-06-28,217.0,178.0,5.0,,
1893-06-29,217.0,172.0,0.0,,
1893-06-30,233.0,189.0,0.0,,
1893-07-01,261.0,189.0,0.0,,
1893-07-02,272.0,222.0,0.0,,
1893-07-03,272.0,211.0,46.0,,
1893-07-04,278.0,217.0,0.0,,
1893-07-05,272.0,211.0,0.0,,
1893-07-06,289.0,244.0,0.0,,
1893-07-07,300.0,244.0,0.0,,
1893-07-08,300.0,239.0,0.0,,
1893-07-09,306.0,244.0,0.0,,
1893-07-10,256.0,217.0,554.0,,
1893-07-11,256.0,217.0,0.0,,
1893-07-12,267.0,194.0,0.0,,
1893-07-13,278.0,222.0,0.0,,
1893-07-14,300.0,233.0,0.0,,
1893-07-15,300.0,217.0,10.0,,
1893-07-16,289.0,244.0,0.0,,
1893-07-17,294.0,250.0,0.0,,
1893-07-18,289.0,256.0,5.0,,
1893-07-19,289.0,211.0,310.0,,
1893-07-20,278.0,244.0,0.0,,
1893-07-21,283.0,233.0,0.0,,
1893-07-22,294.0,228.0,0.0,,
1893-07-23,311.0,256.0,0.0,,
1893-07-24,289.0,228.0,0.0,,
1893-07-25,278.0,206.0,0.0,,
1893-07-26,289.0,239.0,0.0,,
1893-07-27,289.0,244.0,5.0,,
1893-07-28,278.0,222.0,0.0,,
1893-07-29,300.0,233.0,0.0,,
1893-07-30,294.0,256.0,0.0,,
1893-07-31,289.0,256.0,0.0,,
1893-08-01,289.0,228.0,147.0,,
1893-08-02,,,33.0,,
1893-08-07,,,246.0,,
1893-08-08,267.0,222.0,0.0,,
1893-08-09,272.0,211.0,0.0,,
1893-08-10,283.0,233.0,0.0,,
1893-08-11,294.0,228.0,0.0,,
1893-08-12,283.0,250.0,0.0,,
1893-08-13,283.0,244.0,5.0,,
1893-08-14,267.0,222.0,0.0,,
1893-08-15,250.0,178.0,25.0,,
1893-08-16,272.0,194.0,0.0,,
1893-08-17,278.0,222.0,0.0,,
1893-08-18,267.0,233.0,86.0,,
1893-08-19,278.0,222.0,0.0,,
1893-08-20,244.0,211.0,942.0,,
1893-08-21,267.0,217.0,13.0,,
1893-08-22,233.0,189.0,58.0,,
1893-08-23,256.0,200.0,23.0,,
1893-08-24,272.0,222.0,0.0,,
1893-08-25,289.0,233.0,46.0,,
1893-08-26,289.0,239.0,0.0,,
1893-08-27,289.0,256.0,0.0,,
1893-08-28,283.0,261.0,25.0,,
1893-08-29,289.0,267.0,3.0,,
1893-08-30,267.0,233.0,127.0,,
1893-08-31,272.0,222.0,89.0,,
1893-09-01,278.0,222.0,13.0,,
1893-09-02,250.0,211.0,94.0,,
1893-09-03,239.0,206.0,69.0,,
1893-09-04,250.0,183.0,0.0,,
1893-09-05,272.0,222.0,0.0,,
1893-09-06,278.0,233.0,0.0,,
1893-09-07,272.0,244.0,0.0,,
1893-09-08,272.0,239.0,0.0,,
1893-09-09,250.0,217.0,56.0,,
1893-09-10,278.0,222.0,18.0,,
