DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1945-02-01,-17,-78,,,
1945-02-02,0,-61,,,
1945-02-03,-17,-67,,,
1945-02-04,11,-72,5.0,,0.0
1945-02-05,22,-17,0.0,,
1945-02-06,33,-44,,,
1945-02-07,44,-50,0.0,,
1945-02-08,61,0,36.0,,
1945-02-09,56,-6,,,
1945-02-10,39,6,,,
1945-02-11,94,22,,,
1945-02-12,44,-17,,,
1945-02-13,33,11,84.0,,
1945-02-14,28,-11,0.0,,
1945-02-15,39,-11,,,
1945-02-16,117,33,8.0,,
1945-02-17,44,-11,53.0,,71.0
1945-02-18,6,-33,0.0,,0.0
1945-02-19,-28,-78,,,
1945-02-20,6,-56,8.0,,0.0
1945-02-21,33,-6,36.0,,
1945-02-22,83,28,107.0,,
1945-02-23,106,33,48.0,,
1945-02-24,72,11,,,
1945-02-25,117,17,,,
1945-02-26,67,22,25.0,,
1945-02-27,111,33,86.0,,
1945-02-28,17,-22,66.0,,
1945-03-01,67,6,,,
1945-03-02,100,17,8.0,,
1945-03-03,183,39,5.0,,
1945-03-04,100,17,,,
1945-03-05,56,-6,0.0,,
1945-03-06,167,44,5.0,,
1945-03-07,89,28,3.0,,
1945-03-08,56,-11,,,
1945-03-09,83,11,,,
1945-03-10,72,17,20.0,,
1945-03-11,56,11,,,
1945-03-12,61,22,0.0,,
1945-03-13,111,33,0.0,,
1945-03-14,72,33,,,
1945-03-15,150,56,3.0,,
1945-03-16,217,61,0.0,,
1945-03-17,228,83,3.0,,
1945-03-18,178,72,,,
1945-03-19,122,67,,,
1945-03-20,233,83,,,
1945-03-21,122,83,76.0,,
1945-03-22,100,22,53.0,,0.0
1945-03-23,167,44,,,
1945-03-24,178,67,,,
1945-03-25,144,56,,,
1945-03-26,100,56,,,
1945-03-27,222,78,,,
1945-03-28,200,100,,,
1945-03-29,244,89,,,
1945-03-30,228,106,0.0,,
1945-03-31,172,100,8.0,,
1945-04-01,189,100,,,
1945-04-02,133,72,94.0,,
1945-04-03,222,122,41.0,,
1945-04-04,139,83,0.0,,
1945-04-05,144,67,28.0,,
1945-04-06,111,33,,,
1945-04-07,122,50,,,
1945-04-08,161,67,,,
1945-04-09,167,89,,,
1945-04-10,133,78,,,
1945-04-11,167,72,3.0,,
1945-04-12,178,100,0.0,,
1945-04-13,161,100,,,
1945-04-14,239,122,38.0,,
1945-04-15,144,100,5.0,,
1945-04-16,117,94,51.0,,
1945-04-17,161,111,46.0,,
1945-04-18,189,117,99.0,,
1945-04-19,133,78,,,
1945-04-20,133,94,5.0,,
1945-04-21,178,100,0.0,,
1945-04-22,128,67,,,
1945-04-23,106,28,,,
1945-04-24,144,100,15.0,,
1945-04-25,167,111,127.0,,
1945-04-26,178,122,137.0,,
1945-04-27,144,89,,,
1945-04-28,133,61,,,
1945-04-29,128,56,,,
1945-04-30,150,83,,,
1945-05-01,111,61,23.0,0.0,0.0
1945-05-02,117,61,0.0,0.0,0.0
1945-05-03,128,89,114.0,0.0,0.0
1945-05-04,144,106,23.0,0.0,0.0
1945-05-05,139,89,0.0,0.0,0.0
1945-05-06,156,89,3.0,0.0,0.0
1945-05-07,167,100,0.0,0.0,0.0
1945-05-08,183,133,25.0,0.0,0.0
1945-05-09,178,128,0.0,0.0,0.0
1945-05-10,156,117,145.0,0.0,0.0
1945-05-11,144,67,0.0,0.0,0.0
1945-05-12,161,106,0.0,0.0,0.0
1945-05-13,200,128,0.0,0.0,0.0
1945-05-14,194,122,0.0,0.0,0.0
1945-05-15,178,133,0.0,0.0,0.0
1945-05-16,206,139,0.0,0.0,0.0
1945-05-17,183,156,0.0,0.0,0.0
1945-05-18,189,150,99.0,0.0,0.0
1945-05-19,194,117,3.0,0.0,0.0
1945-05-20,183,100,0.0,0.0,0.0
