DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2004-03-01,122.0,-72.0,0.0,0.0,0.0
2004-03-02,50.0,-33.0,0.0,0.0,0.0
2004-03-03,28.0,-28.0,23.0,25.0,23.0
2004-03-04,83.0,-28.0,0.0,0.0,0.0
2004-03-05,39.0,-39.0,175.0,0.0,18.0
2004-03-06,22.0,-94.0,0.0,0.0,0.0
2004-03-07,100.0,-67.0,0.0,0.0,0.0
2004-03-08,150.0,-61.0,0.0,0.0,0.0
2004-03-09,172.0,-44.0,0.0,0.0,0.0
2004-03-10,156.0,-33.0,0.0,0.0,0.0
2004-03-11,172.0,-39.0,0.0,0.0,0.0
2004-03-12,128.0,-56.0,0.0,0.0,0.0
2004-03-13,128.0,11.0,0.0,0.0,0.0
2004-03-14,150.0,-28.0,0.0,0.0,0.0
2004-03-15,139.0,-44.0,0.0,0.0,0.0
2004-03-16,144.0,-61.0,0.0,0.0,0.0
2004-03-17,150.0,-61.0,0.0,0.0,0.0
2004-03-18,178.0,-56.0,0.0,0.0,0.0
2004-03-19,194.0,-44.0,0.0,0.0,0.0
2004-03-20,217.0,-33.0,0.0,0.0,0.0
2004-03-21,222.0,-44.0,0.0,0.0,0.0
2004-03-22,233.0,-44.0,0.0,0.0,0.0
2004-03-23,217.0,-11.0,0.0,0.0,0.0
2004-03-24,211.0,17.0,5.0,0.0,0.0
2004-03-25,200.0,0.0,8.0,0.0,0.0
2004-03-26,200.0,-17.0,0.0,0.0,0.0
2004-03-27,206.0,-17.0,25.0,0.0,0.0
2004-03-28,206.0,-83.0,0.0,0.0,0.0
2004-03-29,211.0,-111.0,0.0,0.0,0.0
2004-03-30,172.0,-78.0,0.0,0.0,0.0
2004-03-31,172.0,-61.0,0.0,0.0,0.0
2004-04-01,206.0,-33.0,0.0,0.0,0.0
2004-04-02,211.0,17.0,0.0,0.0,0.0
2004-04-03,211.0,22.0,191.0,0.0,0.0
2004-04-04,94.0,11.0,25.0,0.0,0.0
2004-04-05,94.0,6.0,18.0,0.0,0.0
2004-04-06,,,,0.0,0.0
2004-04-07,83.0,-17.0,,0.0,0.0
2004-04-08,156.0,6.0,127.0,0.0,0.0
2004-04-09,156.0,6.0,71.0,0.0,0.0
2004-04-10,128.0,6.0,33.0,0.0,0.0
2004-04-11,56.0,-17.0,13.0,0.0,0.0
2004-04-12,67.0,-22.0,0.0,0.0,0.0
2004-04-13,122.0,-44.0,0.0,0.0,0.0
2004-04-14,156.0,-6.0,0.0,0.0,0.0
2004-04-15,178.0,-28.0,0.0,0.0,0.0
2004-04-16,,,,0.0,0.0
2004-04-17,167.0,-39.0,0.0,0.0,0.0
2004-04-18,200.0,0.0,0.0,0.0,0.0
2004-04-19,139.0,-61.0,0.0,0.0,0.0
2004-04-20,183.0,-39.0,0.0,0.0,0.0
2004-04-21,189.0,-56.0,0.0,0.0,0.0
2004-04-22,150.0,-39.0,0.0,0.0,0.0
2004-04-23,156.0,-39.0,0.0,0.0,0.0
2004-04-24,156.0,-67.0,0.0,0.0,0.0
2004-04-25,156.0,-67.0,0.0,0.0,0.0
2004-04-26,161.0,-61.0,0.0,0.0,0.0
2004-04-27,200.0,-61.0,0.0,0.0,0.0
2004-04-28,217.0,6.0,0.0,0.0,0.0
2004-04-29,206.0,22.0,0.0,0.0,0.0
2004-04-30,189.0,6.0,48.0,0.0,0.0
2004-05-01,94.0,-39.0,10.0,0.0,0.0
2004-05-02,156.0,-39.0,0.0,0.0,0.0
2004-05-03,206.0,-28.0,0.0,0.0,0.0
2004-05-04,222.0,-22.0,0.0,0.0,0.0
2004-05-05,250.0,17.0,0.0,0.0,0.0
2004-05-06,267.0,11.0,0.0,0.0,0.0
2004-05-07,261.0,0.0,0.0,0.0,0.0
2004-05-08,256.0,-6.0,0.0,0.0,0.0
2004-05-09,250.0,-6.0,0.0,0.0,0.0
2004-05-10,239.0,-11.0,0.0,0.0,0.0
2004-05-11,244.0,78.0,0.0,0.0,0.0
2004-05-12,194.0,-28.0,0.0,0.0,0.0
2004-05-13,200.0,-33.0,0.0,0.0,0.0
2004-05-14,200.0,-61.0,0.0,0.0,0.0
2004-05-15,233.0,-44.0,0.0,0.0,0.0
2004-05-16,228.0,-56.0,0.0,0.0,0.0
2004-05-17,233.0,-61.0,0.0,0.0,0.0
2004-05-18,244.0,-61.0,0.0,0.0,0.0
2004-05-19,256.0,22.0,0.0,0.0,0.0
2004-05-20,267.0,83.0,0.0,0.0,0.0
2004-05-21,267.0,22.0,0.0,0.0,0.0
2004-05-22,250.0,-17.0,0.0,0.0,0.0
2004-05-23,256.0,-28.0,0.0,0.0,0.0
2004-05-24,239.0,-22.0,0.0,0.0,0.0
2004-05-25,239.0,-22.0,0.0,0.0,0.0
2004-05-26,200.0,61.0,0.0,0.0,0.0
2004-05-27,217.0,17.0,0.0,0.0,0.0
2004-05-28,239.0,11.0,0.0,0.0,0.0
2004-05-29,244.0,0.0,0.0,0.0,0.0
2004-05-30,256.0,17.0,0.0,0.0,0.0
2004-05-31,250.0,-17.0,0.0,0.0,0.0
2004-06-01,261.0,-33.0,0.0,0.0,0.0
2004-06-02,261.0,72.0,0.0,0.0,0.0
2004-06-03,283.0,128.0,0.0,0.0,0.0
2004-06-04,283.0,61.0,0.0,0.0,0.0
2004-06-05,289.0,72.0,0.0,0.0,0.0
2004-06-06,300.0,67.0,0.0,0.0,0.0
2004-06-07,300.0,72.0,0.0,0.0,0.0
2004-06-08,300.0,61.0,0.0,0.0,0.0
2004-06-09,289.0,61.0,0.0,0.0,0.0
2004-06-10,289.0,39.0,0.0,0.0,0.0
2004-06-11,289.0,56.0,0.0,0.0,0.0
2004-06-12,294.0,44.0,0.0,0.0,0.0
2004-06-13,289.0,50.0,0.0,0.0,0.0
2004-06-14,289.0,39.0,0.0,0.0,0.0
2004-06-15,283.0,50.0,0.0,0.0,0.0
2004-06-16,300.0,50.0,0.0,0.0,0.0
2004-06-17,289.0,133.0,0.0,0.0,0.0
2004-06-18,294.0,61.0,0.0,0.0,0.0
2004-06-19,289.0,56.0,0.0,0.0,0.0
2004-06-20,283.0,50.0,0.0,0.0,0.0
2004-06-21,272.0,33.0,0.0,0.0,0.0
2004-06-22,278.0,44.0,0.0,0.0,0.0
2004-06-23,211.0,28.0,0.0,0.0,0.0
2004-06-24,256.0,61.0,13.0,0.0,0.0
2004-06-25,261.0,28.0,0.0,0.0,0.0
2004-06-26,256.0,61.0,0.0,0.0,0.0
2004-06-27,250.0,50.0,0.0,0.0,0.0
2004-06-28,244.0,44.0,25.0,0.0,0.0
2004-06-29,239.0,83.0,36.0,0.0,0.0
2004-06-30,228.0,94.0,180.0,0.0,0.0
2004-09-01,294.0,28.0,0.0,0.0,0.0
2004-09-02,278.0,22.0,0.0,0.0,0.0
2004-09-03,289.0,28.0,0.0,0.0,0.0
2004-09-04,256.0,22.0,51.0,0.0,0.0
2004-09-05,261.0,28.0,160.0,0.0,0.0
2004-09-06,244.0,22.0,0.0,0.0,0.0
2004-09-07,228.0,17.0,0.0,0.0,0.0
2004-09-08,244.0,33.0,0.0,0.0,0.0
2004-09-09,261.0,39.0,0.0,0.0,0.0
2004-09-10,267.0,50.0,0.0,0.0,0.0
2004-09-11,272.0,17.0,0.0,0.0,0.0
2004-09-12,267.0,28.0,0.0,0.0,0.0
2004-09-13,272.0,22.0,0.0,0.0,0.0
2004-09-14,272.0,28.0,0.0,0.0,0.0
2004-09-15,261.0,17.0,0.0,0.0,0.0
2004-09-16,267.0,17.0,0.0,0.0,0.0
2004-09-17,267.0,28.0,0.0,0.0,0.0
2004-09-18,267.0,22.0,0.0,0.0,0.0
2004-09-19,261.0,33.0,119.0,0.0,0.0
2004-09-20,272.0,39.0,147.0,0.0,0.0
2004-09-21,206.0,67.0,8.0,0.0,0.0
2004-09-22,206.0,0.0,0.0,0.0,0.0
2004-09-23,206.0,-67.0,0.0,0.0,0.0
2004-09-24,206.0,-67.0,0.0,0.0,0.0
2004-09-25,211.0,-61.0,0.0,0.0,0.0
2004-09-26,211.0,-61.0,0.0,0.0,0.0
2004-09-27,200.0,0.0,0.0,0.0,0.0
2004-09-28,206.0,11.0,0.0,0.0,0.0
2004-09-29,206.0,6.0,0.0,0.0,0.0
2004-09-30,211.0,0.0,0.0,0.0,0.0
2004-10-01,189.0,-22.0,0.0,0.0,0.0
2004-10-02,189.0,6.0,0.0,0.0,0.0
2004-10-03,200.0,11.0,0.0,0.0,0.0
2004-10-04,206.0,-11.0,0.0,0.0,0.0
2004-10-05,200.0,-17.0,0.0,0.0,0.0
2004-10-06,106.0,-6.0,114.0,0.0,0.0
2004-10-07,167.0,-11.0,10.0,0.0,0.0
2004-10-08,183.0,-22.0,0.0,0.0,0.0
2004-10-09,206.0,-11.0,0.0,0.0,0.0
2004-10-10,200.0,-11.0,0.0,0.0,0.0
2004-10-11,206.0,-11.0,0.0,0.0,0.0
2004-10-12,200.0,-6.0,0.0,0.0,0.0
2004-10-13,178.0,44.0,0.0,0.0,0.0
2004-10-14,78.0,-22.0,53.0,0.0,0.0
2004-10-15,133.0,-33.0,0.0,0.0,0.0
2004-10-16,206.0,-11.0,0.0,0.0,0.0
2004-10-17,150.0,56.0,0.0,0.0,0.0
2004-10-18,178.0,56.0,38.0,0.0,0.0
2004-10-19,178.0,-17.0,0.0,0.0,0.0
2004-10-20,150.0,-17.0,0.0,0.0,0.0
2004-10-21,172.0,-6.0,0.0,0.0,0.0
2004-10-22,178.0,0.0,74.0,0.0,0.0
2004-10-23,139.0,-28.0,0.0,0.0,0.0
2004-10-24,161.0,-50.0,0.0,0.0,0.0
2004-10-25,144.0,-61.0,0.0,0.0,0.0
2004-10-26,161.0,-56.0,43.0,0.0,0.0
2004-10-27,161.0,28.0,0.0,0.0,0.0
