DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2013-09-24,,,,0.0,
2013-09-25,136.0,16.0,,0.0,
2013-09-26,130.0,55.0,,0.0,
2013-09-27,97.0,-52.0,,0.0,
2013-09-28,95.0,-64.0,,0.0,
2013-09-29,108.0,14.0,,0.0,
2013-09-30,152.0,38.0,,0.0,
2013-10-01,150.0,58.0,0.0,0.0,
2013-10-02,136.0,45.0,0.0,0.0,
2013-10-03,119.0,23.0,0.0,0.0,
2013-10-04,49.0,-46.0,0.0,0.0,
2013-10-05,30.0,-89.0,0.0,0.0,
2013-10-06,112.0,-23.0,0.0,0.0,
2013-10-07,126.0,30.0,0.0,0.0,
2013-10-08,121.0,48.0,0.0,0.0,
2013-10-09,109.0,6.0,0.0,0.0,
2013-10-10,69.0,-64.0,102.0,0.0,
2013-10-11,13.0,-66.0,0.0,0.0,
2013-10-12,70.0,-35.0,0.0,0.0,
2013-10-13,108.0,21.0,0.0,0.0,
2013-10-14,46.0,-29.0,0.0,0.0,
2013-10-15,52.0,-42.0,76.0,0.0,
2013-10-16,-12.0,-62.0,25.0,0.0,
2013-10-17,50.0,-59.0,0.0,0.0,
2013-10-18,26.0,-46.0,0.0,0.0,
2013-10-19,45.0,-31.0,25.0,0.0,
2013-10-20,59.0,-12.0,0.0,0.0,
2013-10-21,40.0,-36.0,0.0,0.0,
2013-10-22,86.0,-16.0,0.0,0.0,
2013-10-23,105.0,6.0,0.0,0.0,
2013-10-24,97.0,-1.0,25.0,0.0,
2013-10-25,51.0,-14.0,203.0,102.0,
2013-10-26,48.0,-28.0,0.0,102.0,
2013-10-27,58.0,-14.0,0.0,76.0,
2013-10-28,52.0,12.0,0.0,102.0,
2013-10-29,50.0,-24.0,51.0,152.0,
2013-10-30,-11.0,-79.0,178.0,305.0,
2013-10-31,-32.0,-88.0,0.0,279.0,
2013-11-01,-2.0,-88.0,25.0,254.0,
2013-11-02,80.0,-44.0,25.0,254.0,
2013-11-03,13.0,-31.0,0.0,152.0,
2013-11-04,51.0,-47.0,25.0,178.0,
2013-11-05,-8.0,-113.0,127.0,330.0,
2013-11-06,-20.0,-128.0,25.0,356.0,
2013-11-07,66.0,-46.0,0.0,330.0,
2013-11-08,51.0,-10.0,0.0,305.0,
2013-11-09,82.0,-2.0,0.0,305.0,
2013-11-10,79.0,1.0,0.0,305.0,
2013-11-11,75.0,3.0,0.0,305.0,
2013-11-12,54.0,-18.0,0.0,305.0,
2013-11-13,46.0,-26.0,0.0,305.0,
2013-11-14,29.0,-41.0,0.0,305.0,
2013-11-15,16.0,-30.0,102.0,356.0,
2013-11-16,-26.0,-47.0,102.0,406.0,
2013-11-17,4.0,-57.0,0.0,381.0,
2013-11-18,35.0,-49.0,0.0,381.0,
2013-11-19,37.0,-31.0,0.0,381.0,
2013-11-20,4.0,-36.0,25.0,381.0,
2013-11-21,4.0,-43.0,76.0,432.0,
2013-11-22,14.0,-26.0,25.0,457.0,
2013-11-23,-6.0,-63.0,25.0,508.0,
2013-11-24,-47.0,-114.0,76.0,533.0,
2013-11-25,-43.0,-121.0,0.0,559.0,
2013-11-26,-34.0,-106.0,0.0,533.0,
2013-11-27,4.0,-101.0,25.0,483.0,
2013-11-28,27.0,-47.0,0.0,508.0,
2013-11-29,-3.0,-58.0,0.0,508.0,
2013-11-30,21.0,-47.0,0.0,483.0,
2013-12-01,-1.0,-52.0,0.0,483.0,
2013-12-02,24.0,-42.0,0.0,483.0,
2013-12-03,21.0,-36.0,25.0,457.0,
2013-12-04,-23.0,-88.0,25.0,533.0,
2013-12-05,-84.0,-152.0,25.0,635.0,
2013-12-06,-117.0,-164.0,0.0,610.0,
2013-12-07,-72.0,-126.0,51.0,559.0,
2013-12-08,-113.0,-181.0,25.0,610.0,
2013-12-09,-136.0,-206.0,0.0,711.0,
2013-12-10,-71.0,-152.0,25.0,635.0,
2013-12-11,-27.0,-105.0,25.0,610.0,
2013-12-12,17.0,-55.0,0.0,610.0,
2013-12-13,-27.0,-91.0,0.0,610.0,
2013-12-14,-43.0,-123.0,0.0,584.0,
2013-12-15,-1.0,-72.0,25.0,584.0,
2013-12-16,41.0,-48.0,0.0,559.0,
2013-12-17,61.0,-35.0,0.0,559.0,
2013-12-18,50.0,-11.0,0.0,559.0,
2013-12-19,7.0,-57.0,0.0,559.0,
2013-12-20,-27.0,-74.0,0.0,559.0,
2013-12-21,-72.0,-113.0,0.0,610.0,
2013-12-22,-93.0,-144.0,0.0,610.0,
2013-12-23,-38.0,-141.0,25.0,610.0,
2013-12-24,-6.0,-94.0,0.0,610.0,
2013-12-25,-31.0,-115.0,0.0,610.0,
2013-12-26,5.0,-76.0,0.0,584.0,
2013-12-27,4.0,-68.0,0.0,584.0,
2013-12-28,3.0,-70.0,0.0,584.0,
2013-12-29,-64.0,-100.0,0.0,559.0,
2013-12-30,-3.0,-101.0,0.0,584.0,
2013-12-31,-10.0,-57.0,0.0,584.0,
2014-01-01,-20.0,-78.0,0.0,584.0,
2014-01-02,24.0,-59.0,0.0,584.0,
2014-01-03,6.0,-66.0,0.0,559.0,
2014-01-04,-20.0,-182.0,0.0,584.0,
2014-01-05,-127.0,-206.0,0.0,584.0,
2014-01-06,-18.0,-172.0,0.0,584.0,
2014-01-07,13.0,-73.0,0.0,584.0,
2014-01-08,-27.0,-85.0,0.0,584.0,
2014-01-09,-20.0,-100.0,0.0,584.0,
2014-01-10,-67.0,-118.0,0.0,584.0,
2014-01-11,29.0,-87.0,0.0,584.0,
2014-01-12,-22.0,-152.0,0.0,584.0,
2014-01-13,-49.0,-156.0,0.0,559.0,
2014-01-14,-35.0,-94.0,0.0,559.0,
2014-01-15,16.0,-74.0,0.0,584.0,
2014-01-16,5.0,-86.0,0.0,584.0,
2014-01-17,-4.0,-88.0,0.0,559.0,
2014-01-18,21.0,-72.0,0.0,559.0,
2014-01-19,5.0,-46.0,0.0,559.0,
2014-01-20,38.0,-58.0,0.0,559.0,
