DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2009-12-14,125.0,2.0,4,,
2009-12-15,95.0,-35.0,5,,
2009-12-16,140.0,-45.0,0,,
2009-12-17,167.0,-41.0,0,,
2009-12-18,111.0,-6.0,0,,
2009-12-19,96.0,-28.0,0,,
2009-12-20,149.0,-42.0,0,,
2009-12-21,171.0,-48.0,0,,
2009-12-22,113.0,-18.0,0,,
2009-12-23,36.0,-35.0,13,,
2009-12-24,-16.0,-139.0,0,,
2009-12-25,-1.0,-145.0,0,,
2009-12-26,22.0,-144.0,0,,
2009-12-27,44.0,-106.0,0,,
2009-12-28,42.0,-84.0,0,,
2009-12-29,0.0,-38.0,13,,
2009-12-30,84.0,-26.0,0,,
2009-12-31,21.0,-46.0,0,,
2010-01-01,115.0,-39.0,0,,
2010-01-02,117.0,-69.0,0,,
2010-01-03,93.0,-43.0,0,,
2010-01-04,82.0,-34.0,0,,
2010-01-05,125.0,-75.0,0,,
2010-01-06,169.0,-88.0,2,,
2010-01-07,-61.0,-95.0,0,,
2010-01-08,6.0,-119.0,0,,
2010-01-09,90.0,-105.0,0,,
2010-01-10,109.0,-117.0,0,,
2010-01-11,135.0,-71.0,0,,
2010-01-12,142.0,-76.0,0,,
2010-01-13,184.0,-21.0,0,,
2010-01-14,106.0,-14.0,0,,
2010-01-15,115.0,-55.0,0,,
2010-01-16,121.0,-66.0,0,,
2010-01-17,168.0,-51.0,0,,
2010-01-18,161.0,-45.0,0,,
2010-01-19,147.0,-2.0,0,,
2010-01-20,128.0,-47.0,0,,
2010-01-21,166.0,-59.0,0,,
2010-01-22,181.0,31.0,0,,
2010-01-23,109.0,-13.0,0,,
2010-01-24,100.0,-61.0,0,,
2010-01-25,82.0,-87.0,0,,
2010-01-26,126.0,-102.0,0,,
2010-01-27,180.0,-24.0,0,,
2010-01-28,41.0,-100.0,215,,
2010-01-29,-38.0,-114.0,0,,
2010-01-30,40.0,-125.0,0,,
2010-01-31,57.0,-97.0,0,,
2010-02-01,74.0,-54.0,0,,
2010-02-02,53.0,-73.0,0,,
2010-02-03,13.0,-14.0,193,,
2010-02-04,34.0,-45.0,0,,
2010-02-05,97.0,-67.0,0,,
2010-02-06,15.0,-43.0,0,,
2010-02-07,32.0,-13.0,10,,
2010-02-08,-2.0,-49.0,0,,
2010-02-09,-16.0,-69.0,0,,
2010-02-10,31.0,-30.0,0,,
2010-02-11,43.0,-35.0,0,,
2010-02-12,103.0,-70.0,0,,
2010-02-13,129.0,-23.0,0,,
2010-02-14,26.0,-39.0,0,,
2010-02-15,62.0,-50.0,0,,
2010-02-16,71.0,-42.0,0,,
2010-02-17,148.0,-50.0,0,,
2010-02-18,178.0,-29.0,0,,
2010-02-19,118.0,-17.0,0,,
2010-02-20,184.0,-48.0,0,,
2010-02-21,79.0,-36.0,0,,
2010-02-22,-16.0,-68.0,9,,
2010-02-23,33.0,-99.0,0,,
2010-02-24,133.0,-79.0,0,,
2010-02-25,122.0,-19.0,0,,
2010-02-26,106.0,-51.0,0,,
2010-02-27,159.0,-46.0,0,,
2010-02-28,106.0,-14.0,39,,
2010-03-01,72.0,-30.0,26,,
2010-03-02,143.0,-44.0,0,,
2010-03-03,182.0,-9.0,0,,
2010-03-04,219.0,-23.0,0,,
2010-03-05,192.0,9.0,0,,
2010-03-06,202.0,-27.0,0,,
2010-03-07,163.0,81.0,25,,
2010-03-08,133.0,51.0,87,,
2010-03-09,165.0,21.0,0,,
2010-03-10,102.0,-4.0,0,,
2010-03-11,85.0,-22.0,0,,
2010-03-12,150.0,-38.0,0,,
2010-03-13,214.0,-39.0,0,,
2010-03-14,125.0,-27.0,0,,
2010-03-15,41.0,16.0,16,,
2010-03-16,151.0,13.0,2,,
2010-03-17,206.0,-4.0,0,,
2010-03-18,214.0,-10.0,0,,
