DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1920-05-01,,,0.0,,
1920-05-02,,,0.0,,
1920-05-03,,,0.0,,
1920-05-04,,,0.0,,
1920-05-05,,,0.0,,
1920-05-06,,,0.0,,
1920-05-07,,,0.0,,
1920-05-08,200.0,106.0,48.0,,
1920-05-09,178.0,28.0,0.0,,
1920-05-10,167.0,94.0,0.0,,
1920-05-11,194.0,39.0,0.0,,
1920-05-12,156.0,11.0,0.0,,
1920-05-13,156.0,39.0,0.0,,
1920-05-14,156.0,17.0,71.0,,
1920-05-15,133.0,72.0,0.0,,
1920-05-16,211.0,33.0,0.0,,
1920-05-17,244.0,44.0,0.0,,
1920-05-18,233.0,89.0,0.0,,
1920-05-19,278.0,89.0,0.0,,
1920-05-20,256.0,128.0,0.0,,
1920-05-21,183.0,122.0,183.0,,
1920-05-22,217.0,122.0,0.0,,
1920-05-23,222.0,72.0,0.0,,
1920-05-24,183.0,111.0,0.0,,
1920-05-25,233.0,106.0,0.0,,
1920-05-26,272.0,100.0,0.0,,
1920-05-27,294.0,111.0,0.0,,
1920-05-28,300.0,139.0,0.0,,
1920-05-29,289.0,167.0,0.0,,
1920-05-30,256.0,200.0,0.0,,
1920-05-31,278.0,117.0,0.0,,
1920-06-01,,,0.0,,0.0
1920-06-02,,,0.0,,0.0
1920-06-03,,,0.0,,0.0
1920-06-04,322.0,133.0,0.0,,0.0
1920-06-05,167.0,100.0,127.0,,0.0
1920-06-06,,,38.0,,0.0
1920-06-07,167.0,117.0,0.0,,0.0
1920-06-08,211.0,89.0,0.0,,0.0
1920-06-09,278.0,117.0,0.0,,0.0
1920-06-10,272.0,144.0,0.0,,0.0
1920-06-11,289.0,117.0,3.0,,0.0
1920-06-12,244.0,133.0,0.0,,0.0
1920-06-13,272.0,139.0,0.0,,0.0
1920-06-14,,139.0,0.0,,0.0
1920-06-15,289.0,183.0,3.0,,0.0
1920-06-16,217.0,,18.0,,0.0
1920-06-17,189.0,133.0,356.0,,0.0
1920-06-18,139.0,100.0,711.0,,0.0
1920-06-19,217.0,78.0,0.0,,0.0
1920-06-20,272.0,100.0,0.0,,0.0
1920-06-21,211.0,133.0,64.0,,0.0
1920-06-22,244.0,122.0,0.0,,0.0
1920-06-23,239.0,111.0,0.0,,0.0
1920-06-24,256.0,122.0,0.0,,0.0
1920-06-25,261.0,100.0,0.0,,0.0
1920-06-26,289.0,128.0,0.0,,0.0
1920-06-27,,128.0,0.0,,0.0
1920-06-28,261.0,,0.0,,0.0
1920-06-29,272.0,194.0,51.0,,0.0
1920-06-30,278.0,156.0,147.0,,0.0
1920-09-01,256.0,94.0,0.0,,
1920-09-02,244.0,122.0,0.0,,
1920-09-03,289.0,111.0,0.0,,
1920-09-04,278.0,122.0,0.0,,
1920-09-05,267.0,144.0,0.0,,
1920-09-06,256.0,89.0,203.0,,
1920-09-07,189.0,122.0,0.0,,
1920-09-08,244.0,128.0,0.0,,
1920-09-09,167.0,111.0,0.0,,
1920-09-10,167.0,122.0,56.0,,
1920-09-11,239.0,122.0,38.0,,
1920-09-12,261.0,156.0,89.0,,
1920-09-13,222.0,144.0,51.0,,
1920-09-14,183.0,72.0,38.0,,
1920-09-15,228.0,78.0,0.0,,
1920-09-16,200.0,133.0,0.0,,
1920-09-17,211.0,83.0,165.0,,
1920-09-18,261.0,156.0,0.0,,
1920-09-19,267.0,161.0,25.0,,
1920-09-20,239.0,28.0,0.0,,
1920-09-21,172.0,117.0,0.0,,
1920-09-22,244.0,117.0,0.0,,
1920-09-23,261.0,139.0,0.0,,
1920-09-24,300.0,83.0,0.0,,
1920-09-25,283.0,50.0,0.0,,
1920-09-26,306.0,89.0,0.0,,
1920-09-27,367.0,139.0,0.0,,
1920-09-28,294.0,172.0,279.0,,
1920-09-29,250.0,172.0,0.0,,
1920-09-30,233.0,122.0,838.0,,
1920-10-01,161.0,50.0,0.0,,0.0
1920-10-02,133.0,56.0,0.0,,0.0
1920-10-03,194.0,50.0,0.0,,0.0
1920-10-04,222.0,50.0,25.0,,0.0
1920-10-05,139.0,72.0,15.0,,0.0
1920-10-06,144.0,56.0,0.0,,0.0
1920-10-07,194.0,39.0,0.0,,0.0
1920-10-08,233.0,94.0,0.0,,0.0
1920-10-09,222.0,94.0,0.0,,0.0
1920-10-10,233.0,89.0,0.0,,0.0
1920-10-11,178.0,72.0,0.0,,0.0
1920-10-12,194.0,72.0,51.0,,0.0
1920-10-13,206.0,11.0,0.0,,0.0
1920-10-14,206.0,94.0,25.0,,0.0
1920-10-15,222.0,144.0,0.0,,0.0
1920-10-16,228.0,100.0,0.0,,0.0
1920-10-17,189.0,89.0,0.0,,0.0
1920-10-18,194.0,139.0,0.0,,0.0
1920-10-19,206.0,100.0,0.0,,0.0
1920-10-20,211.0,83.0,0.0,,0.0
1920-10-21,250.0,139.0,0.0,,0.0
1920-10-22,239.0,94.0,51.0,,0.0
1920-10-23,161.0,22.0,0.0,,0.0
1920-10-24,200.0,133.0,0.0,,0.0
1920-10-25,194.0,122.0,0.0,,0.0
1920-10-26,150.0,100.0,64.0,,0.0
1920-10-27,206.0,122.0,165.0,,0.0
1920-10-28,189.0,117.0,38.0,,0.0
1920-10-29,128.0,17.0,76.0,,0.0
1920-10-30,100.0,6.0,0.0,,0.0
1920-10-31,122.0,-17.0,0.0,,0.0
1920-11-01,72.0,0.0,102.0,51.0,51.0
1920-11-02,133.0,-17.0,76.0,,0.0
1920-11-03,139.0,56.0,104.0,,0.0
1920-11-04,122.0,28.0,0.0,,0.0
1920-11-05,128.0,0.0,0.0,,0.0
1920-11-06,67.0,-17.0,0.0,,0.0
1920-11-07,67.0,22.0,0.0,,0.0
1920-11-08,128.0,28.0,0.0,,0.0
1920-11-09,144.0,28.0,104.0,,0.0
1920-11-10,56.0,-44.0,0.0,,0.0
1920-11-11,56.0,6.0,0.0,,0.0
1920-11-12,56.0,-100.0,0.0,,0.0
1920-11-13,44.0,-61.0,0.0,,0.0
1920-11-14,33.0,-17.0,0.0,,0.0
1920-11-15,33.0,-17.0,0.0,,0.0
1920-11-16,17.0,-17.0,102.0,25.0,20.0
1920-11-17,61.0,0.0,216.0,,0.0
1920-11-18,67.0,0.0,0.0,,0.0
1920-11-19,56.0,-39.0,0.0,,0.0
1920-11-20,-28.0,-67.0,102.0,,10.0
1920-11-21,0.0,-44.0,127.0,,8.0
1920-11-22,56.0,-6.0,25.0,,0.0
1920-11-23,89.0,-17.0,142.0,,0.0
1920-11-24,33.0,-28.0,0.0,,0.0
1920-11-25,39.0,-22.0,0.0,,0.0
1920-11-26,22.0,-39.0,0.0,,0.0
1920-11-27,33.0,-28.0,0.0,,0.0
1920-11-28,33.0,-28.0,0.0,,0.0
1920-11-29,22.0,-33.0,0.0,,0.0
1920-11-30,11.0,-11.0,239.0,,0.0
1920-12-01,33.0,0.0,269.0,,0.0
1920-12-02,56.0,-78.0,0.0,,0.0
1920-12-03,39.0,-28.0,0.0,,0.0
1920-12-04,72.0,22.0,0.0,,0.0
1920-12-05,56.0,6.0,241.0,,0.0
1920-12-06,11.0,-28.0,0.0,,0.0
1920-12-07,28.0,-72.0,0.0,,0.0
1920-12-08,-22.0,-78.0,0.0,,0.0
1920-12-09,6.0,-67.0,0.0,,0.0
1920-12-10,-6.0,-22.0,3.0,0.0,10.0
1920-12-11,11.0,-44.0,0.0,,0.0
1920-12-12,28.0,-56.0,0.0,,0.0
1920-12-13,94.0,-33.0,0.0,,0.0
1920-12-14,117.0,17.0,533.0,,0.0
1920-12-15,72.0,0.0,0.0,,0.0
1920-12-16,17.0,-39.0,0.0,,0.0
1920-12-17,28.0,-39.0,0.0,,0.0
1920-12-18,17.0,-56.0,0.0,,0.0
1920-12-19,6.0,-78.0,0.0,,0.0
1920-12-20,6.0,-17.0,0.0,,0.0
1920-12-21,28.0,-17.0,0.0,,0.0
1920-12-22,28.0,-6.0,0.0,,0.0
1920-12-23,-17.0,-67.0,0.0,,0.0
1920-12-24,-6.0,-67.0,0.0,,0.0
1920-12-25,-67.0,-172.0,0.0,,0.0
1920-12-26,-28.0,-128.0,0.0,,0.0
1920-12-27,-33.0,-83.0,127.0,102.0,94.0
1920-12-28,-28.0,-89.0,0.0,,0.0
1920-12-29,0.0,-39.0,0.0,,0.0
1920-12-30,28.0,-17.0,0.0,,0.0
1920-12-31,28.0,-33.0,0.0,,0.0
1921-01-01,44.0,-11.0,0.0,,0.0
1921-01-02,67.0,17.0,221.0,,0.0
1921-01-03,83.0,-28.0,0.0,,0.0
1921-01-04,78.0,0.0,0.0,,0.0
1921-01-05,44.0,-39.0,0.0,,0.0
1921-01-06,28.0,-111.0,0.0,,0.0
1921-01-07,39.0,-28.0,0.0,,0.0
1921-01-08,11.0,-56.0,0.0,,0.0
1921-01-09,0.0,-111.0,0.0,,0.0
1921-01-10,33.0,-111.0,0.0,,0.0
1921-01-11,6.0,-67.0,0.0,,0.0
1921-01-12,0.0,-178.0,0.0,,0.0
1921-01-13,-39.0,-150.0,0.0,,0.0
1921-01-14,94.0,-61.0,0.0,,0.0
1921-01-15,6.0,-39.0,0.0,,0.0
1921-01-16,6.0,-72.0,25.0,25.0,25.0
1921-01-17,-67.0,-233.0,0.0,25.0,0.0
1921-01-18,-133.0,-233.0,0.0,25.0,0.0
1921-01-19,-72.0,-200.0,25.0,51.0,25.0
1921-01-20,56.0,-72.0,0.0,51.0,0.0
1921-01-21,61.0,6.0,89.0,,0.0
1921-01-22,61.0,-28.0,0.0,,0.0
1921-01-23,44.0,-89.0,0.0,,0.0
1921-01-24,-67.0,-222.0,0.0,,0.0
1921-01-25,-117.0,-178.0,0.0,,0.0
1921-01-26,-122.0,-189.0,0.0,,0.0
1921-01-27,-67.0,-133.0,0.0,,0.0
1921-01-28,6.0,-117.0,0.0,,0.0
1921-01-29,33.0,-56.0,0.0,,0.0
1921-01-30,0.0,-139.0,64.0,0.0,8.0
1921-01-31,-117.0,-167.0,0.0,0.0,0.0
1921-02-01,-56.0,-100.0,,76.0,0.0
1921-02-02,-11.0,-122.0,0.0,76.0,0.0
1921-02-03,17.0,-139.0,0.0,51.0,0.0
1921-02-04,28.0,-56.0,0.0,51.0,0.0
1921-02-05,44.0,-11.0,89.0,,0.0
1921-02-06,61.0,-56.0,0.0,,0.0
1921-02-07,-6.0,-67.0,0.0,,0.0
1921-02-08,-22.0,-122.0,0.0,,0.0
1921-02-09,17.0,-67.0,0.0,,0.0
1921-02-10,-6.0,-44.0,0.0,,0.0
1921-02-11,-11.0,-94.0,254.0,254.0,254.0
1921-02-12,6.0,-161.0,0.0,254.0,0.0
1921-02-13,28.0,-44.0,0.0,229.0,0.0
1921-02-14,28.0,-189.0,0.0,178.0,0.0
1921-02-15,17.0,-139.0,0.0,178.0,0.0
1921-02-16,111.0,11.0,0.0,102.0,0.0
1921-02-17,56.0,-106.0,0.0,51.0,0.0
1921-02-18,-44.0,-128.0,0.0,51.0,0.0
1921-02-19,6.0,-150.0,0.0,51.0,0.0
1921-02-20,-67.0,-172.0,51.0,76.0,51.0
1921-02-21,-33.0,-122.0,0.0,51.0,0.0
1921-02-22,6.0,-78.0,0.0,25.0,0.0
1921-02-23,33.0,-94.0,25.0,51.0,25.0
1921-02-24,-72.0,-183.0,0.0,51.0,0.0
1921-02-25,-61.0,-139.0,0.0,51.0,0.0
1921-02-26,11.0,-89.0,25.0,76.0,25.0
1921-02-27,11.0,-17.0,0.0,25.0,0.0
1921-02-28,33.0,0.0,25.0,51.0,25.0
1921-03-01,61.0,-22.0,0.0,,
1921-03-02,100.0,0.0,0.0,,
1921-03-03,111.0,-100.0,0.0,,
1921-03-04,-72.0,-117.0,0.0,,
1921-03-05,106.0,-78.0,0.0,,
1921-03-06,111.0,-11.0,33.0,,
1921-03-07,67.0,-6.0,89.0,,
1921-03-08,122.0,33.0,58.0,,
1921-03-09,178.0,-22.0,53.0,,
1921-03-10,128.0,-28.0,0.0,,
1921-03-11,139.0,6.0,0.0,,
1921-03-12,100.0,-6.0,74.0,,
1921-03-13,11.0,-28.0,0.0,,
1921-03-14,67.0,-6.0,0.0,,
1921-03-15,128.0,-6.0,48.0,,
1921-03-16,156.0,-17.0,0.0,,
1921-03-17,89.0,-67.0,0.0,,
1921-03-18,-6.0,-156.0,0.0,,
1921-03-19,122.0,-17.0,0.0,,
1921-03-20,206.0,106.0,0.0,,
1921-03-21,217.0,-6.0,0.0,,
1921-03-22,78.0,-61.0,0.0,,
1921-03-23,106.0,0.0,0.0,,
1921-03-24,156.0,39.0,0.0,,
1921-03-25,172.0,17.0,229.0,,
1921-03-26,250.0,50.0,0.0,,
1921-03-27,161.0,28.0,0.0,,
1921-03-28,217.0,-117.0,79.0,,
1921-03-29,-22.0,-106.0,0.0,,
1921-03-30,117.0,-56.0,0.0,,
1921-03-31,50.0,0.0,0.0,,
1921-04-01,117.0,33.0,229.0,,
1921-04-02,144.0,50.0,0.0,,
1921-04-03,156.0,44.0,0.0,,
1921-04-04,117.0,33.0,0.0,,
1921-04-05,272.0,67.0,0.0,,
1921-04-06,267.0,11.0,0.0,,
1921-04-07,250.0,61.0,0.0,,
1921-04-08,194.0,78.0,20.0,,
1921-04-09,183.0,-22.0,0.0,,
1921-04-10,17.0,-39.0,0.0,,
1921-04-11,67.0,-28.0,0.0,,
1921-04-12,167.0,39.0,0.0,,
1921-04-13,189.0,28.0,0.0,,
1921-04-14,194.0,67.0,0.0,,
1921-04-15,194.0,67.0,157.0,,
1921-04-16,128.0,-11.0,89.0,,
1921-04-17,44.0,-6.0,76.0,,
1921-04-18,78.0,-6.0,0.0,,
1921-04-19,144.0,17.0,0.0,,
1921-04-20,222.0,72.0,0.0,,
1921-04-21,189.0,50.0,94.0,,
1921-04-22,106.0,56.0,41.0,,
1921-04-23,117.0,67.0,0.0,,
1921-04-24,133.0,39.0,0.0,,
1921-04-25,156.0,33.0,0.0,,
1921-04-26,239.0,78.0,0.0,,
1921-04-27,233.0,72.0,0.0,,
1921-04-28,261.0,83.0,0.0,,
1921-04-29,256.0,122.0,0.0,,
1921-04-30,183.0,94.0,157.0,,
1921-08-01,222.0,100.0,0.0,,0.0
1921-08-02,222.0,128.0,0.0,,0.0
1921-08-03,250.0,100.0,0.0,,0.0
1921-08-04,256.0,122.0,0.0,,0.0
1921-08-05,278.0,111.0,0.0,,0.0
1921-08-06,250.0,139.0,0.0,,0.0
1921-08-07,272.0,161.0,25.0,,0.0
1921-08-08,261.0,122.0,13.0,,0.0
1921-08-09,217.0,106.0,0.0,,0.0
1921-08-10,228.0,117.0,178.0,,0.0
1921-08-11,272.0,122.0,140.0,,0.0
1921-08-12,278.0,111.0,0.0,,0.0
1921-08-13,272.0,150.0,0.0,,0.0
1921-08-14,239.0,111.0,25.0,,0.0
1921-08-15,228.0,100.0,0.0,,0.0
1921-08-16,267.0,111.0,0.0,,0.0
1921-08-17,250.0,128.0,94.0,,0.0
1921-08-18,267.0,161.0,175.0,,0.0
1921-08-19,244.0,139.0,0.0,,0.0
1921-08-20,272.0,139.0,0.0,,0.0
1921-08-21,206.0,100.0,0.0,,0.0
1921-08-22,217.0,89.0,0.0,,0.0
1921-08-23,244.0,100.0,0.0,,0.0
1921-08-24,267.0,117.0,0.0,,0.0
1921-08-25,267.0,128.0,0.0,,0.0
1921-08-26,272.0,133.0,0.0,,0.0
1921-08-27,267.0,133.0,0.0,,0.0
1921-08-28,261.0,133.0,0.0,,0.0
1921-08-29,300.0,189.0,0.0,,0.0
1921-08-30,339.0,178.0,3.0,,0.0
1921-08-31,239.0,111.0,0.0,,0.0
1921-09-01,311.0,211.0,0.0,,
1921-09-02,339.0,61.0,0.0,,
1921-09-03,322.0,200.0,0.0,,
1921-09-04,267.0,133.0,0.0,,
1921-09-05,267.0,156.0,0.0,,
1921-09-06,222.0,122.0,64.0,,
1921-09-07,289.0,133.0,0.0,,
1921-09-08,300.0,111.0,0.0,,
1921-09-09,278.0,106.0,0.0,,
1921-09-10,267.0,133.0,0.0,,
1921-09-11,289.0,200.0,0.0,,
1921-09-12,233.0,156.0,46.0,,
1921-09-13,211.0,133.0,0.0,,
1921-09-14,167.0,72.0,0.0,,
1921-09-15,189.0,94.0,0.0,,
1921-09-16,183.0,72.0,5.0,,
1921-09-17,200.0,78.0,0.0,,
1921-09-18,167.0,67.0,107.0,,
1921-09-19,178.0,78.0,0.0,,
1921-09-20,156.0,89.0,0.0,,
1921-09-21,144.0,44.0,160.0,,
1921-09-22,178.0,61.0,0.0,,
1921-09-23,139.0,33.0,0.0,,
1921-09-24,167.0,56.0,130.0,,
1921-09-25,206.0,72.0,0.0,,
1921-09-26,172.0,56.0,0.0,,
1921-09-27,156.0,67.0,0.0,,
1921-09-28,178.0,56.0,0.0,,
1921-09-29,200.0,78.0,0.0,,
1921-09-30,167.0,50.0,0.0,,
1921-10-01,167.0,100.0,3.0,,0.0
1921-10-02,178.0,122.0,0.0,,0.0
1921-10-03,122.0,67.0,25.0,,0.0
1921-10-04,100.0,61.0,0.0,,0.0
1921-10-05,,72.0,0.0,,0.0
1921-10-06,,61.0,0.0,,0.0
1921-10-07,,111.0,0.0,,0.0
1921-10-08,,0.0,132.0,,0.0
1921-10-09,,44.0,0.0,,0.0
1921-10-10,,61.0,64.0,,0.0
1921-10-11,,78.0,99.0,,0.0
1921-10-12,,-6.0,0.0,,0.0
1921-10-13,,39.0,0.0,,0.0
1921-10-14,,33.0,0.0,,0.0
1921-10-15,,56.0,0.0,,0.0
1921-10-16,,33.0,0.0,,0.0
1921-10-17,,94.0,0.0,,0.0
1921-10-18,,117.0,25.0,,0.0
1921-10-19,144.0,72.0,0.0,,0.0
1921-10-20,150.0,44.0,229.0,,0.0
1921-10-21,211.0,33.0,0.0,,0.0
1921-10-22,206.0,17.0,0.0,,0.0
1921-10-23,139.0,6.0,0.0,,0.0
1921-10-24,72.0,33.0,61.0,,0.0
1921-10-25,78.0,-22.0,0.0,,0.0
1921-10-26,106.0,-33.0,0.0,,0.0
1921-10-27,83.0,-17.0,0.0,,0.0
1921-10-28,122.0,17.0,0.0,,0.0
1921-10-29,133.0,33.0,0.0,,0.0
1921-10-30,128.0,28.0,0.0,,0.0
