DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2003-05-28,183,122,,,
2003-05-29,228,117,,,
2003-05-30,261,139,,,
2003-05-31,206,128,,,
2003-06-01,161,106,,,
2003-06-02,222,72,,,
2003-06-03,217,89,,,
2003-06-04,161,111,,,
2003-06-05,228,139,,,
2003-06-06,256,128,,,
2003-06-07,172,122,,,
2003-06-08,206,144,,,
2003-06-09,244,144,,,
2003-06-10,272,144,,,
2003-06-11,250,156,,,
2003-06-12,222,183,,,
2003-06-13,194,156,,,
2003-06-14,300,156,,,
2003-06-15,283,133,,,
2003-06-16,233,94,,,
2003-06-17,222,111,,,
2003-06-18,189,144,,,
2003-06-19,272,161,,,
2003-06-20,183,161,,,
2003-06-21,194,139,,,
2003-06-22,189,128,,,
2003-06-23,322,122,,,
2003-06-24,350,156,,,
2003-06-25,350,156,,,
2003-06-26,344,189,,,
2003-06-27,322,178,,,
2003-06-28,289,150,,,
2003-06-29,289,150,,,
2003-06-30,283,150,,,
2003-07-01,300,122,,,
2003-07-02,306,139,,,
2003-07-03,283,161,,,
2003-07-04,339,178,,,
2003-07-05,333,217,,,
2003-07-06,328,206,,,
2003-07-07,317,183,,,
2003-07-08,322,211,,,
2003-07-09,222,139,,,
2003-07-10,244,133,,,
2003-07-11,267,167,,,
2003-07-12,283,150,,,
2003-07-13,267,156,,,
2003-07-14,267,144,,,
2003-07-15,300,139,,,
2003-07-16,300,206,,,
2003-07-17,294,144,,,
2003-07-18,239,178,,,
2003-07-19,278,139,,,
2003-07-20,294,122,,,
2003-07-21,294,183,,,
2003-07-22,289,194,,,
2003-07-23,289,206,,,
2003-07-24,278,200,,,
2003-07-25,294,172,,,
2003-07-26,300,156,,,
2003-07-27,300,228,,,
2003-07-28,289,183,,,
2003-07-29,289,150,,,
2003-07-30,294,156,,,
2003-07-31,283,139,,,
2003-08-01,211,178,,,
2003-08-02,311,200,,,
2003-08-03,300,217,,,
2003-08-04,283,222,,,
2003-08-05,289,211,,,
2003-08-06,294,200,,,
2003-08-07,283,189,,,
2003-08-08,283,211,,,
2003-08-09,289,211,,,
2003-08-10,300,222,,,
2003-08-11,294,211,,,
2003-08-12,311,222,,,
2003-08-13,306,217,,,
2003-08-14,328,200,,,
2003-08-15,317,172,,,
2003-08-16,306,200,,,
2003-08-17,283,178,,,
2003-08-18,283,167,,,
2003-08-19,306,172,,,
2003-08-20,328,178,,,
2003-08-21,317,183,,,
2003-08-22,322,200,,,
2003-08-23,289,133,,,
2003-08-24,267,94,,,
2003-08-25,289,161,,,
2003-08-26,283,167,,,
2003-08-27,294,178,,,
2003-08-28,267,133,,,
2003-08-29,272,122,,,
2003-08-30,261,133,,,
2003-08-31,233,111,,,
2003-09-01,178,144,,,
2003-09-02,167,139,,,
2003-09-03,178,156,,,
2003-09-04,250,183,,,
2003-09-05,244,128,,,
2003-09-06,244,106,,,
2003-09-07,267,111,,,
2003-09-08,250,144,,,
2003-09-09,244,133,,,
2003-09-10,256,111,,,
2003-09-11,283,111,,,
2003-09-12,228,122,,,
2003-09-13,206,156,,,
2003-09-14,294,200,,,
2003-09-15,256,200,,,
2003-09-16,267,128,,,
2003-09-17,261,117,,,
2003-09-18,239,117,,,
2003-09-19,283,183,,,
2003-09-20,272,139,,,
2003-09-21,239,100,,,
2003-09-22,217,117,,,
2003-09-23,228,128,,,
2003-09-24,228,106,,,
2003-09-25,250,111,,,
2003-09-26,172,133,,,
2003-09-27,267,150,,,
2003-09-28,206,106,,,
2003-09-29,200,94,,,
2003-09-30,178,72,,,
2003-10-01,144,67,,,
2003-10-02,128,33,,,
2003-10-03,156,22,,,
2003-10-04,117,61,,,
2003-10-05,150,33,,,
2003-10-06,156,17,,,
2003-10-07,183,17,,,
2003-10-08,233,56,,,
2003-10-09,250,106,,,
2003-10-10,206,89,,,
2003-10-11,261,89,,,
2003-10-12,211,94,,,
2003-10-13,233,72,,,
2003-10-14,206,56,,,
2003-10-15,178,72,,,
2003-10-16,161,39,,,
2003-10-17,128,39,,,
2003-10-18,128,33,,,
2003-10-19,83,6,,,
2003-10-20,144,17,,,
2003-10-21,222,106,,,
2003-10-22,83,17,,,
2003-10-23,61,6,,,
2003-10-24,100,-11,,,
2003-10-25,150,-22,,,
2003-10-26,206,133,,,
2003-10-27,183,89,,,
2003-10-28,156,50,,,
2003-10-29,139,83,,,
2003-10-30,161,44,,,
2003-10-31,206,33,,,
2003-11-01,228,89,,,
2003-11-02,167,83,,,
2003-11-03,256,111,,,
2003-11-04,122,83,,,
2003-11-05,144,83,,,
2003-11-06,139,83,,,
2003-11-07,133,67,,,
2003-11-08,72,-39,,,
2003-11-09,67,-56,,,
2003-11-10,89,-61,,,
2003-11-11,56,-28,,,
2003-11-12,150,33,,,
2003-11-13,144,22,,,
2003-11-14,50,11,,,
2003-11-15,78,-33,,,
2003-11-16,78,-33,,,
2003-11-17,61,39,,,
2003-11-18,111,56,,,
2003-11-19,183,117,,,
2003-11-20,111,6,,,
2003-11-21,161,-6,,,
2003-11-22,144,11,,,
2003-11-23,133,-6,,,
2003-11-24,144,6,,,
2003-11-25,78,-22,,,
2003-11-26,72,-33,,,
2003-11-27,133,-6,,,
2003-11-28,172,78,,,
2003-11-29,100,28,,,
2003-11-30,89,28,,,
2003-12-01,89,-6,,,
2003-12-02,6,-83,,,
2003-12-03,0,-111,,,
2003-12-04,33,-56,,,
2003-12-05,-22,-56,,,
2003-12-06,-56,-67,,,
2003-12-07,-11,-67,,,
2003-12-08,33,-117,,,
2003-12-09,6,-72,,,
2003-12-10,89,-6,,,
2003-12-11,128,39,,,
2003-12-12,56,-6,,,
2003-12-13,6,-56,,,
2003-12-14,-28,-61,,,
2003-12-15,33,-39,,,
2003-12-16,72,-61,,,
2003-12-17,50,0,,,
2003-12-18,22,-17,,,
2003-12-19,44,-39,,,
2003-12-20,44,-44,,,
2003-12-21,28,-67,,,
2003-12-22,100,-11,,,
2003-12-23,133,22,,,
2003-12-24,144,50,,,
2003-12-25,56,6,,,
2003-12-26,50,0,,,
2003-12-27,94,-33,,,
2003-12-28,100,-56,,,
2003-12-29,144,-33,,,
2003-12-30,89,-6,,,
2003-12-31,83,6,,,
