DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1948-05-01,,,0.0,0,0.0
1948-05-02,,,18.0,0,0.0
1948-05-03,,,41.0,0,0.0
1948-05-04,,,13.0,0,0.0
1948-05-05,,,53.0,0,0.0
1948-05-06,,,38.0,0,0.0
1948-05-07,,,86.0,0,0.0
1948-05-08,,,3.0,0,0.0
1948-05-09,,,28.0,0,0.0
1948-05-10,,,69.0,0,0.0
1948-05-11,,,0.0,0,0.0
1948-05-12,,,84.0,0,0.0
1948-05-13,,,53.0,0,0.0
1948-05-14,,,5.0,0,0.0
1948-05-15,,,0.0,0,0.0
1948-05-16,,,302.0,0,0.0
1948-05-17,,,38.0,0,0.0
1948-05-18,,,0.0,0,0.0
1948-05-19,,,0.0,0,0.0
1948-05-20,,,3.0,0,0.0
1948-05-21,,,0.0,0,0.0
1948-05-22,,,0.0,0,0.0
1948-05-23,,,10.0,0,0.0
1948-05-24,,,0.0,0,0.0
1948-05-25,,,0.0,0,0.0
1948-05-26,,,0.0,0,0.0
1948-05-27,,,5.0,0,0.0
1948-05-28,,,0.0,0,0.0
1948-05-29,,,0.0,0,0.0
1948-05-30,,,0.0,0,0.0
1948-05-31,,,0.0,0,0.0
1948-07-01,,,0.0,0,0.0
1948-07-02,,,23.0,0,0.0
1948-07-03,,,33.0,0,0.0
1948-07-04,,,0.0,0,0.0
1948-07-05,,,0.0,0,0.0
1948-07-06,,,86.0,0,0.0
1948-07-07,,,0.0,0,0.0
1948-07-08,,,0.0,0,0.0
1948-07-09,,,0.0,0,0.0
1948-07-10,,,0.0,0,0.0
1948-07-11,,,0.0,0,0.0
1948-07-12,,,18.0,0,0.0
1948-07-13,,,8.0,0,0.0
1948-07-14,,,0.0,0,0.0
1948-07-15,,,0.0,0,0.0
1948-07-16,,,264.0,0,0.0
1948-07-17,,,5.0,0,0.0
1948-07-18,,,0.0,0,0.0
1948-07-19,,,0.0,0,0.0
1948-07-20,,,0.0,0,0.0
1948-07-21,,,64.0,0,0.0
1948-07-22,,,36.0,0,0.0
1948-07-23,,,5.0,0,0.0
1948-07-24,,,0.0,0,0.0
1948-07-25,,,0.0,0,0.0
1948-07-26,,,0.0,0,0.0
1948-07-27,,,58.0,0,0.0
1948-07-28,,,0.0,0,0.0
1948-07-29,,,0.0,0,0.0
1948-07-30,,,0.0,0,0.0
1948-07-31,,,0.0,0,0.0
1948-08-01,300.0,150.0,0.0,0,0.0
1948-08-02,250.0,117.0,0.0,0,0.0
