DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1947-02-01,44,-28.0,0.0,,0.0
1947-02-02,0,-56.0,3.0,,
1947-02-03,28,-78.0,,,
1947-02-04,89,-11.0,,,
1947-02-05,-56,-94.0,,,
1947-02-06,-50,-128.0,5.0,,64.0
1947-02-07,78,,,,
1947-02-09,-39,-111.0,,,
1947-02-10,28,-56.0,,,
1947-02-11,33,-61.0,,,
1947-02-12,22,-67.0,,,
1947-02-13,33,-89.0,,,
1947-02-14,78,-50.0,,,
1947-02-15,78,0.0,,,
1947-02-16,106,28.0,,,
1947-02-17,61,-22.0,10.0,,0.0
1947-02-18,89,-67.0,0.0,,0.0
1947-02-19,6,-44.0,0.0,,0.0
1947-02-20,-22,-128.0,0.0,,0.0
1947-02-21,-61,-72.0,28.0,,203.0
1947-02-22,-39,-128.0,5.0,,51.0
1947-02-23,-17,-89.0,0.0,,0.0
1947-02-24,-17,-100.0,0.0,,0.0
1947-02-25,44,-56.0,0.0,,0.0
1947-02-26,44,-72.0,0.0,,0.0
1947-02-27,22,-89.0,0.0,,0.0
1947-02-28,28,-61.0,0.0,,0.0
1947-03-01,-6,-83.0,0.0,,0.0
1947-03-02,44,-28.0,366.0,,0.0
1947-03-03,33,-11.0,427.0,,0.0
1947-03-04,28,-22.0,0.0,,0.0
1947-03-05,50,-28.0,0.0,,0.0
1947-03-06,111,11.0,0.0,,0.0
1947-03-07,78,-6.0,0.0,,0.0
1947-03-08,39,-50.0,0.0,,0.0
1947-03-09,72,-39.0,0.0,,0.0
1947-03-10,72,-39.0,0.0,,0.0
1947-03-11,61,-11.0,0.0,,0.0
1947-03-12,72,-22.0,0.0,,0.0
1947-03-13,89,-28.0,0.0,,0.0
1947-03-14,89,33.0,46.0,,0.0
1947-03-15,100,17.0,0.0,,0.0
1947-03-16,33,-28.0,0.0,,0.0
1947-03-17,39,-39.0,64.0,,3.0
1947-03-18,39,-72.0,0.0,,0.0
1947-03-19,44,-67.0,0.0,,0.0
1947-03-20,72,-111.0,0.0,,0.0
1947-03-21,78,17.0,0.0,,0.0
1947-03-22,89,-17.0,0.0,,0.0
1947-03-23,94,-22.0,0.0,,0.0
1947-03-24,128,39.0,18.0,,0.0
1947-03-25,100,50.0,5.0,,0.0
1947-03-26,-6,-39.0,30.0,,0.0
1947-03-28,50,-39.0,0.0,,0.0
1947-03-29,72,-17.0,0.0,,0.0
1947-03-30,56,22.0,0.0,,0.0
1947-03-31,72,-39.0,0.0,,0.0
1947-04-02,94,28.0,23.0,,0.0
1947-04-03,100,6.0,447.0,,0.0
1947-04-04,61,-28.0,0.0,,0.0
1947-04-05,78,22.0,203.0,,0.0
1947-04-06,94,83.0,64.0,,0.0
1947-04-07,139,89.0,0.0,,0.0
1947-04-08,117,0.0,0.0,,0.0
1947-04-09,61,33.0,46.0,,0.0
1947-04-10,111,6.0,13.0,,0.0
1947-04-11,128,6.0,0.0,,0.0
1947-04-12,128,89.0,36.0,,0.0
1947-04-13,133,56.0,0.0,,0.0
1947-04-14,67,50.0,0.0,,0.0
1947-04-15,161,61.0,0.0,,0.0
1947-04-16,72,44.0,0.0,,0.0
1947-04-17,139,44.0,257.0,,0.0
1947-04-18,128,11.0,0.0,,0.0
