DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1893-05-01,,,0.0,,
1893-05-02,,,178.0,,
1893-05-03,,,8.0,,
1893-05-04,,,0.0,,
1893-05-05,,,0.0,,
1893-05-06,,,0.0,,
1893-05-07,,,0.0,,
1893-05-08,,,51.0,,
1893-05-09,,,89.0,,
1893-05-10,,,10.0,,
1893-05-11,,,0.0,,
1893-05-12,,,23.0,,
1893-05-13,,,0.0,,
1893-05-14,,,0.0,,
1893-05-15,,,0.0,,
1893-05-16,,,15.0,,
1893-05-17,,,0.0,,
1893-05-18,,,0.0,,
1893-05-19,,,0.0,,
1893-05-20,,,0.0,,
1893-05-21,,,0.0,,
1893-05-22,,,0.0,,
1893-05-23,,,0.0,,
1893-05-24,,,0.0,,
1893-05-25,,,0.0,,
1893-05-26,,,0.0,,
1893-05-27,,,25.0,,
1893-05-28,,,196.0,,
1893-05-29,,,279.0,,
1893-05-30,,,0.0,,
1893-05-31,,,0.0,,
1893-06-01,278.0,206.0,0.0,,
1893-06-02,233.0,211.0,201.0,,
1893-06-03,272.0,233.0,0.0,,
1893-06-04,267.0,233.0,0.0,,
1893-06-05,278.0,239.0,0.0,,
1893-06-06,278.0,233.0,0.0,,
1893-06-07,256.0,233.0,3.0,,
1893-06-08,250.0,217.0,0.0,,
1893-06-09,250.0,194.0,0.0,,
1893-06-10,272.0,189.0,0.0,,
1893-06-11,278.0,222.0,0.0,,
1893-06-12,283.0,217.0,0.0,,
1893-06-13,278.0,233.0,0.0,,
1893-06-14,244.0,222.0,622.0,,
1893-06-15,233.0,222.0,737.0,,
1893-06-16,244.0,233.0,320.0,,
1893-06-17,283.0,233.0,0.0,,
1893-06-18,256.0,222.0,483.0,,
1893-06-19,244.0,222.0,201.0,,
1893-06-20,261.0,250.0,0.0,,
1893-06-21,272.0,233.0,61.0,,
1893-06-22,294.0,233.0,224.0,,
1893-06-23,272.0,228.0,0.0,,
1893-06-24,267.0,211.0,0.0,,
1893-06-25,261.0,211.0,0.0,,
1893-06-26,294.0,239.0,0.0,,
1893-06-27,278.0,222.0,0.0,,
1893-06-28,244.0,228.0,0.0,,
1893-06-29,233.0,217.0,127.0,,
1893-06-30,267.0,217.0,0.0,,
1893-07-01,272.0,217.0,0.0,,
1893-07-02,306.0,228.0,0.0,,
1893-07-03,289.0,233.0,0.0,,
1893-07-04,289.0,222.0,0.0,,
1893-07-05,300.0,244.0,0.0,,
1893-07-06,311.0,256.0,0.0,,
1893-07-07,317.0,261.0,0.0,,
1893-07-08,322.0,267.0,0.0,,
1893-07-09,322.0,267.0,0.0,,
1893-07-10,267.0,239.0,417.0,,
1893-07-11,267.0,233.0,3.0,,
1893-07-12,278.0,228.0,0.0,,
1893-07-13,300.0,222.0,0.0,,
1893-07-14,322.0,250.0,0.0,,
1893-07-15,328.0,267.0,0.0,,
1893-07-16,322.0,250.0,0.0,,
1893-07-17,311.0,256.0,36.0,,
1893-07-18,300.0,256.0,0.0,,
1893-07-19,311.0,250.0,284.0,,
1893-07-20,261.0,244.0,0.0,,
1893-07-21,267.0,239.0,0.0,,
1893-07-22,283.0,233.0,0.0,,
1893-07-23,306.0,244.0,0.0,,
1893-07-24,311.0,256.0,0.0,,
1893-07-25,306.0,256.0,0.0,,
1893-07-26,311.0,250.0,28.0,,
1893-07-27,306.0,250.0,25.0,,
1893-07-28,278.0,244.0,3.0,,
1893-07-29,289.0,239.0,0.0,,
1893-07-30,311.0,256.0,0.0,,
1893-07-31,300.0,244.0,122.0,,
1893-08-01,,,318.0,,
1893-08-02,,,51.0,,
1893-08-03,,,104.0,,
1893-08-04,,,381.0,,
1893-08-05,,,269.0,,
1893-08-06,,,259.0,,
1893-08-07,,,5.0,,
1893-08-08,,,0.0,,
1893-08-09,,,0.0,,
1893-08-10,,,0.0,,
1893-08-11,,,0.0,,
1893-08-12,,,0.0,,
1893-08-13,,,51.0,,
1893-08-14,,,1054.0,,
1893-08-15,,,5.0,,
1893-08-16,,,0.0,,
1893-08-17,,,0.0,,
1893-08-18,,,191.0,,
1893-08-19,,,0.0,,
1893-08-20,,,0.0,,
1893-08-21,,,23.0,,
1893-08-22,,,0.0,,
1893-08-23,,,18.0,,
1893-08-24,,,0.0,,
1893-08-25,,,201.0,,
1893-08-26,,,0.0,,
1893-08-27,,,508.0,,
1893-08-28,,,1016.0,,
1893-08-29,,,0.0,,
1893-08-30,,,343.0,,
1893-08-31,,,0.0,,
1893-09-01,,,25.0,,
1893-09-02,,,71.0,,
1893-09-03,,,0.0,,
1893-09-04,,,0.0,,
1893-09-05,,,0.0,,
1893-09-06,,,0.0,,
1893-09-07,,,0.0,,
1893-09-08,,,102.0,,
1893-09-09,,,168.0,,
1893-09-10,,,46.0,,
1893-09-11,,,43.0,,
1893-09-12,,,216.0,,
1893-09-13,,,353.0,,
1893-09-14,,,0.0,,
1893-09-15,,,0.0,,
1893-09-16,,,0.0,,
1893-09-17,,,0.0,,
1893-09-18,,,0.0,,
1893-09-19,,,0.0,,
1893-09-20,,,0.0,,
1893-09-21,,,0.0,,
1893-09-22,,,0.0,,
1893-09-23,,,0.0,,
1893-09-24,,,0.0,,
1893-09-25,,,0.0,,
1893-09-26,,,0.0,,
1893-09-27,,,0.0,,
1893-09-28,,,0.0,,
1893-09-29,,,0.0,,
1893-09-30,,,0.0,,
1893-10-01,,,25.0,,
1893-10-02,,,0.0,,
1893-10-03,,,699.0,,
1893-10-04,,,0.0,,
1893-10-05,,,0.0,,
1893-10-06,,,0.0,,
1893-10-07,,,0.0,,
1893-10-08,,,0.0,,
1893-10-09,,,0.0,,
1893-10-10,,,0.0,,
1893-10-11,,,0.0,,
1893-10-12,,,762.0,,
1893-10-13,,,310.0,,
1893-10-14,,,0.0,,
1893-10-15,,,0.0,,
1893-10-16,,,0.0,,
1893-10-17,,,0.0,,
1893-10-18,,,0.0,,
1893-10-19,,,0.0,,
1893-10-20,,,0.0,,
1893-10-21,,,0.0,,
1893-10-22,,,0.0,,
1893-10-23,,,0.0,,
1893-10-24,,,0.0,,
1893-10-25,,,0.0,,
1893-10-26,,,0.0,,
1893-10-27,,,0.0,,
1893-10-28,,,0.0,,
1893-10-29,,,0.0,,
1893-10-30,,,0.0,,
1893-10-31,,,0.0,,
1893-11-01,,,0.0,,
1893-11-02,,,0.0,,
1893-11-03,,,0.0,,
1893-11-04,,,0.0,,
1893-11-05,,,20.0,,
1893-11-06,,,15.0,,
1893-11-07,,,0.0,,
1893-11-08,,,0.0,,
1893-11-09,,,0.0,,
1893-11-10,,,0.0,,
1893-11-11,,,0.0,,
1893-11-12,,,0.0,,
1893-11-13,,,20.0,,
1893-11-14,,,0.0,,
1893-11-15,,,0.0,,
1893-11-16,,,0.0,,
1893-11-17,,,0.0,,
1893-11-18,,,0.0,,
1893-11-19,,,10.0,,
1893-11-20,,,0.0,,
1893-11-21,,,150.0,,
1893-11-22,,,0.0,,
1893-11-23,,,0.0,,
1893-11-24,,,0.0,,
1893-11-25,,,0.0,,
1893-11-26,,,0.0,,
1893-11-27,,,198.0,,
1893-11-28,,,0.0,,
1893-11-29,,,0.0,,
1893-11-30,,,0.0,,
1893-12-01,,,0.0,,
1893-12-02,,,0.0,,
1893-12-03,,,13.0,,
1893-12-04,,,241.0,,
1893-12-05,,,239.0,,
1893-12-06,,,0.0,,
1893-12-07,,,30.0,,
1893-12-08,,,0.0,,
1893-12-09,,,18.0,,
1893-12-10,,,0.0,,
1893-12-11,,,0.0,,
1893-12-12,,,0.0,,
1893-12-13,,,0.0,,
1893-12-14,,,0.0,,
1893-12-15,,,0.0,,
1893-12-16,,,333.0,,
1893-12-17,,,0.0,,
1893-12-18,,,0.0,,
1893-12-19,,,0.0,,
1893-12-20,,,0.0,,
1893-12-21,,,0.0,,
1893-12-22,,,0.0,,
1893-12-23,,,0.0,,
1893-12-24,,,0.0,,
1893-12-25,,,0.0,,
1893-12-26,,,0.0,,
1893-12-27,,,0.0,,
1893-12-28,,,0.0,,
1893-12-29,,,0.0,,
1893-12-30,,,203.0,,
1893-12-31,,,10.0,,
1894-01-01,,,25.0,,
1894-01-02,,,0.0,,
1894-01-03,,,0.0,,
1894-01-04,,,0.0,,
1894-01-05,,,0.0,,
1894-01-06,,,0.0,,
1894-01-07,,,8.0,,
1894-01-08,,,10.0,,
1894-01-09,,,152.0,,
1894-01-10,,,0.0,,
1894-01-11,,,18.0,,
1894-01-12,,,0.0,,
1894-01-13,,,0.0,,
1894-01-14,,,0.0,,
1894-01-15,,,5.0,,
1894-01-16,,,0.0,,
1894-01-17,,,0.0,,
1894-01-18,,,0.0,,
1894-01-19,,,0.0,,
1894-01-20,,,0.0,,
1894-01-21,,,0.0,,
1894-01-22,,,0.0,,
1894-01-23,,,0.0,,
1894-01-24,,,0.0,,
1894-01-25,,,64.0,,
1894-01-26,,,38.0,,
1894-01-27,,,0.0,,
1894-01-28,,,76.0,,
1894-01-29,,,79.0,,
1894-01-30,,,0.0,,
1894-01-31,,,0.0,,
1894-03-01,,,112.0,,
1894-03-02,,,0.0,,
1894-03-03,,,0.0,,
1894-03-04,,,0.0,,
1894-03-05,,,0.0,,
1894-03-06,,,15.0,,
1894-03-07,,,0.0,,
1894-03-08,,,0.0,,
1894-03-09,,,5.0,,
1894-03-10,,,0.0,,
1894-03-11,,,8.0,,
1894-03-12,,,10.0,,
1894-03-13,,,0.0,,
1894-03-14,,,0.0,,
1894-03-15,,,0.0,,
1894-03-16,,,10.0,,
1894-03-17,,,338.0,,
1894-03-18,,,0.0,,
1894-03-19,,,0.0,,
1894-03-20,,,0.0,,
1894-03-21,,,0.0,,
1894-03-22,,,0.0,,
1894-03-23,,,0.0,,
1894-03-24,,,25.0,,
1894-03-25,,,333.0,,
1894-03-26,,,0.0,,
1894-03-27,,,0.0,,
1894-03-28,,,30.0,,
1894-03-29,,,0.0,,
1894-03-30,,,0.0,,
1894-03-31,,,0.0,,
1894-04-01,,,0.0,,
1894-04-02,,,0.0,,
1894-04-03,,,0.0,,
1894-04-04,,,71.0,,
1894-04-05,,,5.0,,
1894-04-06,,,0.0,,
1894-04-07,,,0.0,,
1894-04-08,,,0.0,,
1894-04-09,,,0.0,,
1894-04-10,,,71.0,,
1894-04-11,,,0.0,,
1894-04-12,,,0.0,,
1894-04-13,,,0.0,,
1894-04-14,,,0.0,,
1894-04-15,,,5.0,,
1894-04-16,,,0.0,,
1894-04-17,,,0.0,,
1894-04-18,,,0.0,,
1894-04-19,,,0.0,,
1894-04-20,,,13.0,,
1894-04-21,,,0.0,,
1894-04-22,,,0.0,,
1894-04-23,,,0.0,,
1894-04-24,,,0.0,,
1894-04-25,,,0.0,,
1894-04-26,,,0.0,,
1894-04-27,,,0.0,,
1894-04-28,,,0.0,,
1894-04-29,,,15.0,,
1894-04-30,,,0.0,,
1894-05-01,,,0.0,,
1894-05-02,,,0.0,,
1894-05-03,,,0.0,,
1894-05-04,,,0.0,,
1894-05-05,,,0.0,,
1894-05-06,,,64.0,,
1894-05-07,,,0.0,,
1894-05-08,,,51.0,,
1894-05-09,,,61.0,,
1894-05-10,,,127.0,,
1894-05-11,,,119.0,,
1894-05-12,,,0.0,,
1894-05-13,,,0.0,,
1894-05-14,,,0.0,,
1894-05-15,,,89.0,,
1894-05-16,,,43.0,,
1894-05-17,,,25.0,,
1894-05-18,,,170.0,,
1894-05-19,,,3.0,,
1894-05-20,,,0.0,,
1894-05-21,,,0.0,,
1894-05-22,,,0.0,,
1894-05-23,,,97.0,,
1894-05-24,,,0.0,,
1894-05-25,,,0.0,,
1894-05-26,,,3.0,,
1894-05-27,,,0.0,,
1894-05-28,,,0.0,,
1894-05-29,,,0.0,,
1894-05-30,,,0.0,,
1894-05-31,,,0.0,,
1894-06-01,,,0.0,,
1894-06-02,,,0.0,,
1894-06-03,,,0.0,,
1894-06-04,,,0.0,,
1894-06-05,,,0.0,,
1894-06-06,,,10.0,,
1894-06-07,,,0.0,,
1894-06-08,,,0.0,,
1894-06-09,,,0.0,,
1894-06-10,,,0.0,,
1894-06-11,,,0.0,,
1894-06-12,,,0.0,,
1894-06-13,,,188.0,,
1894-06-14,,,0.0,,
1894-06-15,,,0.0,,
1894-06-16,,,0.0,,
1894-06-17,,,0.0,,
1894-06-18,,,0.0,,
1894-06-19,,,48.0,,
1894-06-20,,,0.0,,
1894-06-21,,,0.0,,
1894-06-22,,,0.0,,
1894-06-23,,,71.0,,
1894-06-24,,,13.0,,
1894-06-25,,,38.0,,
1894-06-26,,,36.0,,
1894-06-27,,,206.0,,
1894-06-28,,,0.0,,
1894-06-29,,,0.0,,
1894-06-30,,,5.0,,
1894-07-01,,,28.0,,
1894-07-02,,,241.0,,
