DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2000-10-16,256,150,,,
2000-10-17,250,133,,,
2000-10-18,206,50,,,
2000-10-19,239,28,,,
2000-10-20,244,50,,,
2000-10-21,228,128,,,
2000-10-22,256,133,,,
2000-10-23,261,128,,,
2000-10-24,267,111,,,
2000-10-25,267,111,,,
2000-10-26,256,106,,,
2000-10-27,256,94,,,
2000-10-28,244,100,,,
2000-10-29,222,83,,,
2000-10-30,239,6,,,
2000-10-31,250,50,,,
2000-11-01,256,72,,,
2000-11-02,256,78,,,
2000-11-03,244,100,,,
2000-11-04,139,72,,,
2000-11-05,172,17,,,
2000-11-06,172,6,,,
2000-11-07,183,139,,,
2000-11-08,200,150,,,
2000-11-09,200,67,,,
2000-11-10,56,22,,,
2000-11-11,122,17,,,
2000-11-12,156,-22,,,
2000-11-13,106,33,,,
2000-11-14,61,-33,,,
2000-11-15,83,-44,,,
2000-11-16,56,0,,,
2000-11-17,56,-28,,,
2000-11-18,0,-33,,,
2000-11-19,94,-17,,,
2000-11-20,50,-33,,,
2000-11-21,-6,-100,,,
2000-11-22,94,-117,,,
2000-11-23,128,-44,,,
2000-11-24,117,28,,,
2000-11-25,133,67,,,
2000-11-26,72,39,,,
2000-11-27,100,-17,,,
2000-11-28,139,-22,,,
2000-11-29,128,11,,,
2000-11-30,72,-44,,,
2000-12-01,83,-67,,,
2000-12-02,33,-11,,,
2000-12-03,0,-28,,,
2000-12-04,22,-22,,,
2000-12-05,17,-56,,,
2000-12-06,0,-78,,,
2000-12-07,83,-22,,,
2000-12-08,83,-11,,,
2000-12-09,94,-33,,,
2000-12-10,106,17,,,
2000-12-11,106,67,,,
2000-12-12,61,-89,,,
2000-12-13,50,-83,,,
2000-12-14,72,-6,,,
2000-12-15,133,-17,,,
2000-12-16,128,78,,,
2000-12-17,61,-122,,,
2000-12-18,39,-133,,,
2000-12-19,-6,-122,,,
2000-12-20,-33,-122,,,
2000-12-21,-11,-56,,,
2000-12-22,-44,-167,,,
2000-12-23,33,-161,,,
2000-12-24,0,0,,,
2001-01-02,-11,-128,,,
2001-01-03,6,-172,,,
2001-01-04,39,-39,,,
2001-01-05,67,-28,,,
2001-01-06,83,-67,,,
2001-01-07,111,-28,,,
2001-01-08,50,-28,,,
2001-01-09,-17,-94,,,
2001-01-10,83,-122,,,
2001-01-11,61,-78,,,
2001-01-12,39,-11,,,
2001-01-13,117,-17,,,
2001-01-14,83,-22,,,
2001-01-15,111,6,,,
