DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-10-16,56,22,,,
2001-10-17,106,-6,,,
2001-10-18,189,-28,,,
2001-10-19,189,0,,,
2001-10-20,217,28,,,
2001-10-21,228,50,,,
2001-10-22,239,67,,,
2001-10-23,261,83,,,
2001-10-24,278,94,,,
2001-10-25,178,83,,,
2001-10-26,111,17,,,
2001-10-27,17,-11,,,
2001-10-28,111,-28,,,
2001-10-29,161,-33,,,
2001-10-30,222,-17,,,
2001-10-31,211,56,,,
2001-11-01,211,83,,,
2001-11-02,244,111,,,
2001-11-03,189,50,,,
2001-11-04,189,0,,,
2001-11-05,161,11,,,
2001-11-06,156,-28,,,
2001-11-07,206,-11,,,
2001-11-08,206,0,,,
2001-11-09,167,6,,,
2001-11-10,194,-11,,,
2001-11-11,161,11,,,
2001-11-12,167,-17,,,
2001-11-13,161,-6,,,
2001-11-14,172,-28,,,
2001-11-15,183,-17,,,
2001-11-16,189,0,,,
2001-11-17,211,50,,,
2001-11-18,194,33,,,
2001-11-19,178,28,,,
2001-11-20,100,-33,,,
2001-11-21,117,-50,,,
2001-11-22,156,-33,,,
2001-11-23,172,17,,,
2001-11-24,178,106,,,
2001-11-25,172,61,,,
2001-11-26,200,11,,,
2001-11-27,217,78,,,
2001-11-28,228,89,,,
2001-11-29,228,144,,,
2001-11-30,211,56,,,
2001-12-01,183,17,,,
2001-12-02,183,17,,,
2001-12-03,172,0,,,
2001-12-04,233,0,,,
2001-12-05,256,33,,,
2001-12-06,189,56,,,
2001-12-07,144,106,,,
2001-12-08,161,94,,,
2001-12-09,100,0,,,
2001-12-10,61,22,,,
2001-12-11,111,44,,,
2001-12-12,161,44,,,
2001-12-13,150,100,,,
2001-12-14,200,50,,,
2001-12-15,133,44,,,
2001-12-16,194,33,,,
2001-12-17,156,100,,,
2001-12-18,94,-11,,,
2001-12-19,128,-28,,,
2001-12-20,33,-33,,,
2001-12-21,67,-33,,,
2001-12-22,150,-50,,,
2001-12-23,128,50,,,
2001-12-24,28,-39,,,
2001-12-25,11,-89,,,
2001-12-26,0,-106,,,
2001-12-27,0,-56,,,
2001-12-28,50,-6,,,
2001-12-29,67,-61,,,
2001-12-30,6,-89,,,
2001-12-31,-6,-106,,,
2002-01-01,-6,-133,,,
2002-01-02,11,-117,,,
2002-01-03,-33,-67,,,
