DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1948-01-01,161,-17,89.0,0.0,0.0
1948-01-02,67,-22,0.0,0.0,0.0
1948-01-03,139,-39,0.0,0.0,0.0
1948-01-04,128,22,0.0,0.0,0.0
1948-01-05,122,-17,0.0,0.0,0.0
1948-01-06,111,-28,0.0,0.0,0.0
1948-01-07,133,-44,0.0,0.0,0.0
1948-01-08,189,61,0.0,0.0,0.0
1948-01-09,172,39,3.0,0.0,0.0
1948-01-10,94,-11,0.0,0.0,0.0
1948-01-11,111,-11,0.0,0.0,0.0
1948-01-12,111,50,152.0,0.0,0.0
1948-01-13,61,-33,0.0,0.0,0.0
1948-01-14,-6,-61,0.0,0.0,0.0
1948-01-15,89,-67,0.0,0.0,0.0
1948-01-16,61,-72,297.0,305.0,300.0
1948-01-17,-67,-150,0.0,203.0,0.0
1948-01-18,-44,-161,0.0,152.0,0.0
1948-01-19,0,-161,0.0,127.0,0.0
1948-01-20,44,-56,18.0,76.0,0.0
1948-01-21,78,-11,8.0,0.0,0.0
1948-01-22,67,-72,10.0,0.0,13.0
1948-01-23,-67,-106,0.0,0.0,0.0
1948-01-24,-28,-122,0.0,0.0,0.0
1948-01-25,11,-67,23.0,25.0,36.0
1948-01-26,-17,-33,124.0,25.0,25.0
1948-01-27,-28,-94,69.0,25.0,15.0
1948-01-28,-61,-122,0.0,25.0,0.0
1948-01-29,-28,-67,33.0,25.0,0.0
1948-01-30,-11,-28,8.0,25.0,0.0
1948-01-31,22,-50,3.0,51.0,3.0
1948-02-01,6,-83,0.0,25.0,0.0
1948-02-02,61,-94,0.0,25.0,0.0
1948-02-03,72,-17,0.0,0.0,0.0
1948-02-04,78,39,183.0,0.0,0.0
1948-02-05,50,11,142.0,0.0,0.0
1948-02-06,72,0,0.0,0.0,0.0
1948-02-07,72,28,86.0,0.0,0.0
1948-02-08,39,-33,0.0,0.0,0.0
1948-02-09,-11,-67,15.0,25.0,25.0
1948-02-10,61,-100,0.0,0.0,0.0
1948-02-11,56,17,526.0,0.0,0.0
1948-02-12,67,39,782.0,0.0,0.0
1948-02-13,44,-6,163.0,0.0,0.0
1948-02-14,78,-33,0.0,0.0,0.0
1948-02-15,139,-33,0.0,0.0,0.0
1948-02-16,183,78,0.0,0.0,0.0
1948-02-17,217,50,0.0,0.0,0.0
1948-02-18,222,33,0.0,0.0,0.0
1948-02-19,167,72,30.0,0.0,0.0
1948-02-20,72,11,0.0,0.0,0.0
1948-02-21,17,-28,84.0,0.0,0.0
1948-02-22,0,-33,0.0,0.0,0.0
1948-02-23,122,-11,0.0,0.0,0.0
1948-02-24,106,72,5.0,0.0,0.0
1948-02-25,139,100,574.0,0.0,0.0
1948-02-26,167,133,185.0,0.0,0.0
1948-02-27,217,133,53.0,0.0,0.0
1948-02-28,211,78,0.0,0.0,0.0
1948-02-29,139,72,0.0,0.0,0.0
1948-03-01,156,89,513.0,0.0,0.0
1948-03-02,200,67,13.0,0.0,0.0
1948-03-03,111,22,56.0,0.0,0.0
1948-03-04,56,17,0.0,0.0,0.0
1948-03-05,133,11,191.0,0.0,0.0
1948-03-06,100,56,76.0,0.0,0.0
1948-03-07,150,6,0.0,0.0,0.0
1948-03-08,111,11,0.0,0.0,0.0
1948-03-09,106,50,0.0,0.0,0.0
1948-03-10,122,-11,0.0,0.0,0.0
1948-03-11,-11,-44,0.0,0.0,0.0
1948-03-12,39,-67,0.0,0.0,0.0
1948-03-13,106,-61,0.0,0.0,0.0
1948-03-14,178,-11,0.0,0.0,0.0
1948-03-15,211,133,208.0,0.0,0.0
1948-03-16,194,94,3.0,0.0,0.0
1948-03-17,183,44,0.0,0.0,0.0
1948-03-18,211,106,5.0,0.0,0.0
1948-03-19,283,206,0.0,0.0,0.0
1948-03-20,278,206,0.0,0.0,0.0
1948-03-21,272,156,147.0,0.0,0.0
1948-03-22,156,117,455.0,0.0,0.0
1948-03-23,161,89,0.0,0.0,0.0
1948-03-24,222,72,0.0,0.0,0.0
1948-03-25,256,106,0.0,0.0,0.0
1948-03-26,261,139,28.0,0.0,0.0
1948-03-27,139,33,0.0,0.0,0.0
1948-03-28,117,17,0.0,0.0,0.0
1948-03-29,189,33,0.0,0.0,0.0
1948-03-30,161,117,475.0,0.0,0.0
1948-03-31,250,133,13.0,0.0,0.0
1948-04-01,150,50,5.0,0.0,0.0
1948-04-02,206,22,0.0,0.0,0.0
1948-04-03,211,61,0.0,0.0,0.0
1948-04-04,244,89,0.0,0.0,0.0
1948-04-05,256,172,0.0,0.0,0.0
1948-04-06,289,178,0.0,0.0,0.0
1948-04-07,283,183,206.0,0.0,0.0
1948-04-08,261,150,196.0,0.0,0.0
1948-04-09,206,94,0.0,0.0,0.0
1948-04-10,172,94,66.0,0.0,0.0
1948-04-11,278,161,0.0,0.0,0.0
1948-04-12,289,167,79.0,0.0,0.0
1948-04-13,200,100,221.0,0.0,0.0
1948-04-14,144,72,0.0,0.0,0.0
1948-04-15,217,39,0.0,0.0,0.0
1948-04-16,267,72,0.0,0.0,0.0
1948-04-17,228,133,0.0,0.0,0.0
1948-04-18,283,106,0.0,0.0,0.0
1948-04-19,289,172,0.0,0.0,0.0
1948-04-20,283,178,0.0,0.0,0.0
1948-04-21,278,161,0.0,0.0,0.0
1948-04-22,294,150,0.0,0.0,0.0
1948-04-23,283,183,0.0,0.0,0.0
1948-04-24,289,189,0.0,0.0,0.0
