DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1941-01-01,,,0.0,,
1941-01-02,-89.0,,0.0,,
1941-01-03,-111.0,,0.0,,
1941-01-04,-128.0,,0.0,,
1941-01-05,-72.0,,0.0,,
1941-01-06,-83.0,,0.0,,
1941-01-07,-78.0,,0.0,,
1941-01-08,-106.0,,0.0,,
1941-01-09,-78.0,,0.0,,
1941-01-10,-78.0,,0.0,,
1941-01-11,22.0,,0.0,,
1941-01-12,0.0,,0.0,,
1941-01-13,-22.0,,0.0,,
1941-01-14,-17.0,,23.0,,
1941-01-15,-50.0,,0.0,,
1941-01-16,-56.0,,15.0,,
1941-01-17,-139.0,,0.0,,
1941-01-18,-83.0,,0.0,,
1941-01-19,-72.0,,0.0,,
1941-01-20,-6.0,,0.0,,
1941-01-21,-111.0,,0.0,,
1941-01-22,-56.0,,0.0,,
1941-01-23,-117.0,,0.0,,
1941-01-24,0.0,,0.0,,
1941-01-25,-117.0,,0.0,,
1941-01-26,-67.0,,0.0,,
1941-01-27,-78.0,,0.0,,
1941-01-28,61.0,,0.0,,
1941-01-29,-11.0,,0.0,,
1941-01-30,,,18.0,,
1941-01-31,-6.0,,0.0,,
1941-02-01,-6.0,,,,
1941-02-02,-11.0,,13.0,,
1941-02-03,-78.0,,,,
1941-02-04,-83.0,,,,
1941-02-05,-78.0,,,,
1941-02-06,-56.0,,,,
1941-02-07,-139.0,,,,
1941-02-08,-139.0,,,,
1941-02-09,-111.0,,,,
1941-02-10,-67.0,,,,
1941-02-11,-44.0,,,,
1941-02-12,67.0,,,,
1941-02-13,-11.0,,,,
1941-02-14,-28.0,,,,
1941-02-15,-67.0,,,,
1941-02-16,0.0,,,,
1941-02-17,-33.0,,,,
1941-02-18,0.0,,,,
1941-02-19,11.0,,8.0,,
1941-02-20,-89.0,,0.0,,
1941-02-21,-39.0,,8.0,,
1941-02-22,-50.0,,0.0,,
1941-02-23,-28.0,,8.0,,25.0
1941-02-24,-44.0,,,,
1941-02-25,-56.0,,,,
1941-02-26,-44.0,,,,51.0
1941-02-27,-67.0,,20.0,,
1941-02-28,-78.0,,58.0,,
1941-03-01,-22.0,,0.0,,
1941-03-02,94.0,,0.0,,
1941-03-03,-22.0,,0.0,,
1941-03-04,-67.0,,0.0,,
1941-03-05,-11.0,,178.0,,51.0
1941-03-06,-44.0,,0.0,,
1941-03-07,-44.0,,0.0,,
1941-03-08,-78.0,,0.0,,
1941-03-09,0.0,,0.0,,
1941-03-10,-89.0,,0.0,,
1941-03-11,-78.0,,0.0,,
1941-03-12,-89.0,,0.0,,
1941-03-13,-78.0,,0.0,,
1941-03-14,-22.0,,0.0,,
1941-03-15,-22.0,,0.0,,
1941-03-16,-78.0,,0.0,,
1941-03-17,-122.0,,0.0,,
1941-03-18,-56.0,,0.0,,
1941-03-19,-56.0,,0.0,,
1941-03-20,33.0,,0.0,,
1941-03-21,33.0,,0.0,,
1941-03-22,72.0,,147.0,,
1941-03-23,72.0,,0.0,,
1941-03-24,33.0,,5.0,,
1941-03-25,-22.0,,,,102.0
1941-03-26,-50.0,,422.0,,
1941-03-27,-50.0,,0.0,,
1941-03-28,11.0,,0.0,152.0,
1941-03-29,0.0,,0.0,,
1941-03-30,11.0,,0.0,,
1941-03-31,0.0,,0.0,,
1941-04-01,,,0.0,,
1941-04-02,,,0.0,,
1941-04-03,,,0.0,,
1941-04-04,,,0.0,,
1941-04-05,,,0.0,,
1941-04-06,,,0.0,,
1941-04-07,,,0.0,,
1941-04-08,,,0.0,,
1941-04-09,,,0.0,,
1941-04-10,,,0.0,,
1941-04-11,,,0.0,,
1941-04-12,,,0.0,,
1941-04-13,,,0.0,,
1941-04-14,,,0.0,,
1941-04-15,,,89.0,,
1941-04-16,,,0.0,,
1941-04-17,,,0.0,,
1941-04-18,,,0.0,,
1941-04-19,,,0.0,,
1941-04-20,,,0.0,,
1941-04-21,,,0.0,,
1941-04-22,,,0.0,,
1941-04-23,,,43.0,,
1941-04-24,,,0.0,,
1941-04-25,,,0.0,,
1941-04-26,,,76.0,,
1941-04-27,,,145.0,,
1941-04-28,,,13.0,,
1941-04-29,,,94.0,,
1941-04-30,,,0.0,,
1941-05-01,,,381.0,,
1941-05-02,,,178.0,,
1941-05-03,,,104.0,,
1941-05-04,,,0.0,,
1941-05-05,,,0.0,,
1941-05-06,,,0.0,,
1941-05-07,,,0.0,,
1941-05-08,,,0.0,,
1941-05-09,,,0.0,,
1941-05-10,,,10.0,,
1941-05-11,,,0.0,,
1941-05-12,,,0.0,,
1941-05-13,,,0.0,,
1941-05-14,,,0.0,,
1941-05-15,,,0.0,,
1941-05-16,,,0.0,,
1941-05-17,,,0.0,,
1941-05-18,,,0.0,,
1941-05-19,,,0.0,,
1941-05-20,,,343.0,,
1941-05-21,,,0.0,,
