DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2000-11-15,117,22,,,
2000-11-16,139,72,,,
2000-11-17,78,33,,,
2000-11-18,50,28,,,
2000-11-19,133,28,,,
2000-11-20,156,0,,,
2000-11-21,144,11,,,
2000-11-22,128,50,,,
2000-11-23,178,128,,,
2000-11-24,117,78,,,
2000-11-25,156,56,,,
2000-11-26,178,33,,,
2000-11-27,217,39,,,
2000-11-28,239,106,,,
2000-11-29,161,72,,,
2000-11-30,183,61,,,
2000-12-01,156,50,,,
2000-12-02,56,6,,,
2000-12-03,22,6,,,
2000-12-04,72,22,,,
2000-12-05,83,56,,,
2000-12-06,111,17,,,
2000-12-07,172,-17,,,
2000-12-08,144,33,,,
2000-12-09,189,33,,,
2000-12-10,211,72,,,
2000-12-11,211,-33,,,
2000-12-12,-39,-61,,,
2000-12-13,78,-39,,,
2000-12-14,161,-11,,,
2000-12-15,156,72,,,
2000-12-16,150,0,,,
2000-12-17,111,-44,,,
2000-12-18,128,28,,,
2000-12-19,128,-22,,,
2000-12-20,183,39,,,
2000-12-21,94,-17,,,
2000-12-22,106,-28,,,
2000-12-23,117,61,,,
2000-12-24,89,22,,,
2000-12-25,50,17,,,
2000-12-26,11,-22,,,
2000-12-27,11,-22,,,
2000-12-28,117,-22,,,
2000-12-29,106,-11,,,
2000-12-30,111,-39,,,
2000-12-31,61,-11,,,
2001-01-01,6,-33,,,
2001-01-02,0,-33,,,
2001-01-03,133,-39,,,
2001-01-04,211,-6,,,
2001-01-05,172,22,,,
2001-01-06,222,6,,,
2001-01-07,150,50,,,
2001-01-08,139,0,,,
2001-01-09,139,-11,,,
2001-01-10,94,39,,,
2001-01-11,128,22,,,
2001-01-12,83,11,,,
2001-01-13,117,61,,,
2001-01-14,150,61,,,
2001-01-15,133,17,,,
2001-01-16,83,50,,,
2001-01-17,44,11,,,
2001-01-18,22,6,,,
2001-01-19,83,-6,,,
2001-01-20,106,-44,,,
2001-01-21,83,22,,,
2001-01-22,139,-28,,,
2001-01-23,133,22,,,
2001-01-24,167,22,,,
2001-01-25,144,33,,,
2001-01-26,183,100,,,
2001-01-27,144,44,,,
2001-01-28,189,39,,,
2001-01-29,161,39,,,
2001-01-30,178,61,,,
2001-01-31,133,6,,,
2001-02-01,144,17,,,
2001-02-02,128,6,,,
2001-02-03,183,11,,,
2001-02-04,172,44,,,
2001-02-05,194,11,,,
2001-02-06,239,94,,,
2001-02-07,217,122,,,
2001-02-08,211,178,,,
2001-02-09,206,6,,,
2001-02-10,72,-50,,,
2001-02-11,100,28,,,
2001-02-12,139,72,,,
2001-02-13,183,133,,,
2001-02-14,211,167,,,
2001-02-15,200,56,,,
2001-02-16,94,11,,,
2001-02-17,94,-28,,,
2001-02-18,133,-11,,,
2001-02-19,200,61,,,
2001-02-20,250,117,,,
2001-02-21,200,89,,,
2001-02-22,106,56,,,
2001-02-23,178,83,,,
2001-02-24,211,128,,,
2001-02-25,233,72,,,
2001-02-26,183,100,,,
2001-02-27,217,100,,,
2001-02-28,61,6,,,
2001-03-01,89,0,,,
2001-03-02,144,67,,,
2001-03-03,111,78,,,
2001-03-04,178,61,,,
2001-03-05,211,28,,,
2001-03-06,194,72,,,
2001-03-07,200,61,,,
2001-03-08,150,89,,,
2001-03-09,167,72,,,
2001-03-10,161,44,,,
2001-03-11,222,139,,,
2001-03-12,222,100,,,
2001-03-13,200,61,,,
2001-03-14,167,106,,,
2001-03-15,189,72,,,
2001-03-16,156,11,,,
2001-03-17,106,50,,,
2001-03-18,61,33,,,
2001-03-19,122,44,,,
2001-03-20,189,6,,,
2001-03-21,239,56,,,
2001-03-22,261,111,,,
2001-03-23,250,122,,,
2001-03-24,156,61,,,
2001-03-25,122,61,,,
2001-03-26,106,50,,,
2001-03-27,72,39,,,
2001-03-28,89,44,,,
2001-03-29,167,72,,,
2001-03-30,161,72,,,
2001-03-31,222,78,,,
2001-04-01,228,100,,,
2001-04-02,233,172,,,
2001-04-03,244,183,,,
2001-04-04,300,172,,,
2001-04-05,267,200,,,
2001-04-06,250,194,,,
2001-04-07,239,172,,,
2001-04-08,289,200,,,
2001-04-09,272,178,,,
2001-04-10,267,200,,,
2001-04-11,256,111,,,
2001-04-12,222,122,,,
2001-04-13,267,156,,,
2001-04-14,289,200,,,
2001-04-15,294,183,,,
2001-04-16,278,156,,,
2001-04-17,189,56,,,
2001-04-18,200,78,,,
2001-04-19,233,133,,,
2001-04-20,261,200,,,
2001-04-21,267,194,,,
2001-04-22,278,200,,,
2001-04-23,217,128,,,
2001-04-24,222,122,,,
2001-04-25,250,56,,,
2001-04-26,250,83,,,
2001-04-27,250,100,,,
2001-04-28,261,111,,,
2001-04-29,267,111,,,
2001-04-30,267,156,,,
2001-05-01,261,178,,,
2001-05-02,283,178,,,
2001-05-03,272,194,,,
2001-05-04,244,156,,,
2001-05-05,261,139,,,
2001-05-06,294,167,,,
2001-05-07,261,144,,,
2001-05-08,267,167,,,
2001-05-09,289,161,,,
2001-05-10,278,167,,,
2001-05-11,289,178,,,
2001-05-12,267,156,,,
2001-05-13,267,156,,,
2001-05-14,283,167,,,
2001-05-15,300,172,,,
2001-05-16,333,189,,,
2001-05-17,311,211,,,
2001-05-18,311,200,,,
2001-05-19,278,206,,,
2001-05-20,356,206,,,
2001-05-21,233,178,,,
2001-05-28,317,244,,,
2001-05-29,317,211,,,
2001-05-30,328,233,,,
2001-05-31,317,178,,,
2001-06-01,311,178,,,
2001-06-02,333,178,,,
2001-06-03,333,217,,,
2001-06-04,328,222,,,
2001-06-05,317,217,,,
2001-06-06,306,189,,,
2001-06-07,300,200,,,
2001-06-08,289,200,,,
2001-06-09,322,194,,,
2001-06-10,339,183,,,
2001-06-11,222,222,,,
2001-06-17,339,244,,,
2001-06-18,333,200,,,
2001-06-19,328,194,,,
2001-06-20,344,239,,,
2001-06-21,361,217,,,
2001-06-22,317,194,,,
2001-06-23,311,200,,,
2001-06-24,333,200,,,
2001-06-25,322,211,,,
2001-06-26,339,194,,,
2001-06-27,356,222,,,
2001-06-28,350,222,,,
2001-06-29,350,222,,,
2001-06-30,344,228,,,
2001-07-01,278,211,,,
2001-07-02,322,200,,,
2001-07-03,322,189,,,
2001-07-04,344,189,,,
2001-07-05,350,217,,,
