DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2000-11-15,128,33,,,
2000-11-16,106,-6,,,
2000-11-17,67,-67,,,
2000-11-18,50,-6,,,
2000-11-19,128,-33,,,
2000-11-20,83,-33,,,
2000-11-21,172,-39,,,
2000-11-22,139,11,,,
2000-11-23,122,61,,,
2000-11-24,128,39,,,
2000-11-25,122,11,,,
2000-11-26,183,-22,,,
2000-11-27,150,6,,,
2000-11-28,150,-17,,,
2000-11-29,122,0,,,
2000-11-30,189,-22,,,
2000-12-01,111,6,,,
2000-12-02,22,-39,,,
2000-12-03,39,-22,,,
2000-12-04,67,-17,,,
2000-12-05,67,-39,,,
2000-12-06,111,6,,,
2000-12-07,200,-6,,,
2000-12-08,106,6,,,
2000-12-09,211,-22,,,
2000-12-10,172,17,,,
2000-12-11,-6,-78,,,
2000-12-12,-78,-89,,,
2000-12-13,61,-78,,,
2000-12-14,28,-72,,,
2000-12-15,194,0,,,
2000-12-16,83,-28,,,
2000-12-17,111,-83,,,
2000-12-18,117,-17,,,
2000-12-19,111,-67,,,
2000-12-20,167,-17,,,
2000-12-21,67,-72,,,
2000-12-22,111,-56,,,
2000-12-23,111,-17,,,
2000-12-24,-11,-44,,,
2000-12-25,-33,-56,,,
2000-12-26,-44,-72,,,
2000-12-27,0,-44,,,
2000-12-28,94,-89,,,
2000-12-29,61,-56,,,
2000-12-30,44,-89,,,
2000-12-31,-11,-44,,,
2001-01-01,-6,-50,,,
2001-01-02,-11,-56,,,
2001-01-03,150,-56,,,
2001-01-04,200,-17,,,
2001-01-05,167,17,,,
2001-01-06,167,-11,,,
2001-01-07,111,-6,,,
2001-01-08,150,-50,,,
2001-01-09,150,-39,,,
2001-01-10,67,39,,,
2001-01-11,133,17,,,
2001-01-12,117,-22,,,
2001-01-13,150,61,,,
2001-01-14,117,11,,,
2001-01-15,122,-44,,,
2001-01-16,50,0,,,
2001-01-17,-6,-22,,,
2001-01-18,61,-22,,,
2001-01-19,50,-44,,,
2001-01-20,100,-67,,,
2001-01-21,111,-33,,,
2001-01-22,161,-61,,,
2001-01-23,117,39,,,
2001-01-24,117,17,,,
2001-01-25,78,-50,,,
2001-01-26,161,17,,,
2001-01-27,17,-28,,,
2001-01-28,0,-6,,,
2001-01-29,100,-33,,,
2001-01-30,122,6,,,
2001-01-31,111,-33,,,
2001-02-01,94,-44,,,
2001-02-02,144,-61,,,
2001-02-03,183,-11,,,
2001-02-04,156,-11,,,
2001-02-05,217,-17,,,
2001-02-06,139,39,,,
2001-02-07,222,-17,,,
2001-02-08,200,22,,,
2001-02-09,17,-56,,,
2001-02-10,39,-100,,,
2001-02-11,106,-50,,,
2001-02-12,144,22,,,
2001-02-13,178,83,,,
2001-02-14,178,-6,,,
2001-02-15,33,-22,,,
2001-02-16,72,-6,,,
2001-02-17,89,-78,,,
2001-02-18,144,-28,,,
2001-02-19,267,39,,,
2001-02-20,228,56,,,
2001-02-21,61,0,,,
2001-02-22,100,-6,,,
2001-02-23,133,39,,,
2001-02-24,167,61,,,
2001-02-25,144,0,,,
2001-02-26,189,56,,,
2001-02-27,128,-33,,,
2001-02-28,-22,-50,,,
2001-03-01,172,-33,,,
2001-03-02,106,44,,,
2001-03-03,156,33,,,
2001-03-04,178,33,,,
2001-03-05,206,-6,,,
2001-03-06,194,61,,,
2001-03-07,172,50,,,
2001-03-08,94,50,,,
2001-03-09,150,56,,,
2001-03-10,122,44,,,
2001-03-11,211,83,,,
2001-03-12,172,39,,,
2001-03-13,217,11,,,
2001-03-14,222,94,,,
