DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-05-04,150,150,,,
2001-05-05,189,133,,,
2001-05-06,244,161,,,
2001-05-07,233,128,,,
2001-05-08,239,117,,,
2001-05-09,256,144,,,
2001-05-10,228,172,,,
2001-05-11,239,144,,,
2001-05-12,211,122,,,
2001-05-13,239,128,,,
2001-05-14,239,139,,,
2001-05-15,267,156,,,
2001-05-16,294,211,,,
2001-05-17,306,233,,,
2001-05-18,306,217,,,
2001-05-19,256,161,,,
2001-05-20,244,172,,,
2001-05-21,217,89,,,
2001-05-22,244,83,,,
2001-05-23,294,122,,,
2001-05-24,283,189,,,
2001-05-25,278,150,,,
2001-05-26,333,167,,,
2001-05-27,333,217,,,
2001-05-28,311,217,,,
2001-05-29,300,211,,,
2001-05-30,311,172,,,
2001-05-31,289,167,,,
2001-06-01,328,178,,,
2001-06-02,344,244,,,
2001-06-03,311,228,,,
2001-06-04,306,228,,,
2001-06-05,306,211,,,
2001-06-06,322,222,,,
2001-06-07,294,200,,,
2001-06-08,278,189,,,
2001-06-09,267,178,,,
2001-06-10,328,200,,,
2001-06-11,350,250,,,
2001-06-12,311,222,,,
2001-06-13,306,194,,,
2001-06-14,272,194,,,
2001-06-15,300,156,,,
2001-06-16,300,194,,,
2001-06-17,283,156,,,
2001-06-18,311,194,,,
2001-06-19,328,211,,,
2001-06-20,311,189,,,
2001-06-21,283,172,,,
2001-06-22,289,172,,,
2001-06-23,328,183,,,
2001-06-24,311,206,,,
2001-06-25,294,178,,,
2001-06-26,283,183,,,
2001-06-27,278,172,,,
2001-06-28,294,194,,,
2001-06-29,322,183,,,
2001-06-30,317,222,,,
2001-07-01,317,194,,,
2001-07-02,278,178,,,
2001-07-03,272,139,,,
2001-07-04,283,156,,,
2001-07-05,294,183,,,
2001-07-06,306,206,,,
2001-07-07,306,200,,,
2001-07-08,311,194,,,
2001-07-09,317,178,,,
2001-07-10,311,211,,,
2001-07-11,328,217,,,
2001-07-12,333,206,,,
2001-07-13,333,217,,,
2001-07-14,333,228,,,
2001-07-15,344,239,,,
2001-07-16,333,250,,,
2001-07-17,328,211,,,
2001-07-18,328,211,,,
2001-07-19,306,183,,,
2001-07-20,283,200,,,
2001-07-21,317,206,,,
2001-07-22,328,222,,,
2001-07-23,322,206,,,
2001-07-24,322,206,,,
2001-07-25,311,217,,,
2001-07-26,300,206,,,
2001-07-27,300,194,,,
2001-07-28,272,183,,,
2001-07-29,322,200,,,
2001-07-30,306,211,,,
2001-07-31,306,206,,,
2001-08-01,300,211,,,
2001-08-02,311,200,,,
2001-08-03,311,206,,,
2001-08-04,294,194,,,
2001-08-05,306,206,,,
2001-08-06,306,217,,,
2001-08-07,300,178,,,
2001-08-08,294,200,,,
2001-08-09,306,189,,,
2001-08-10,267,183,,,
2001-08-11,289,200,,,
2001-08-12,311,194,,,
2001-08-13,294,200,,,
2001-08-14,294,189,,,
2001-08-15,289,172,,,
2001-08-16,244,172,,,
2001-08-17,261,161,,,
2001-08-18,256,183,,,
2001-08-19,300,183,,,
2001-08-20,300,200,,,
2001-08-21,289,189,,,
2001-08-22,311,183,,,
2001-08-23,328,217,,,
2001-08-24,333,233,,,
2001-08-25,322,172,,,
2001-08-26,244,150,,,
2001-08-27,267,156,,,
2001-08-28,267,167,,,
2001-08-29,250,161,,,
2001-08-30,289,161,,,
2001-08-31,244,156,,,
2001-09-01,267,156,,,
2001-09-02,311,189,,,
2001-09-03,317,189,,,
2001-09-04,267,156,,,
2001-09-05,272,122,,,
2001-09-06,317,172,,,
2001-09-07,294,217,,,
2001-09-08,289,172,,,
2001-09-09,217,122,,,
2001-09-10,228,144,,,
2001-09-11,250,139,,,
2001-09-12,261,161,,,
2001-09-13,261,183,,,
2001-09-14,233,167,,,
2001-09-15,250,167,,,
2001-09-16,261,156,,,
2001-09-17,278,150,,,
2001-09-18,294,211,,,
2001-09-19,306,172,,,
2001-09-20,317,217,,,
2001-09-21,272,144,,,
2001-09-22,256,133,,,
2001-09-23,222,144,,,
2001-09-24,211,128,,,
2001-09-25,206,106,,,
2001-09-26,250,94,,,
2001-09-27,278,178,,,
2001-09-28,278,178,,,
2001-09-29,250,156,,,
2001-09-30,194,117,,,
2001-10-01,161,117,,,
2001-10-02,233,133,,,
2001-10-03,256,144,,,
2001-10-04,256,172,,,
2001-10-05,194,72,,,
2001-10-06,206,61,,,
2001-10-07,244,133,,,
2001-10-08,239,150,,,
2001-10-09,217,167,,,
2001-10-10,239,94,,,
2001-10-11,206,72,,,
2001-10-12,206,56,,,
2001-10-13,194,44,,,
2001-10-14,233,128,,,
2001-10-15,239,78,,,
2001-10-16,178,33,,,
2001-10-17,244,133,,,
2001-10-18,267,167,,,
2001-10-19,256,139,,,
2001-10-20,267,122,,,
2001-10-21,272,150,,,
2001-10-22,250,194,,,
2001-10-23,222,178,,,
2001-10-24,239,144,,,
2001-10-25,228,122,,,
2001-10-26,217,111,,,
2001-10-27,200,100,,,
2001-10-28,233,133,,,
2001-10-29,244,144,,,
2001-10-30,244,156,,,
2001-10-31,244,150,,,
2001-11-01,228,167,,,
2001-11-02,228,156,,,
2001-11-03,222,139,,,
2001-11-04,183,122,,,
2001-11-05,172,100,,,
2001-11-06,183,106,,,
2001-11-07,200,117,,,
2001-11-08,167,44,,,
2001-11-09,106,22,,,
2001-11-10,167,67,,,
2001-11-11,206,94,,,
2001-11-12,217,117,,,
2001-11-13,217,133,,,
2001-11-14,156,72,,,
2001-11-15,111,72,,,
2001-11-16,106,83,,,
2001-11-17,156,61,,,
2001-11-18,183,83,,,
2001-11-19,144,17,,,
2001-11-20,111,17,,,
2001-11-21,150,72,,,
2001-11-22,167,72,,,
2001-11-23,128,89,,,
2001-11-24,133,44,,,
2001-11-25,172,117,,,
2001-11-26,117,67,,,
2001-11-27,67,-67,,,
2001-11-28,-50,-72,,,
2001-11-29,94,-67,,,
2001-11-30,111,67,,,
2001-12-01,144,72,,,
2001-12-02,167,67,,,
2001-12-03,183,100,,,
2001-12-04,200,100,,,
2001-12-05,133,50,,,
2001-12-06,144,50,,,
2001-12-07,167,44,,,
2001-12-08,56,-17,,,
2001-12-09,72,-28,,,
2001-12-10,100,39,,,
2001-12-11,133,61,,,
2001-12-12,67,-6,,,
2001-12-13,33,-17,,,
2001-12-14,100,-17,,,
2001-12-15,128,67,,,
2001-12-16,67,17,,,
2001-12-17,156,0,,,
2001-12-18,178,28,,,
2001-12-19,111,11,,,
2001-12-20,156,67,,,
2001-12-21,172,72,,,
2001-12-22,83,50,,,
2001-12-23,78,-11,,,
2001-12-24,-11,-56,,,
