DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2000-12-18,106,22,,,
2000-12-19,111,-11,,,
2000-12-20,189,6,,,
2000-12-21,83,-22,,,
2000-12-22,94,-17,,,
2000-12-23,150,56,,,
2000-12-24,44,17,,,
2000-12-25,33,0,,,
2000-12-26,0,-44,,,
2000-12-27,-17,-39,,,
2000-12-28,72,-56,,,
2000-12-29,61,-17,,,
2000-12-30,72,-50,,,
2000-12-31,0,-33,,,
2001-01-01,-33,-39,,,
2001-01-02,-17,-39,,,
2001-01-03,139,-44,,,
2001-01-04,200,28,,,
2001-01-05,178,11,,,
2001-01-06,211,17,,,
2001-01-07,128,22,,,
2001-01-08,144,-6,,,
2001-01-09,156,11,,,
2001-01-10,89,33,,,
2001-01-11,78,33,,,
2001-01-12,61,22,,,
2001-01-13,183,50,,,
2001-01-14,128,22,,,
2001-01-15,122,0,,,
2001-01-16,83,28,,,
2001-01-17,33,0,,,
2001-01-18,11,-11,,,
2001-01-19,50,-28,,,
2001-01-20,67,-56,,,
2001-01-21,78,0,,,
2001-01-22,139,-28,,,
2001-01-23,150,39,,,
2001-01-24,122,33,,,
2001-01-25,122,-6,,,
2001-01-26,178,78,,,
2001-01-27,67,-6,,,
2001-01-28,50,22,,,
2001-01-29,150,17,,,
2001-01-30,139,44,,,
2001-01-31,89,11,,,
2001-02-01,128,44,,,
2001-02-02,128,-22,,,
2001-02-03,172,39,,,
2001-02-04,156,28,,,
2001-02-05,200,6,,,
2001-02-06,150,72,,,
2001-02-07,228,56,,,
2001-02-08,222,178,,,
2001-02-09,61,-22,,,
2001-02-10,39,-50,,,
2001-02-11,89,11,,,
2001-02-12,111,61,,,
2001-02-13,233,83,,,
2001-02-14,217,83,,,
2001-02-15,72,6,,,
2001-02-16,39,-6,,,
2001-02-17,72,-39,,,
2001-02-18,128,-17,,,
2001-02-19,200,50,,,
2001-02-20,261,94,,,
2001-02-21,100,28,,,
2001-02-22,83,-11,,,
2001-02-23,167,78,,,
2001-02-24,200,128,,,
2001-02-25,183,56,,,
2001-02-26,200,72,,,
2001-02-27,150,6,,,
2001-02-28,0,-22,,,
2001-03-01,133,-11,,,
2001-03-02,117,72,,,
2001-03-03,133,50,,,
2001-03-04,161,39,,,
2001-03-05,183,28,,,
2001-03-06,200,94,,,
2001-03-07,211,67,,,
2001-03-08,128,78,,,
2001-03-09,161,44,,,
2001-03-10,167,50,,,
2001-03-11,217,122,,,
2001-03-12,172,94,,,
2001-03-13,206,50,,,
2001-03-14,206,117,,,
2001-03-15,161,44,,,
2001-03-16,128,0,,,
2001-03-17,122,61,,,
2001-03-18,78,44,,,
2001-03-19,111,33,,,
2001-03-20,178,11,,,
2001-03-21,250,67,,,
2001-03-22,256,111,,,
2001-03-23,256,89,,,
2001-03-24,167,44,,,
2001-03-25,106,28,,,
2001-03-26,72,28,,,
2001-03-27,50,28,,,
2001-03-28,83,44,,,
2001-03-29,133,56,,,
2001-03-30,172,61,,,
2001-03-31,194,78,,,
2001-04-01,250,72,,,
2001-04-02,283,172,,,
2001-04-03,278,178,,,
2001-04-04,267,150,,,
2001-04-05,244,206,,,
2001-04-06,250,194,,,
2001-04-07,261,178,,,
2001-04-08,294,183,,,
2001-04-09,272,167,,,
2001-04-10,250,194,,,
2001-04-11,239,117,,,
2001-04-12,194,94,,,
2001-04-13,267,94,,,
2001-04-14,272,194,,,
2001-04-15,272,161,,,
2001-04-16,256,128,,,
2001-04-17,111,78,,,
2001-04-18,194,61,,,
2001-04-19,256,122,,,
2001-04-20,272,189,,,
2001-04-21,233,200,,,
2001-04-22,278,167,,,
2001-04-23,206,111,,,
2001-04-24,222,61,,,
2001-04-25,256,67,,,
2001-04-26,272,133,,,
2001-04-27,261,139,,,
2001-04-28,261,133,,,
2001-04-29,267,128,,,
2001-04-30,283,156,,,
2001-05-01,278,178,,,
2001-05-02,300,189,,,
2001-05-03,228,200,,,
2001-05-04,256,156,,,
2001-05-05,211,150,,,
2001-05-06,306,194,,,
2001-05-07,267,161,,,
2001-05-08,278,144,,,
2001-05-09,283,178,,,
2001-05-10,294,178,,,
2001-05-11,289,189,,,
2001-05-12,278,178,,,
2001-05-13,289,167,,,
2001-05-14,300,189,,,
2001-05-15,311,194,,,
2001-05-16,344,200,,,
2001-05-17,344,222,,,
2001-05-18,311,194,,,
2001-05-19,311,217,,,
2001-05-20,367,211,,,
2001-05-21,239,144,,,
2001-05-28,294,244,,,
2001-05-29,311,222,,,
2001-05-30,328,233,,,
2001-05-31,289,189,,,
2001-06-01,278,172,,,
2001-06-02,367,178,,,
2001-06-03,356,233,,,
2001-06-04,350,233,,,
2001-06-05,328,222,,,
2001-06-06,311,189,,,
2001-06-07,322,206,,,
2001-06-08,322,206,,,
2001-06-09,333,200,,,
2001-06-10,344,200,,,
2001-06-11,244,244,,,
2001-06-17,356,261,,,
2001-06-18,344,222,,,
2001-06-19,344,222,,,
2001-06-20,350,222,,,
2001-06-21,350,228,,,
2001-06-22,322,217,,,
2001-06-23,294,200,,,
2001-06-24,344,206,,,
2001-06-25,339,217,,,
2001-06-26,350,217,,,
2001-06-27,367,228,,,
2001-06-28,378,250,,,
2001-06-29,367,250,,,
2001-06-30,317,222,,,
2001-07-01,317,228,,,
2001-07-02,322,211,,,
2001-07-03,356,211,,,
2001-07-04,372,239,,,
2001-07-05,378,250,,,
2001-07-06,383,261,,,
2001-07-07,383,250,,,
2001-07-08,378,239,,,
2001-07-09,394,239,,,
2001-07-10,406,261,,,
2001-07-11,394,256,,,
2001-07-12,406,256,,,
2001-07-13,417,267,,,
2001-07-14,372,261,,,
2001-07-15,400,256,,,
2001-07-16,406,272,,,
2001-07-17,383,261,,,
2001-07-18,389,267,,,
2001-07-19,383,261,,,
2001-07-20,383,256,,,
2001-07-21,400,261,,,
2001-07-22,406,256,,,
2001-07-23,394,256,,,
2001-07-24,383,261,,,
2001-07-25,383,261,,,
2001-07-26,372,261,,,
2001-07-27,372,256,,,
2001-07-28,372,261,,,
2001-07-29,394,256,,,
2001-07-30,389,261,,,
2001-07-31,383,261,,,
2001-08-01,383,256,,,
2001-08-02,372,256,,,
2001-08-03,356,222,,,
2001-08-04,378,228,,,
2001-08-05,400,228,,,
2001-08-06,383,244,,,
2001-08-07,344,244,,,
2001-08-08,372,244,,,
2001-08-09,394,256,,,
2001-08-10,361,244,,,
2001-08-11,361,239,,,
2001-08-12,389,256,,,
2001-08-13,350,256,,,
2001-08-14,356,256,,,
2001-08-15,400,233,,,
2001-08-16,317,222,,,
2001-08-17,289,228,,,
2001-08-18,350,217,,,
2001-08-19,372,194,,,
2001-08-20,378,250,,,
2001-08-21,367,256,,,
2001-08-22,367,256,,,
2001-08-23,372,250,,,
2001-08-24,378,261,,,
2001-08-25,378,256,,,
2001-08-26,300,211,,,
2001-08-27,317,217,,,
2001-08-28,283,206,,,
2001-08-29,300,211,,,
2001-08-30,278,217,,,
2001-08-31,261,217,,,
2001-09-01,300,211,,,
2001-09-02,333,206,,,
2001-09-03,344,217,,,
2001-09-04,306,206,,,
2001-09-05,283,211,,,
2001-09-06,328,200,,,
2001-09-07,350,239,,,
2001-09-08,333,194,,,
2001-09-09,267,172,,,
2001-09-10,294,167,,,
2001-09-11,300,178,,,
2001-09-12,322,178,,,
2001-09-13,328,183,,,
2001-09-14,328,206,,,
2001-09-15,278,217,,,
2001-09-16,322,211,,,
2001-09-17,328,206,,,
2001-09-18,333,217,,,
2001-09-19,294,200,,,
2001-09-20,317,183,,,
2001-09-21,311,183,,,
2001-09-22,311,200,,,
2001-09-23,306,178,,,
2001-09-24,222,117,,,
2001-09-25,239,94,,,
2001-09-26,261,133,,,
2001-09-27,289,144,,,
2001-09-28,289,144,,,
2001-09-29,272,144,,,
2001-09-30,256,117,,,
2001-10-01,267,100,,,
2001-10-02,283,150,,,
2001-10-03,283,178,,,
2001-10-04,300,183,,,
2001-10-05,228,117,,,
2001-10-06,189,61,,,
2001-10-07,239,100,,,
2001-10-08,244,139,,,
2001-10-09,283,200,,,
2001-10-10,256,150,,,
2001-10-11,228,128,,,
2001-10-12,272,133,,,
2001-10-13,211,94,,,
2001-10-14,278,89,,,
2001-10-15,244,94,,,
2001-10-16,189,44,,,
2001-10-17,222,61,,,
2001-10-18,272,111,,,
2001-10-19,233,133,,,
2001-10-20,272,139,,,
2001-10-21,272,161,,,
2001-10-22,294,183,,,
2001-10-23,328,206,,,
2001-10-24,233,111,,,
2001-10-25,244,56,,,
2001-10-26,239,100,,,
2001-10-27,233,122,,,
2001-10-28,256,117,,,
2001-10-29,250,122,,,
2001-10-30,250,100,,,
2001-10-31,239,139,,,
2001-11-01,289,172,,,
2001-11-02,283,189,,,
2001-11-03,278,161,,,
2001-11-04,261,139,,,
2001-11-05,239,139,,,
2001-11-06,261,128,,,
2001-11-07,250,128,,,
2001-11-08,217,128,,,
2001-11-09,167,100,,,
2001-11-10,211,100,,,
2001-11-11,200,144,,,
2001-11-12,206,150,,,
2001-11-13,228,156,,,
2001-11-14,211,178,,,
2001-11-15,172,150,,,
2001-11-16,194,150,,,
2001-11-17,156,139,,,
2001-11-18,239,133,,,
2001-11-19,172,56,,,
2001-11-20,128,-11,,,
2001-11-21,183,28,,,
2001-11-22,217,83,,,
2001-11-23,250,128,,,
2001-11-24,194,94,,,
2001-11-25,233,67,,,
2001-11-26,189,100,,,
2001-11-27,83,-22,,,
2001-11-28,-17,-50,,,
2001-11-29,61,-39,,,
2001-11-30,194,28,,,
2001-12-01,211,33,,,
2001-12-02,222,100,,,
2001-12-03,194,144,,,
2001-12-04,233,156,,,
2001-12-05,233,139,,,
2001-12-06,217,106,,,
2001-12-07,228,111,,,
2001-12-08,117,39,,,
2001-12-09,111,-22,,,
2001-12-10,156,0,,,
2001-12-11,94,56,,,
2001-12-12,194,94,,,
2001-12-13,78,11,,,
2001-12-14,167,6,,,
2001-12-15,106,78,,,
2001-12-16,133,72,,,
2001-12-17,161,22,,,
2001-12-18,206,28,,,
2001-12-19,111,28,,,
2001-12-20,189,0,,,
2001-12-21,172,33,,,
2001-12-22,161,56,,,
2001-12-23,100,-11,,,
2001-12-24,78,-28,,,
2001-12-25,128,-39,,,
2001-12-26,106,-17,,,
2001-12-27,144,6,,,
2001-12-28,167,-6,,,
2001-12-29,61,-17,,,
2001-12-30,22,-28,,,
2001-12-31,22,-33,,,
2002-01-01,44,-11,,,
2002-01-02,6,-67,,,
2002-01-03,72,-72,,,
2002-01-04,111,-17,,,
2002-01-05,100,39,,,
2002-01-06,139,6,,,
2002-01-07,144,-11,,,
2002-01-08,228,67,,,
2002-01-09,250,89,,,
2002-01-10,167,89,,,
2002-01-11,133,11,,,
2002-01-12,139,11,,,
2002-01-13,206,44,,,
2002-01-14,144,17,,,
2002-01-15,183,28,,,
2002-01-16,200,44,,,
2002-01-17,72,17,,,
2002-01-18,39,6,,,
2002-01-19,100,11,,,
2002-01-20,194,28,,,
2002-01-21,200,0,,,
2002-01-22,233,100,,,
2002-01-23,244,72,,,
2002-01-24,100,11,,,
2002-01-25,144,-17,,,
2002-01-26,200,39,,,
2002-01-27,228,61,,,
2002-01-28,244,111,,,
2002-01-29,239,167,,,
2002-01-30,106,17,,,
2002-01-31,78,-6,,,
2002-02-01,94,-39,,,
2002-02-02,83,-28,,,
2002-02-03,83,50,,,
2002-02-04,100,33,,,
2002-02-05,39,-6,,,
2002-02-06,50,-11,,,
2002-02-07,111,-22,,,
2002-02-08,178,33,,,
2002-02-10,78,-6,,,
2002-02-11,139,-50,,,
2002-02-12,167,11,,,
2002-02-13,128,22,,,
2002-02-14,178,-11,,,
2002-02-15,133,50,,,
2002-02-16,189,6,,,
2002-02-17,189,28,,,
