DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-11-21,111,111,,,
2001-11-22,222,111,,,
2001-11-23,267,178,,,
2001-11-24,217,100,,,
2001-11-25,233,61,,,
2001-11-26,261,144,,,
2001-11-27,144,39,,,
2001-11-28,50,17,,,
2001-11-29,22,0,,,
2001-11-30,172,0,,,
2001-12-01,206,50,,,
2001-12-02,183,100,,,
2001-12-03,228,111,,,
2001-12-04,250,156,,,
2001-12-05,256,183,,,
2001-12-06,261,189,,,
2001-12-07,244,189,,,
2001-12-08,200,78,,,
2001-12-09,128,33,,,
2001-12-10,150,17,,,
2001-12-11,139,33,,,
2001-12-12,211,144,,,
2001-12-13,167,67,,,
2001-12-14,156,22,,,
2001-12-15,178,78,,,
2001-12-16,244,139,,,
2001-12-17,161,56,,,
2001-12-18,178,33,,,
2001-12-19,150,44,,,
2001-12-20,167,11,,,
2001-12-21,183,17,,,
2001-12-22,194,111,,,
2001-12-23,144,39,,,
2001-12-24,117,-17,,,
2001-12-25,106,11,,,
2001-12-26,89,-6,,,
2001-12-27,172,-6,,,
2001-12-28,189,56,,,
2001-12-29,139,28,,,
2001-12-30,83,0,,,
2001-12-31,72,0,,,
2002-01-01,61,-6,,,
2002-01-02,50,-33,,,
2002-01-03,44,-72,,,
2002-01-04,117,-56,,,
2002-01-05,78,50,,,
2002-01-06,150,28,,,
2002-01-07,100,-6,,,
2002-01-08,178,-6,,,
2002-01-09,222,72,,,
2002-01-10,217,133,,,
2002-01-11,133,94,,,
2002-01-12,167,39,,,
2002-01-13,183,6,,,
2002-01-14,183,67,,,
2002-01-15,178,28,,,
2002-01-16,200,39,,,
2002-01-17,206,89,,,
2002-01-18,89,61,,,
2002-01-19,111,6,,,
2002-01-20,106,-6,,,
2002-01-21,194,61,,,
2002-01-22,206,78,,,
2002-01-23,250,200,,,
2002-01-24,206,50,,,
2002-01-25,144,17,,,
2002-01-26,161,-11,,,
2002-01-27,222,39,,,
2002-01-28,228,117,,,
2002-01-29,256,189,,,
2002-01-30,272,189,,,
2002-01-31,217,39,,,
2002-02-01,89,17,,,
2002-02-02,117,-17,,,
2002-02-03,122,67,,,
2002-02-04,133,72,,,
2002-02-05,72,22,,,
2002-02-06,33,17,,,
2002-02-07,67,-6,,,
2002-02-08,128,-11,,,
2002-02-10,89,39,,,
2002-02-11,128,0,,,
2002-02-12,161,0,,,
2002-02-13,183,50,,,
2002-02-14,183,28,,,
2002-02-15,206,56,,,
2002-02-16,178,17,,,
2002-02-17,200,28,,,
2002-02-18,200,67,,,
2002-02-19,189,139,,,
2002-02-20,222,100,,,
2002-02-21,228,89,,,
2002-02-22,167,50,,,
2002-02-23,211,11,,,
2002-02-24,239,67,,,
2002-02-25,222,56,,,
2002-02-26,56,-33,,,
2002-02-27,83,-67,,,
2002-02-28,150,-33,,,
2002-03-01,122,89,,,
2002-03-02,122,-28,,,
2002-03-03,50,-56,,,
2002-03-04,128,-61,,,
2002-03-05,178,-11,,,
2002-03-06,228,83,,,
2002-03-07,239,150,,,
2002-03-08,233,161,,,
2002-03-09,206,56,,,
2002-03-10,156,11,,,
2002-03-11,178,94,,,
2002-03-12,178,78,,,
2002-03-13,261,56,,,
2002-03-14,267,150,,,
2002-03-15,278,139,,,
2002-03-16,178,117,,,
2002-03-17,250,133,,,
2002-03-18,278,156,,,
2002-03-19,272,172,,,
2002-03-20,156,122,,,
2002-03-21,206,72,,,
2002-03-22,128,22,,,
2002-03-23,211,28,,,
2002-03-24,228,117,,,
2002-03-25,206,67,,,
2002-03-26,156,50,,,
2002-03-27,228,28,,,
2002-03-28,250,100,,,
2002-03-29,261,206,,,
2002-03-30,228,150,,,
2002-03-31,211,122,,,
2002-04-01,267,100,,,
2002-04-02,267,144,,,
2002-04-03,172,111,,,
2002-04-04,156,94,,,
2002-04-05,211,106,,,
2002-04-06,217,100,,,
2002-04-07,222,133,,,
2002-04-08,228,144,,,
2002-04-09,217,139,,,
2002-04-10,250,144,,,
