DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1997-03-04,94,67,,,
1997-03-05,94,61,,,
1997-03-06,150,56,,,
1997-03-07,78,11,,,
1997-03-08,161,50,,,
1997-03-09,72,6,,,
1997-03-10,156,67,,,
1997-03-11,183,44,,,
1997-03-12,100,28,,,
1997-03-13,72,33,,,
1997-03-14,133,61,,,
1997-03-15,144,33,,,
1997-03-16,61,-6,,,
1997-03-17,100,-22,,,
1997-03-18,161,61,,,
1997-03-19,61,50,,,
1997-03-20,106,50,,,
1997-03-21,128,39,,,
1997-03-22,217,61,,,
1997-03-23,106,28,,,
1997-03-24,61,11,,,
1997-03-25,128,28,,,
1997-03-26,150,83,,,
1997-03-27,156,33,,,
1997-03-28,178,89,,,
1997-03-29,172,128,,,
1997-03-30,217,117,,,
1997-03-31,128,17,,,
1997-04-01,117,17,,,
1997-04-02,167,50,,,
1997-04-03,172,50,,,
1997-04-04,244,117,,,
1997-04-05,144,100,,,
1997-04-06,178,117,,,
1997-04-07,256,117,,,
1997-04-08,167,83,,,
1997-04-09,117,28,,,
1997-04-10,111,6,,,
1997-04-11,122,44,,,
1997-04-12,150,106,,,
1997-04-13,211,89,,,
1997-04-14,156,56,,,
1997-04-15,122,61,,,
1997-04-16,156,72,,,
1997-04-17,172,83,,,
1997-04-18,94,61,,,
1997-04-19,161,61,,,
1997-04-20,178,78,,,
1997-04-21,144,78,,,
1997-04-22,128,72,,,
1997-04-23,100,72,,,
1997-04-24,133,78,,,
1997-04-25,189,83,,,
1997-04-26,172,83,,,
1997-04-27,183,106,,,
1997-04-28,189,128,,,
1997-04-29,161,89,,,
1997-04-30,167,78,,,
1997-05-01,194,122,,,
1997-05-02,200,111,,,
1997-05-03,183,117,,,
1997-05-04,194,128,,,
1997-05-05,183,111,,,
1997-05-06,250,128,,,
1997-05-07,189,106,,,
1997-05-08,156,78,,,
1997-05-09,239,128,,,
1997-05-10,156,106,,,
1997-05-11,200,94,,,
1997-05-12,194,128,,,
1997-05-13,172,111,,,
1997-05-14,183,100,,,
1997-05-15,250,139,,,
1997-05-16,194,94,,,
1997-05-17,206,94,,,
1997-05-18,194,150,,,
1997-05-19,289,172,,,
1997-05-20,250,128,,,
1997-05-21,206,139,,,
1997-05-22,200,111,,,
1997-05-23,217,117,,,
1997-05-24,211,133,,,
1997-05-25,228,172,,,
1997-05-26,206,100,,,
1997-05-27,167,106,,,
1997-05-28,167,100,,,
1997-05-29,167,67,,,
1997-05-30,200,133,,,
1997-05-31,228,156,,,
1997-06-01,194,150,,,
1997-06-02,172,144,,,
1997-06-03,144,122,,,
1997-06-04,161,122,,,
1997-06-05,178,106,,,
1997-06-06,161,111,,,
1997-06-07,139,117,,,
1997-06-08,172,100,,,
1997-06-09,194,89,,,
