DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1997-03-05,56,39,,,
1997-03-06,100,39,,,
1997-03-20,139,39,,,
1997-03-21,217,-6,,,
1997-03-22,267,50,,,
1997-03-23,122,-17,,,
1997-03-24,122,-17,,,
1997-03-25,178,-22,,,
1997-03-26,200,28,,,
1997-03-27,228,-11,,,
1997-03-28,222,50,,,
1997-03-29,272,106,,,
1997-03-30,244,67,,,
1997-03-31,161,28,,,
1997-04-01,172,33,,,
1997-04-02,206,-6,,,
1997-04-03,228,-6,,,
1997-04-04,283,39,,,
1997-04-05,222,94,,,
1997-04-06,228,106,,,
1997-04-07,267,100,,,
1997-04-08,194,50,,,
1997-04-09,122,6,,,
1997-04-10,111,-17,,,
1997-04-11,206,-22,,,
1997-04-12,172,111,,,
1997-04-13,244,94,,,
1997-04-14,156,28,,,
1997-04-15,189,-11,,,
1997-04-16,228,0,,,
1997-04-17,161,56,,,
1997-04-18,144,33,,,
1997-04-19,194,6,,,
1997-04-20,211,-6,,,
1997-04-21,144,22,,,
1997-04-22,122,61,,,
1997-04-23,94,67,,,
1997-04-24,167,61,,,
1997-04-25,200,39,,,
1997-04-26,222,28,,,
1997-04-27,172,61,,,
1997-04-28,167,100,,,
1997-04-29,206,61,,,
1997-04-30,250,33,,,
1997-05-01,272,133,,,
1997-05-02,239,50,,,
1997-05-03,267,133,,,
1997-05-04,200,61,,,
1997-05-05,228,39,,,
1997-05-06,267,78,,,
1997-05-07,233,56,,,
1997-05-08,228,22,,,
1997-05-09,261,106,,,
1997-05-10,172,56,,,
1997-05-11,228,11,,,
1997-05-12,256,94,,,
1997-05-13,206,67,,,
1997-05-14,233,44,,,
1997-05-15,267,128,,,
1997-05-16,211,56,,,
1997-05-17,261,22,,,
1997-05-18,317,78,,,
1997-05-19,333,172,,,
1997-05-20,267,161,,,
1997-05-21,244,61,,,
1997-05-22,222,56,,,
1997-05-23,244,33,,,
1997-05-24,294,83,,,
1997-05-25,256,183,,,
1997-05-26,206,100,,,
1997-05-27,217,78,,,
1997-05-28,206,39,,,
1997-05-29,228,17,,,
1997-05-30,261,122,,,
1997-05-31,300,133,,,
1997-06-01,272,172,,,
1997-06-02,256,150,,,
1997-06-03,150,106,,,
1997-06-04,228,72,,,
1997-06-05,233,50,,,
1997-06-06,194,56,,,
1997-06-07,161,117,,,
1997-06-08,239,89,,,
1997-06-09,256,61,,,
1997-06-10,306,72,,,
1997-06-11,283,89,,,
1997-06-12,300,172,,,
1997-06-13,300,194,,,
1997-06-14,272,167,,,
1997-06-15,278,122,,,
1997-06-16,289,89,,,
1997-06-17,317,139,,,
1997-06-18,339,206,,,
1997-06-19,317,161,,,
1997-06-20,339,156,,,
1997-06-21,344,194,,,
1997-06-22,350,211,,,
1997-06-23,344,172,,,
1997-06-24,356,161,,,
1997-06-25,367,194,,,
1997-06-26,372,217,,,
1997-06-27,317,172,,,
1997-06-28,317,144,,,
1997-06-29,306,117,,,
1997-06-30,294,144,,,
1997-07-01,289,194,,,
1997-07-02,306,200,,,
1997-07-03,356,206,,,
1997-07-04,361,161,,,
1997-07-05,272,172,,,
1997-07-06,294,156,,,
1997-07-07,317,172,,,
1997-07-08,333,178,,,
1997-07-09,328,194,,,
1997-07-10,289,156,,,
1997-07-11,317,133,,,
1997-07-12,322,128,,,
1997-07-13,339,167,,,
1997-07-14,356,167,,,
1997-07-15,378,200,,,
1997-07-16,361,206,,,
1997-07-17,339,200,,,
1997-07-18,361,200,,,
1997-07-19,350,206,,,
1997-07-20,261,211,,,
1997-07-21,328,206,,,
1997-07-22,339,217,,,
1997-07-23,272,217,,,
1997-07-24,233,183,,,
1997-07-25,267,178,,,
1997-07-26,322,172,,,
1997-07-27,344,228,,,
1997-07-28,356,233,,,
1997-07-29,317,172,,,
1997-07-30,272,139,,,
1997-07-31,289,117,,,
1997-08-01,306,117,,,
1997-08-02,328,144,,,
1997-08-03,328,178,,,
1997-08-04,328,183,,,
1997-08-05,283,161,,,
1997-08-06,289,144,,,
1997-08-07,294,150,,,
1997-08-08,311,128,,,
1997-08-09,306,139,,,
1997-08-10,306,156,,,
1997-08-11,317,167,,,
1997-08-12,344,200,,,
1997-08-13,344,222,,,
1997-08-14,317,217,,,
1997-08-15,339,217,,,
1997-08-16,372,244,,,
1997-08-17,372,244,,,
1997-08-18,333,194,,,
1997-08-19,289,167,,,
1997-08-20,244,189,,,
1997-08-21,317,172,,,
1997-08-22,289,128,,,
1997-08-23,272,106,,,
1997-08-24,294,106,,,
1997-08-25,283,111,,,
1997-08-26,300,139,,,
1997-08-27,306,128,,,
1997-08-28,339,161,,,
1997-08-29,311,150,,,
1997-08-30,317,133,,,
1997-08-31,311,144,,,
1997-09-01,311,172,,,
1997-09-02,328,178,,,
1997-09-03,289,144,,,
1997-09-04,244,72,,,
1997-09-05,278,61,,,
1997-09-06,311,89,,,
1997-09-07,322,139,,,
1997-09-08,328,150,,,
1997-09-09,283,189,,,
1997-09-10,294,194,,,
1997-09-11,272,183,,,
1997-09-12,306,172,,,
1997-09-13,289,133,,,
1997-09-14,289,122,,,
1997-09-15,250,156,,,
1997-09-16,294,156,,,
1997-09-17,300,139,,,
1997-09-18,261,172,,,
1997-09-19,322,139,,,
1997-09-20,350,183,,,
1997-09-21,239,78,,,
1997-09-22,244,50,,,
1997-09-23,289,94,,,
1997-09-24,178,133,,,
1997-09-25,178,128,,,
1997-09-26,278,128,,,
1997-09-27,261,94,,,
1997-09-28,250,178,,,
1997-09-29,261,150,,,
1997-09-30,289,117,,,
1997-10-01,244,89,,,
1997-10-02,194,44,,,
1997-10-03,233,17,,,
1997-10-04,289,89,,,
1997-10-05,333,122,,,
1997-10-06,333,139,,,
1997-10-07,322,122,,,
1997-10-08,300,139,,,
1997-10-09,306,133,,,
1997-10-10,317,183,,,
1997-10-11,272,89,,,
1997-10-12,250,67,,,
1997-10-13,283,83,,,
1997-10-14,289,139,,,
1997-10-15,133,89,,,
1997-10-16,128,111,,,
1997-10-17,139,106,,,
1997-10-18,128,106,,,
1997-10-19,133,72,,,
1997-10-20,211,44,,,
1997-10-21,183,28,,,
1997-10-22,172,0,,,
1997-10-23,139,-22,,,
1997-10-24,167,-6,,,
1997-10-25,244,122,,,
1997-10-26,150,111,,,
1997-10-27,200,78,,,
1997-10-28,139,-6,,,
1997-10-29,189,-11,,,
1997-10-30,206,0,,,
1997-10-31,183,28,,,
1997-11-01,206,144,,,
1997-11-02,200,50,,,
1997-11-03,200,39,,,
1997-11-04,156,28,,,
1997-11-05,139,-17,,,
1997-11-06,150,0,,,
1997-11-07,139,78,,,
1997-11-09,133,50,,,
1997-11-10,167,11,,,
1997-12-05,-20,-20,,,
1997-12-06,88,-39,,,
1997-12-07,80,-65,,,
1997-12-30,17,17,,,
1997-12-31,61,-22,,,
1998-01-01,33,-89,,,
1998-01-02,156,6,,,
1998-01-03,183,6,,,
1998-01-04,211,44,,,
1998-01-05,217,17,,,
1998-01-06,211,128,,,
1998-01-07,200,167,,,
1998-01-08,217,167,,,
1998-01-09,178,67,,,
1998-01-10,139,-17,,,
1998-01-11,128,-17,,,
1998-01-12,94,-17,,,
1998-01-13,133,28,,,
1998-01-14,50,-28,,,
1998-01-15,61,-17,,,
1998-01-16,56,33,,,
1998-01-17,61,17,,,
1998-01-18,78,-17,,,
1998-01-19,33,-6,,,
1998-01-20,72,-33,,,
1998-01-21,61,-56,,,
1998-01-22,72,-22,,,
1998-01-23,156,33,,,
1998-01-24,100,22,,,
1998-01-25,78,-22,,,
1998-01-26,100,-44,,,
1998-01-27,94,-22,,,
1998-01-28,94,33,,,
1998-01-29,150,-6,,,
1998-01-30,133,-11,,,
1998-01-31,78,-44,,,
1998-02-01,106,-56,,,
1998-02-02,-39,-56,,,
1998-03-08,83,83,,,
1998-03-09,150,83,,,
1998-03-10,128,78,,,
1998-03-11,83,39,,,
1998-03-12,106,28,,,
1998-03-13,128,-6,,,
1998-03-14,161,-28,,,
1998-03-15,150,-22,,,
1998-03-16,244,28,,,
1998-03-17,294,144,,,
1998-03-18,272,144,,,
1998-03-19,317,156,,,
1998-03-20,322,150,,,
1998-03-21,294,172,,,
1998-03-22,228,189,,,
1998-03-23,278,122,,,
1998-03-24,194,50,,,
1998-03-25,128,72,,,
1998-03-26,144,56,,,
1998-04-09,239,106,,,
1998-04-10,122,17,,,
1998-04-11,183,11,,,
1998-04-12,217,-11,,,
1998-04-13,228,-6,,,
1998-04-14,161,106,,,
1998-04-15,289,94,,,
1998-04-16,278,161,,,
1998-04-17,267,156,,,
1998-04-18,156,94,,,
1998-04-19,250,94,,,
1998-04-20,211,56,,,
1998-04-21,206,28,,,
1998-04-22,167,44,,,
1998-04-23,183,67,,,
1998-04-24,111,89,,,
1998-04-25,278,72,,,
1998-04-26,278,144,,,
1998-04-27,144,28,,,
1998-04-28,194,-6,,,
1998-04-29,228,22,,,
1998-04-30,256,122,,,
1998-05-01,183,156,,,
1998-05-02,233,106,,,
1998-05-03,289,106,,,
1998-05-04,233,133,,,
1998-05-05,239,106,,,
1998-05-06,261,83,,,
1998-05-07,267,106,,,
1998-05-08,189,133,,,
1998-05-09,194,144,,,
1998-05-10,222,144,,,
1998-05-11,161,117,,,
1998-05-12,144,117,,,
1998-05-14,256,67,,,
1998-05-15,306,44,,,
1998-05-16,333,111,,,
1998-05-17,306,161,,,
1998-05-18,311,139,,,
1998-05-19,333,117,,,
1998-05-20,306,161,,,
1998-05-21,311,150,,,
1998-05-22,267,133,,,
1998-05-23,189,106,,,
1998-05-24,239,89,,,
1998-05-25,322,161,,,
1998-05-26,300,189,,,
1998-05-27,244,172,,,
1998-05-28,278,167,,,
1998-05-29,294,161,,,
1998-05-30,333,194,,,
1998-05-31,311,200,,,
1998-06-01,294,228,,,
1998-06-02,300,233,,,
1998-06-03,328,161,,,
1998-06-04,250,128,,,
1998-06-05,239,161,,,
1998-06-06,233,150,,,
1998-06-07,222,78,,,
1998-06-08,256,61,,,
1998-06-09,239,122,,,
1998-06-10,250,144,,,
