DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1958-07-01,311,200,0.0,0.0,0.0
1958-07-02,333,211,0.0,0.0,0.0
1958-07-03,333,239,0.0,0.0,0.0
1958-07-04,344,239,0.0,0.0,0.0
1958-07-05,333,239,0.0,0.0,0.0
1958-07-06,333,228,0.0,0.0,0.0
1958-07-07,333,244,30.0,0.0,0.0
1958-07-08,328,239,48.0,0.0,0.0
1958-07-09,300,233,135.0,0.0,0.0
1958-07-10,311,233,312.0,0.0,0.0
1958-07-11,306,244,8.0,0.0,0.0
1958-07-12,322,217,0.0,0.0,0.0
1958-07-13,300,228,94.0,0.0,0.0
1958-07-14,317,239,0.0,0.0,0.0
1958-07-15,328,239,25.0,0.0,0.0
1958-07-16,333,239,13.0,0.0,0.0
1958-07-17,283,228,0.0,0.0,0.0
1958-07-18,294,233,0.0,0.0,0.0
1958-07-19,333,250,0.0,0.0,0.0
1958-07-20,267,244,0.0,0.0,0.0
1958-07-21,261,228,0.0,0.0,0.0
1958-07-22,344,244,0.0,0.0,0.0
1958-07-23,344,256,0.0,0.0,0.0
1958-07-24,339,217,218.0,0.0,0.0
1958-07-25,306,222,0.0,0.0,0.0
1958-07-26,333,239,0.0,0.0,0.0
1958-07-27,344,256,8.0,0.0,0.0
1958-07-28,328,256,0.0,0.0,0.0
1958-07-29,311,261,0.0,0.0,0.0
1958-07-30,356,256,0.0,0.0,0.0
1958-07-31,361,239,25.0,0.0,0.0
1958-08-01,311,244,38.0,0.0,0.0
1958-08-02,272,239,0.0,0.0,0.0
1958-08-03,267,239,5.0,0.0,0.0
1958-08-04,250,233,241.0,0.0,0.0
1958-08-05,278,228,0.0,0.0,0.0
1958-08-06,289,233,0.0,0.0,0.0
1958-08-07,333,239,0.0,0.0,0.0
1958-08-08,339,244,0.0,0.0,0.0
1958-08-09,289,244,0.0,0.0,0.0
1958-08-10,333,228,0.0,0.0,0.0
1958-08-11,300,250,3.0,0.0,0.0
1958-08-12,356,256,0.0,0.0,0.0
1958-08-13,328,239,28.0,0.0,0.0
1958-08-14,322,244,41.0,0.0,0.0
1958-08-15,339,244,0.0,0.0,0.0
1958-08-16,272,228,0.0,0.0,0.0
1958-08-17,289,233,0.0,0.0,0.0
1958-08-18,306,222,0.0,0.0,0.0
1958-08-19,256,239,0.0,0.0,0.0
1958-08-20,267,211,0.0,0.0,0.0
1958-08-21,311,233,0.0,0.0,0.0
1958-08-22,333,244,0.0,0.0,0.0
1958-08-23,267,244,8.0,0.0,0.0
1958-08-24,311,244,221.0,0.0,0.0
1958-08-25,278,217,470.0,0.0,0.0
1958-08-26,228,200,493.0,0.0,0.0
1958-08-27,233,194,58.0,0.0,0.0
1958-08-28,233,211,81.0,0.0,0.0
1958-08-29,272,206,0.0,0.0,0.0
1958-08-30,289,211,0.0,0.0,0.0
1958-08-31,317,217,0.0,0.0,0.0
1958-09-01,261,228,0.0,0.0,0.0
1958-09-02,217,178,0.0,0.0,0.0
1958-09-03,222,172,0.0,0.0,0.0
1958-09-04,261,200,0.0,0.0,0.0
1958-09-05,289,194,0.0,0.0,0.0
1958-09-06,278,200,0.0,0.0,0.0
1958-09-07,317,206,0.0,0.0,0.0
1958-09-08,267,206,0.0,0.0,0.0
1958-09-09,250,178,0.0,0.0,0.0
1958-09-10,294,178,0.0,0.0,0.0
1958-09-11,222,172,0.0,0.0,0.0
1958-09-12,200,167,0.0,0.0,0.0
1958-09-13,211,167,0.0,0.0,0.0
1958-09-14,256,156,0.0,0.0,0.0
1958-09-15,289,178,0.0,0.0,0.0
1958-09-16,306,211,0.0,0.0,0.0
1958-09-17,344,228,0.0,0.0,0.0
1958-09-18,278,217,0.0,0.0,0.0
1958-09-19,228,183,0.0,0.0,0.0
1958-09-20,239,172,0.0,0.0,0.0
1958-09-21,228,189,53.0,0.0,0.0
1958-09-22,250,200,0.0,0.0,0.0
1958-09-23,239,194,0.0,0.0,0.0
1958-09-24,222,172,0.0,0.0,0.0
1958-09-25,267,178,0.0,0.0,0.0
1958-09-26,306,200,0.0,0.0,0.0
1958-09-27,278,178,28.0,0.0,0.0
1958-09-28,211,150,0.0,0.0,0.0
1958-09-29,183,150,0.0,0.0,0.0
1958-09-30,261,144,5.0,0.0,0.0
1958-10-01,244,100,109.0,0.0,0.0
1958-10-02,167,106,51.0,0.0,0.0
1958-10-03,167,150,119.0,0.0,0.0
1958-10-04,161,150,127.0,0.0,0.0
1958-10-05,233,133,0.0,0.0,0.0
1958-10-06,161,106,0.0,0.0,0.0
1958-10-07,206,150,0.0,0.0,0.0
1958-10-08,189,172,0.0,0.0,0.0
1958-10-09,200,161,0.0,0.0,0.0
1958-10-10,306,172,0.0,0.0,0.0
1958-10-11,206,150,0.0,0.0,0.0
1958-10-12,161,117,0.0,0.0,0.0
1958-10-13,217,106,0.0,0.0,0.0
1958-10-14,194,156,0.0,0.0,0.0
1958-10-15,267,144,0.0,0.0,0.0
1958-10-16,283,156,0.0,0.0,0.0
