DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2011-10-01,150.0,50.0,173.0,0.0,
2011-10-02,128.0,61.0,0.0,0.0,0.0
2011-10-03,139.0,89.0,71.0,0.0,
2011-10-04,150.0,78.0,3.0,0.0,
2011-10-05,139.0,22.0,0.0,0.0,0.0
2011-10-06,122.0,-10.0,0.0,0.0,0.0
2011-10-07,172.0,11.0,0.0,0.0,0.0
2011-10-08,239.0,50.0,0.0,0.0,0.0
2011-10-09,261.0,78.0,0.0,0.0,0.0
2011-10-10,228.0,89.0,0.0,0.0,0.0
2011-10-11,189.0,78.0,0.0,0.0,0.0
2011-10-12,150.0,89.0,0.0,0.0,0.0
2011-10-13,161.0,111.0,61.0,0.0,0.0
2011-10-14,178.0,128.0,150.0,0.0,0.0
2011-10-15,139.0,78.0,58.0,0.0,
2011-10-16,139.0,89.0,13.0,0.0,0.0
2011-10-17,128.0,50.0,33.0,0.0,
2011-10-18,139.0,72.0,0.0,0.0,0.0
2011-10-19,139.0,72.0,5.0,0.0,
2011-10-20,189.0,100.0,8.0,0.0,0.0
2011-10-21,122.0,89.0,0.0,0.0,0.0
2011-10-22,111.0,72.0,0.0,0.0,0.0
2011-10-23,100.0,28.0,0.0,0.0,0.0
2011-10-24,172.0,22.0,18.0,0.0,
2011-10-25,111.0,22.0,0.0,0.0,0.0
2011-10-26,61.0,11.0,0.0,0.0,0.0
2011-10-27,50.0,-10.0,97.0,0.0,
2011-10-28,50.0,-38.0,0.0,0.0,0.0
2011-10-29,22.0,-21.0,10.0,0.0,
2011-10-30,61.0,-21.0,13.0,0.0,
2011-10-31,89.0,-27.0,0.0,0.0,0.0
2011-11-01,122.0,-10.0,0.0,0.0,0.0
2011-11-02,128.0,-10.0,0.0,0.0,0.0
2011-11-03,128.0,0.0,0.0,0.0,0.0
2011-11-04,61.0,-10.0,0.0,0.0,0.0
2011-11-05,72.0,-49.0,0.0,0.0,0.0
2011-11-06,122.0,-38.0,0.0,0.0,0.0
2011-11-07,139.0,-27.0,0.0,0.0,0.0
2011-11-08,172.0,39.0,0.0,0.0,0.0
2011-11-09,211.0,61.0,0.0,0.0,0.0
2011-11-10,178.0,39.0,0.0,0.0,0.0
2011-11-11,61.0,22.0,13.0,0.0,
2011-11-12,89.0,11.0,0.0,0.0,0.0
