DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1893-01-01,-6.0,-61.0,,,0.0
1893-01-02,-44.0,-139.0,,,0.0
1893-01-03,-122.0,-244.0,0.0,,0.0
1893-01-04,-122.0,-178.0,51.0,,51.0
1893-01-05,-144.0,-178.0,0.0,,0.0
1893-01-06,-117.0,-206.0,0.0,,0.0
1893-01-07,-106.0,-211.0,25.0,,25.0
1893-01-08,-67.0,-178.0,36.0,,38.0
1893-01-09,,,0.0,,0.0
1893-01-10,,,0.0,,0.0
1893-01-11,,-256.0,25.0,,25.0
1893-01-12,-122.0,-222.0,30.0,,30.0
1893-01-13,-211.0,-250.0,0.0,,0.0
1893-01-14,,,0.0,,0.0
1893-01-15,,,0.0,,0.0
1893-01-16,,,0.0,,0.0
1893-01-17,-122.0,-233.0,0.0,,0.0
1893-01-18,-111.0,-222.0,51.0,,51.0
1893-01-19,-100.0,-211.0,0.0,,0.0
1893-01-20,-72.0,-178.0,76.0,,76.0
1893-01-21,-39.0,-122.0,33.0,,33.0
1893-01-22,-28.0,-111.0,25.0,,25.0
1893-01-23,-11.0,-122.0,0.0,,0.0
1893-01-24,-11.0,-144.0,81.0,,76.0
1893-01-25,-22.0,-178.0,25.0,,25.0
1893-01-26,-83.0,-217.0,15.0,,15.0
1893-01-27,-33.0,-222.0,25.0,,25.0
1893-01-28,,-117.0,0.0,,0.0
1893-01-29,-67.0,-183.0,0.0,,0.0
1893-01-30,-67.0,-150.0,0.0,,0.0
1893-01-31,-44.0,-156.0,0.0,,0.0
1893-02-01,-122.0,-261.0,,,0.0
1893-02-02,-133.0,-244.0,,,51.0
1893-02-03,-144.0,-256.0,0.0,,0.0
1893-02-04,-167.0,-322.0,,,0.0
1893-02-05,-11.0,-200.0,,,0.0
1893-02-06,-28.0,-189.0,,,0.0
1893-02-07,-122.0,-233.0,,,0.0
1893-02-08,-133.0,-261.0,,,0.0
1893-02-09,-89.0,-222.0,,,38.0
1893-02-10,-67.0,-217.0,,,0.0
1893-02-11,-61.0,-206.0,,,0.0
1893-02-12,-22.0,-189.0,,,0.0
1893-02-13,0.0,-122.0,,,0.0
1893-02-14,17.0,-67.0,,,0.0
1893-02-15,-94.0,-122.0,,,0.0
1893-02-16,-67.0,-139.0,,,0.0
1893-02-17,-89.0,-156.0,,,0.0
1893-02-18,-67.0,-156.0,,,0.0
1893-02-19,-100.0,-217.0,,,0.0
1893-02-20,-111.0,-233.0,,,0.0
1893-02-21,-78.0,-178.0,,,0.0
1893-02-22,-11.0,-128.0,,,0.0
1893-02-23,0.0,-111.0,,,51.0
1893-02-24,11.0,-122.0,,,0.0
1893-02-25,-11.0,-194.0,,,0.0
1893-02-26,0.0,-178.0,,,0.0
1893-02-27,28.0,-117.0,,,25.0
1893-02-28,-39.0,-117.0,,,0.0
1893-03-01,-67.0,-122.0,0.0,,0.0
1893-03-02,-78.0,-144.0,0.0,,0.0
1893-03-03,-83.0,-178.0,,,0.0
1893-03-04,-61.0,-150.0,0.0,,0.0
1893-03-05,-50.0,-150.0,0.0,,0.0
1893-03-06,-33.0,-156.0,0.0,,0.0
1893-03-07,11.0,-111.0,0.0,,0.0
1893-03-08,39.0,-100.0,287.0,,0.0
1893-03-09,44.0,-67.0,0.0,,0.0
1893-03-10,28.0,-78.0,0.0,,0.0
1893-03-11,11.0,-83.0,0.0,,0.0
1893-03-12,-11.0,-89.0,0.0,,0.0
1893-03-13,-33.0,-83.0,0.0,,0.0
1893-03-14,-67.0,-94.0,0.0,,0.0
1893-03-15,-111.0,-178.0,0.0,,0.0
1893-03-16,-72.0,-167.0,0.0,,0.0
1893-03-17,-44.0,-178.0,0.0,,0.0
1893-03-18,0.0,-133.0,0.0,,0.0
1893-03-19,6.0,-100.0,,,0.0
1893-03-20,22.0,-100.0,297.0,,0.0
1893-03-21,0.0,-111.0,0.0,,0.0
1893-03-22,0.0,-89.0,99.0,,102.0
1893-03-23,56.0,-67.0,213.0,,0.0
1893-03-24,72.0,-44.0,0.0,,0.0
1893-03-25,0.0,-78.0,0.0,,0.0
1893-03-26,22.0,-94.0,0.0,,0.0
1893-03-27,67.0,-78.0,0.0,,0.0
1893-03-28,50.0,-61.0,0.0,,0.0
1893-03-29,61.0,22.0,0.0,,0.0
1893-03-30,100.0,22.0,0.0,,0.0
1893-03-31,106.0,11.0,0.0,,0.0
1893-04-01,122.0,17.0,0.0,,0.0
1893-04-02,156.0,-33.0,0.0,,0.0
1893-04-03,178.0,22.0,119.0,,0.0
1893-04-04,150.0,11.0,0.0,,0.0
1893-04-05,156.0,-6.0,0.0,,0.0
1893-04-06,100.0,-22.0,249.0,,0.0
1893-04-07,256.0,6.0,0.0,,0.0
1893-04-08,94.0,6.0,0.0,,0.0
1893-04-09,111.0,-11.0,0.0,,0.0
1893-04-10,172.0,0.0,0.0,,0.0
1893-04-11,100.0,22.0,102.0,,0.0
1893-04-12,178.0,33.0,0.0,,0.0
1893-04-13,28.0,-11.0,0.0,,0.0
1893-04-14,17.0,-28.0,0.0,,0.0
1893-04-15,89.0,-50.0,0.0,,0.0
1893-04-16,117.0,-11.0,20.0,,0.0
1893-04-17,117.0,-11.0,0.0,,0.0
1893-04-18,89.0,-6.0,53.0,,0.0
1893-04-19,67.0,11.0,0.0,,0.0
1893-04-20,39.0,-6.0,356.0,,51.0
1893-04-21,44.0,-11.0,15.0,,0.0
1893-04-22,50.0,-11.0,0.0,,0.0
1893-04-23,83.0,-17.0,0.0,,0.0
1893-04-24,67.0,-17.0,30.0,,0.0
1893-04-25,67.0,0.0,0.0,,0.0
1893-04-26,78.0,0.0,249.0,,0.0
1893-04-27,83.0,6.0,0.0,,0.0
1893-04-28,56.0,11.0,0.0,,0.0
