DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2011-06-06,228.0,172.0,0.0,,0.0
2011-06-07,278.0,172.0,0.0,0.0,0.0
2011-06-08,322.0,128.0,33.0,0.0,0.0
2011-06-09,150.0,89.0,0.0,0.0,0.0
2011-06-10,111.0,78.0,33.0,0.0,
2011-06-11,139.0,78.0,127.0,0.0,
2011-06-12,200.0,72.0,0.0,0.0,0.0
2011-06-13,239.0,100.0,0.0,0.0,0.0
2011-06-14,222.0,122.0,0.0,0.0,0.0
2011-06-15,178.0,128.0,221.0,0.0,0.0
2011-06-16,178.0,128.0,142.0,0.0,0.0
2011-06-17,222.0,128.0,0.0,0.0,0.0
2011-06-18,228.0,128.0,3.0,0.0,0.0
2011-06-19,189.0,139.0,147.0,0.0,0.0
2011-06-20,178.0,128.0,0.0,0.0,0.0
2011-06-21,172.0,139.0,193.0,0.0,0.0
2011-06-22,211.0,128.0,64.0,0.0,0.0
2011-06-23,211.0,128.0,28.0,0.0,0.0
2011-06-24,222.0,128.0,3.0,0.0,0.0
2011-06-25,261.0,122.0,0.0,0.0,0.0
2011-06-26,239.0,128.0,0.0,0.0,0.0
2011-06-27,189.0,161.0,0.0,0.0,0.0
2011-06-28,228.0,122.0,0.0,0.0,0.0
2011-06-29,200.0,100.0,0.0,0.0,0.0
2011-06-30,228.0,139.0,10.0,0.0,0.0
2011-07-01,239.0,172.0,0.0,0.0,0.0
2011-07-02,300.0,172.0,0.0,0.0,0.0
2011-07-03,272.0,161.0,0.0,0.0,0.0
2011-07-04,272.0,150.0,0.0,0.0,0.0
2011-07-05,278.0,200.0,41.0,0.0,0.0
2011-07-06,261.0,161.0,0.0,0.0,0.0
2011-07-07,228.0,139.0,0.0,0.0,0.0
2011-07-08,272.0,172.0,0.0,0.0,0.0
2011-07-09,250.0,172.0,0.0,0.0,0.0
2011-07-10,289.0,222.0,0.0,0.0,0.0
2011-07-11,311.0,222.0,23.0,0.0,0.0
2011-07-12,228.0,178.0,0.0,0.0,0.0
2011-07-13,222.0,139.0,0.0,0.0,0.0
2011-07-14,200.0,161.0,0.0,0.0,0.0
2011-07-15,261.0,178.0,0.0,0.0,0.0
2011-07-16,278.0,189.0,0.0,0.0,0.0
2011-07-17,322.0,211.0,198.0,0.0,0.0
2011-07-18,272.0,211.0,107.0,0.0,0.0
2011-07-19,289.0,189.0,0.0,0.0,0.0
2011-07-20,339.0,222.0,0.0,0.0,0.0
2011-07-21,289.0,222.0,0.0,0.0,0.0
2011-07-22,300.0,178.0,0.0,0.0,0.0
2011-07-23,261.0,189.0,0.0,0.0,0.0
2011-07-24,250.0,178.0,0.0,0.0,0.0
2011-07-25,278.0,161.0,0.0,0.0,0.0
2011-07-26,239.0,161.0,0.0,0.0,0.0
2011-07-27,211.0,161.0,0.0,0.0,0.0
2011-07-28,272.0,200.0,36.0,0.0,0.0
2011-07-29,289.0,189.0,0.0,0.0,0.0
2011-07-30,311.0,189.0,25.0,0.0,0.0
2011-07-31,311.0,211.0,0.0,0.0,0.0
2011-09-01,261.0,150.0,10.0,0.0,0.0
2011-09-02,278.0,222.0,20.0,0.0,0.0
2011-09-03,228.0,178.0,53.0,0.0,0.0
2011-09-04,161.0,150.0,0.0,0.0,0.0
2011-09-05,150.0,78.0,0.0,0.0,0.0
2011-09-06,178.0,72.0,0.0,0.0,0.0
2011-09-07,211.0,122.0,0.0,0.0,0.0
2011-09-08,239.0,128.0,0.0,0.0,0.0
2011-09-09,239.0,122.0,0.0,0.0,0.0
2011-09-10,261.0,172.0,0.0,0.0,0.0
2011-09-11,289.0,172.0,0.0,0.0,0.0
2011-09-12,289.0,178.0,0.0,0.0,0.0
2011-09-13,161.0,161.0,0.0,,0.0
2011-09-14,128.0,111.0,0.0,0.0,0.0
2011-09-15,128.0,61.0,0.0,0.0,0.0
2011-09-16,150.0,39.0,0.0,0.0,0.0
2011-09-17,172.0,72.0,0.0,0.0,0.0
2011-09-18,189.0,122.0,104.0,0.0,0.0
2011-09-19,211.0,89.0,48.0,0.0,
2011-09-20,200.0,89.0,38.0,0.0,
2011-09-21,172.0,128.0,3.0,0.0,0.0
2011-09-22,128.0,61.0,0.0,0.0,0.0
2011-09-23,139.0,39.0,0.0,0.0,0.0
2011-09-24,122.0,61.0,107.0,0.0,
2011-09-25,161.0,111.0,10.0,0.0,0.0
2011-09-26,172.0,89.0,165.0,0.0,
2011-09-27,172.0,72.0,0.0,0.0,0.0
2011-09-28,178.0,89.0,0.0,0.0,0.0
2011-09-29,139.0,89.0,175.0,0.0,
2011-09-30,111.0,72.0,5.0,,
2011-10-01,122.0,28.0,0.0,0.0,0.0
2011-10-02,178.0,22.0,0.0,0.0,0.0
2011-10-03,178.0,78.0,0.0,0.0,0.0
2011-10-04,222.0,61.0,0.0,0.0,0.0
2011-10-05,222.0,89.0,0.0,0.0,0.0
2011-10-06,211.0,111.0,0.0,0.0,0.0
2011-10-07,211.0,128.0,0.0,0.0,0.0
2011-10-08,239.0,161.0,0.0,0.0,0.0
2011-10-09,239.0,139.0,0.0,0.0,0.0
2011-10-10,211.0,122.0,0.0,0.0,0.0
