DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1944-02-01,28.0,-11.0,0.0,,0.0
1944-02-02,33.0,-11.0,0.0,,0.0
1944-02-03,22.0,-28.0,0.0,,0.0
1944-02-04,50.0,-11.0,0.0,,0.0
1944-02-05,106.0,-6.0,0.0,,0.0
1944-02-06,106.0,0.0,0.0,,0.0
1944-02-07,100.0,6.0,0.0,,0.0
1944-02-08,100.0,-17.0,0.0,,0.0
1944-02-09,106.0,-22.0,0.0,,0.0
1944-02-10,78.0,22.0,0.0,,0.0
1944-02-11,67.0,-50.0,53.0,51.0,51.0
1944-02-12,-6.0,-72.0,0.0,,0.0
1944-02-13,17.0,-111.0,0.0,,0.0
1944-02-14,0.0,-111.0,56.0,51.0,51.0
1944-02-15,44.0,-44.0,0.0,,0.0
1944-02-16,72.0,-67.0,0.0,,0.0
1944-02-17,44.0,28.0,43.0,,0.0
1944-02-18,83.0,6.0,0.0,,0.0
1944-02-19,117.0,-11.0,0.0,,0.0
1944-02-20,11.0,-22.0,0.0,,0.0
1944-02-21,56.0,-6.0,0.0,,0.0
1944-02-22,111.0,-17.0,112.0,,0.0
1944-02-23,167.0,17.0,0.0,,0.0
1944-02-24,172.0,33.0,0.0,,0.0
1944-02-25,139.0,17.0,0.0,,0.0
1944-02-26,183.0,17.0,196.0,,0.0
1944-02-27,156.0,28.0,0.0,,0.0
1944-02-28,156.0,83.0,0.0,,0.0
1944-02-29,94.0,-22.0,117.0,,0.0
1944-03-01,61.0,-33.0,0.0,,0.0
1944-03-02,72.0,-39.0,0.0,,0.0
1944-03-03,144.0,-89.0,0.0,,0.0
1944-03-04,144.0,-6.0,117.0,25.0,25.0
1944-03-05,6.0,-56.0,0.0,,0.0
1944-03-06,28.0,-44.0,0.0,,0.0
1944-03-07,89.0,-28.0,231.0,,0.0
1944-03-08,28.0,-67.0,0.0,,0.0
1944-03-09,-6.0,-61.0,0.0,,0.0
1944-03-10,33.0,-67.0,0.0,,0.0
1944-03-11,44.0,-39.0,0.0,,0.0
1944-03-12,144.0,-22.0,206.0,,0.0
1944-03-13,111.0,22.0,76.0,,0.0
1944-03-14,128.0,-22.0,0.0,,0.0
1944-03-15,261.0,106.0,0.0,,0.0
1944-03-16,239.0,167.0,0.0,,0.0
1944-03-17,194.0,144.0,79.0,,0.0
1944-03-18,122.0,28.0,28.0,,0.0
1944-03-19,50.0,-11.0,119.0,102.0,102.0
1944-03-20,0.0,-33.0,64.0,102.0,0.0
1944-03-21,83.0,-56.0,0.0,51.0,0.0
1944-03-22,94.0,-67.0,0.0,0.0,0.0
1944-03-23,111.0,56.0,193.0,,0.0
1944-03-24,167.0,33.0,41.0,,0.0
1944-03-25,233.0,33.0,0.0,,0.0
1944-03-26,206.0,67.0,0.0,,0.0
1944-03-27,167.0,-6.0,28.0,,0.0
1944-03-28,200.0,28.0,0.0,,0.0
1944-03-29,183.0,50.0,137.0,,0.0
1944-03-30,167.0,33.0,0.0,,0.0
1944-03-31,144.0,0.0,0.0,,0.0
1944-04-01,122.0,-44.0,41.0,,
1944-04-02,122.0,56.0,20.0,,
1944-04-03,83.0,-33.0,0.0,,
1944-04-04,83.0,-28.0,0.0,,
1944-04-05,22.0,-22.0,3.0,,
1944-04-06,89.0,6.0,0.0,,
1944-04-07,200.0,67.0,18.0,,
1944-04-08,217.0,39.0,43.0,,
1944-04-09,267.0,183.0,0.0,,
1944-04-10,239.0,139.0,0.0,,
1944-04-11,156.0,72.0,74.0,,
1944-04-12,183.0,94.0,46.0,,
1944-04-13,167.0,17.0,0.0,,
1944-04-14,194.0,67.0,0.0,,
1944-04-15,178.0,72.0,104.0,,
1944-04-16,178.0,78.0,30.0,,
1944-04-17,150.0,22.0,0.0,,
1944-04-18,139.0,6.0,0.0,,
1944-04-19,217.0,44.0,0.0,,
1944-04-20,228.0,172.0,0.0,,
1944-04-21,233.0,89.0,13.0,,
1944-04-22,261.0,83.0,13.0,,
1944-04-23,117.0,83.0,3.0,,
1944-04-24,111.0,72.0,160.0,,
1944-04-25,128.0,72.0,0.0,,
